ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,731,12,12,78,99,104,108,116,97,69,36,0,0 to 118,50,417,303,11,731,0,0,8,687,2,45,1,73,658,0,0,731,72,1,0,0,14,59,0,73,1,0,10,16,16,13,13,3,1,0,0,1 to 79,40,22,1,3,47,3,24,46,2,0,0,0,0,0,73,59,14,73,0,0,1754,0,1828,1754,73,0,63,46,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3435,70,112,316,490,426,542,585,425,297,161,11,0 to 118,50,2169,1224,42,3427,8,0,75,3126,133,274,22,198,3234,1,2,3424,124,74,0,0,123,75,0,198,2,19,23,26,30,31,24,20,16,7,0,2 to 98,43,105,83,9,1,9,186,3,43,0,25,0,0,6,198,75,123,198,0,0,4655,8,4862,4663,198,6,182,113,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,880,33,19,77,130,111,112,159,141,71,23,4,0 to 118,50,485,364,31,872,8,0,16,760,3,133,26,60,819,1,0,871,48,11,1,0,19,40,0,59,0,1,12,21,10,2,7,3,4,0,0,6 to 84,32,39,3,15,2,22,34,3,12,0,6,0,0,0,60,40,20,59,1,0,1238,7,1307,1245,60,0,144,42,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6967,162,149,530,1007,988,910,1070,812,729,570,40,0 to 119,51,4246,2680,41,6826,140,1,134,6409,137,333,70,344,6622,0,1,6826,239,97,4,4,180,156,0,336,6,18,26,64,54,46,54,37,25,14,0,0 to 96,45,267,40,22,7,101,228,7,82,2,49,1,0,6,344,161,183,335,8,1,10289,132,10773,10421,344,6,794,382,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,532,5,4,43,47,78,74,90,83,71,36,1,0 to 99,56,317,197,18,532,0,0,4,441,4,54,3,66,466,0,0,532,49,17,0,0,51,15,0,66,0,0,6,4,4,2,3,7,20,20,0,20 to 99,78,47,11,0,8,0,53,13,12,0,6,0,0,5,66,15,51,66,0,0,641,0,709,641,66,5,98,36,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,68396,1018,1509,4799,8133,8115,9626,11750,10549,7416,3879,1602,0 to 119,55,37587,30532,277,67632,762,2,2116,62181,465,6849,341,9262,58796,196,142,67299,8998,143,115,6,4552,4579,10,9141,138,329,1080,1538,1445,1423,1253,847,691,508,10,0 to 104,45,3965,1668,1491,2017,3127,3872,2142,1955,31,1451,22,13,438,9262,4648,4604,9139,121,2,100550,638,110684,101188,9262,438,2228,1963,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10093,167,202,656,1208,1243,1539,1785,1664,1074,524,31,0 to 119,55,5797,4084,212,9946,147,0,395,8850,188,1132,74,981,9028,5,79,9862,895,75,11,0,514,455,1,970,16,31,93,169,142,161,142,105,70,52,0,0 to 97,47,348,188,86,348,141,433,396,196,1,138,2,0,38,981,460,520,970,11,0,17047,136,18170,17183,981,38,263,248,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13514,262,322,962,1580,1819,2137,2407,2136,1302,558,29,0 to 119,53,7910,5561,43,13439,75,0,205,12762,223,639,109,560,12932,2,20,13417,501,48,10,1,296,252,1,549,10,17,71,75,101,101,72,72,24,17,0,0 to 94,46,348,75,74,52,118,366,65,122,4,95,3,1,16,560,258,301,549,11,0,23934,64,24568,23998,560,16,995,444,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2908,49,91,208,486,498,510,460,383,140,81,2,0 to 119,47,2021,874,13,2889,18,1,31,2661,46,313,16,309,2598,1,0,2889,295,9,5,0,223,81,0,304,3,6,19,65,72,60,33,27,14,10,0,0 to 98,43,121,130,15,38,32,221,51,58,1,54,0,0,5,309,81,228,303,5,1,4835,13,5163,4848,309,5,361,167,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12842,188,297,1485,2108,1900,1981,2111,1724,675,342,31,0 to 119,47,6662,6050,130,12608,233,1,162,12100,201,527,87,483,12340,3,16,12590,442,10,30,1,245,207,0,452,3,14,129,94,66,63,68,32,10,4,0,0 to 91,35,153,255,13,31,24,389,39,88,11,46,9,7,8,483,223,260,451,31,1,20778,202,21468,20980,483,8,711,293,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,563,12,12,20,44,75,79,117,121,65,17,1,0 to 101,58,336,222,5,558,5,0,7,489,41,72,7,33,530,0,0,558,10,21,2,0,19,12,0,31,1,0,1,3,2,4,7,7,4,4,0,1 to 95,58,10,14,7,0,5,25,1,4,2,8,0,0,4,33,14,19,31,2,0,910,3,947,913,33,4,61,23,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1030,43,33,86,112,124,140,153,176,107,49,7,0 to 99,53,653,370,7,1007,23,0,25,891,53,226,14,84,945,1,0,1006,37,43,4,0,46,34,0,80,3,0,10,4,11,9,21,10,5,11,0,0 to 98,57,22,47,7,4,4,62,14,16,0,4,0,1,3,84,35,49,80,4,0,1391,19,1496,1410,84,3,148,45,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,54,54,36,5,0,0,0,20 to 73,41,115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2081,0,2303,2081,220,1,39,14,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1967,14,22,157,532,408,314,239,166,69,42,4,0 to 118,41,424,1513,30,1961,6,0,32,1864,9,277,5,277,1689,0,1,1960,266,8,2,1,31,243,0,274,3,5,27,82,56,50,42,9,3,0,0,0 to 84,38,122,121,26,5,39,87,148,22,1,7,0,0,2,277,245,32,274,3,0,2151,3,2433,2154,277,2,15,13,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3226,38,31,209,394,427,535,621,442,288,186,55,0 to 119,53,1802,1370,54,3194,32,0,63,3068,28,177,44,157,3042,0,27,3172,120,30,7,0,66,84,0,150,3,1,16,32,23,35,22,12,12,1,0,2 to 93,47,124,13,6,7,48,92,10,42,3,21,2,1,4,157,88,69,150,7,0,5556,20,5736,5576,157,4,50,42,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3400,86,100,236,405,423,444,665,547,286,199,9,0 to 119,55,1921,1379,100,3385,15,0,191,3062,63,284,16,187,3210,0,3,3382,155,30,2,0,93,92,0,185,5,10,21,41,28,32,29,13,5,3,0,0 to 97,41,89,82,12,2,15,164,6,7,0,15,0,0,2,187,94,93,185,2,0,4828,13,5033,4841,187,2,10,8,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,887,30,15,95,132,120,144,148,103,66,32,2,0 to 99,48,491,343,53,827,60,0,23,841,16,64,3,34,853,0,0,827,14,20,0,0,20,14,0,34,0,1,3,4,4,2,6,6,5,3,0,10 to 97,58,23,7,2,2,0,31,3,9,0,12,0,0,4,34,14,20,34,0,0,1295,60,1389,1355,34,4,10,9,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,777,12,13,58,89,94,129,149,148,63,21,1,0 to 119,54,438,324,15,767,10,0,3,738,5,40,4,31,746,0,0,767,16,14,0,1,15,15,0,30,1,0,2,5,10,7,2,3,1,0,0,1 to 79,42,23,3,1,3,0,26,4,4,0,1,0,0,0,31,15,16,30,1,0,1058,9,1099,1067,31,0,51,46,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7314,136,163,518,731,829,932,1337,1338,938,370,22,0 to 100,57,3592,3254,468,7221,93,0,257,6410,82,922,72,1296,6009,1,8,7213,1271,12,13,0,585,690,8,1283,46,68,194,230,236,211,147,66,57,39,2,0 to 99,39,422,49,408,404,637,285,361,206,2,127,1,1,18,1296,699,589,1283,13,0,11955,79,13337,12034,1296,18,90,79,55,2.97866994211851,0.153458428490643
