ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,25,1558,2,79,13,646,75,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,47,17091,30,1388,63,4081,799,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,35,3697,8,208,25,1480,174,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,87,5043,9,236,25,1071,178,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,9,471,3,35,7,255,25,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,64,1427,3,43,5,251,20,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,58,15658,18,1444,46,2518,520,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,20,1710,7,90,12,494,73,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,42,16975,10,981,15,1064,166,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,8,729,0Â ,45,4,290,28,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,37,5426,9,349,23,1277,239,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,53,7041,15,460,49,1840,335,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,62,7633,15,562,47,2064,330,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,75,14716,17,765,25,1426,299,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,7,418,0Â ,18,3,44,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,24,4115,3,339,32,1440,265,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,6,1038,8,135,5,339,100,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,40,14203,24,899,29,1808,421,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,16,1061,4,108,7,489,93,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,36,5908,6,523,41,1628,395,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,80,14121,7,801,42,1971,407,1.62072838209013,0.0871537443231625
