ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,346,8,7,34,50,46,51,56,47,35,12,0,0 to 118,50,208,130,8,346,0,0,3,340,2,13,1,6,340,0,0,346,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 64,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,340,0,346,340,6,0,14,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,2437,47,71,217,343,310,386,374,307,239,136,7,0 to 118,50,1569,822,46,2432,5,0,70,2216,133,203,17,127,2307,1,2,2429,82,45,0,0,77,50,0,127,0,11,13,14,19,19,11,19,14,7,0,6 to 98,47,72,51,4,0,3,121,3,29,0,16,0,0,2,127,50,77,127,0,0,2302,5,2435,2307,127,2,91,27,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,340,21,11,14,41,44,47,58,62,28,12,2,0 to 118,53,174,142,24,340,0,0,14,307,3,65,3,3,337,0,0,340,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,337,0,340,337,3,0,19,2,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,3293,106,77,268,541,528,470,540,375,222,132,34,0 to 119,47,1993,1266,34,3165,127,1,90,2990,137,177,61,169,3124,0,0,3166,85,77,3,4,86,76,0,162,3,4,5,23,21,21,33,28,20,11,0,0 to 96,57,128,26,8,0,28,134,0,47,1,26,0,0,5,169,80,89,161,7,1,3004,120,3293,3124,169,5,426,127,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,332,1,3,28,31,51,43,58,50,45,21,1,0 to 99,56,195,119,18,332,0,0,3,299,4,18,3,27,304,1,0,331,12,15,0,0,22,5,0,27,0,0,3,3,3,1,2,4,5,6,0,20 to 99,71,12,7,1,7,0,20,7,9,0,4,0,0,0,27,5,22,27,0,0,304,0,332,304,27,0,59,17,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,43446,604,744,2776,5097,5309,6362,7803,6633,4429,2332,1357,0 to 119,55,24192,19051,203,42950,494,2,607,41633,465,2043,178,4093,39047,229,77,42650,3892,126,69,6,1963,2044,11,4018,20,51,342,567,594,619,640,534,444,281,1,0 to 119,52,1799,693,467,1059,963,1895,1160,887,26,672,16,9,245,4093,2088,1994,4016,75,2,38632,415,43369,39047,4093,245,704,441,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,5570,97,115,335,617,666,894,1012,992,611,218,13,0 to 102,55,3177,2207,186,5475,95,0,236,4984,188,521,64,290,5223,4,53,5418,265,16,9,0,162,119,0,281,2,4,19,29,40,43,47,46,36,24,0,3 to 97,56,163,63,23,32,40,203,38,107,0,80,0,0,26,290,122,168,281,9,0,5137,86,5517,5223,290,26,73,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,8920,149,194,600,1075,1299,1489,1591,1344,825,346,8,0 to 119,52,5324,3565,31,8867,53,0,134,8499,223,400,90,302,8594,6,18,8843,249,44,8,1,154,138,1,293,7,6,24,33,62,64,41,39,14,12,0,0 to 94,48,191,34,40,28,62,198,33,77,3,59,2,1,9,302,143,158,293,9,0,8550,44,8902,8594,302,9,541,174,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,927,22,31,79,121,150,177,150,126,54,16,1,0 to 97,49,574,342,11,924,2,1,10,806,46,125,9,137,789,0,1,924,129,7,1,0,90,46,0,136,1,2,9,18,28,34,20,15,9,1,0,4 to 86,47,18,74,3,41,5,83,48,30,0,30,0,0,0,137,46,91,135,1,1,788,1,926,789,137,0,166,69,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,7297,116,148,775,1376,1230,1224,1186,824,278,113,27,0 to 116,44,3410,3760,127,7201,95,1,92,6913,201,263,63,266,7017,3,11,7188,242,9,14,1,136,115,0,251,1,3,39,56,42,44,51,23,4,3,0,2 to 87,43,98,119,8,26,15,207,29,66,8,33,8,5,6,266,124,142,250,15,1,6937,80,7286,7017,266,6,443,180,43,2.42861632663576,0.170704044186268
