ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1000,39,32,118,127,134,143,143,114,91,59,0,0 to 118,49,569,423,8,1000,0,0,36,737,2,277,6,283,716,0,1,999,253,30,0,0,138,145,0,283,10,13,41,41,39,40,36,19,22,22,0,0 to 100,44,208,17,22,36,41,188,54,15,0,5,0,0,0,283,145,138,283,0,0,2862,0,3151,2862,283,0,412,395,44,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4231,93,184,477,641,547,638,675,472,320,172,12,0 to 118,48,2544,1626,61,4223,8,0,196,3683,133,802,22,1083,3145,1,2,4220,625,458,0,0,547,510,26,1083,23,90,201,187,162,144,126,74,49,26,1,0 to 100,37,503,295,134,151,194,705,184,204,0,117,0,0,12,1083,510,547,1083,0,0,9235,8,10335,9243,1083,12,259,190,37,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1175,38,43,130,183,161,159,189,158,82,28,4,0 to 118,47,670,481,24,1167,8,0,39,805,3,422,28,244,931,0,0,1167,208,34,2,0,134,108,0,242,0,12,45,55,38,32,32,12,14,4,0,5 to 91,37,116,86,24,16,29,188,25,42,0,12,0,0,2,244,108,136,242,2,0,2263,6,2515,2269,244,2,592,492,37,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8817,242,219,900,1407,1282,1147,1255,938,781,603,43,0 to 119,47,5206,3517,94,8660,156,1,323,7249,137,1039,104,2134,6660,0,23,8638,1972,137,20,5,1131,934,44,2109,28,72,392,456,340,275,245,158,97,68,3,0 to 103,38,1033,186,177,713,304,983,822,167,3,99,1,0,16,2134,946,1144,2108,25,1,20362,131,22656,20493,2134,16,1985,1554,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,759,12,19,74,80,112,107,129,106,79,41,0,0 to 99,52,449,296,14,759,0,0,24,469,4,203,9,232,526,0,1,758,216,16,0,0,141,91,0,232,1,6,29,26,22,31,34,30,29,24,0,1 to 99,55,182,18,16,16,12,197,23,34,0,22,0,0,7,232,91,141,232,0,0,1671,0,1909,1671,232,7,421,359,55,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,88980,1489,2379,8078,12068,11511,12721,14298,12031,8273,4504,1628,0 to 119,51,48228,40420,332,88085,893,2,5368,73570,465,17337,523,28267,60337,172,204,87714,27766,247,248,6,14254,13661,98,28013,472,1054,4161,5350,4662,4263,3567,2120,1450,1138,30,0 to 105,41,10238,4291,4069,9415,7761,10011,10241,3239,42,2364,27,15,727,28267,13793,14372,28011,254,2,198142,635,227538,198777,28267,727,7828,7563,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13951,281,378,1158,1849,1869,2182,2295,1960,1255,686,38,0 to 119,51,8064,5612,275,13799,152,0,856,10895,188,2902,100,4004,9723,6,218,13575,3875,108,21,0,2175,1761,47,3983,72,173,543,715,654,654,509,347,196,135,6,0 to 104,42,1211,723,446,1603,734,1366,1883,358,2,272,2,1,94,4004,1772,2185,3983,21,0,30426,128,34605,30554,4004,94,2521,2506,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18847,366,502,1838,2550,2662,2992,3083,2585,1555,685,29,0 to 119,49,10665,8095,87,18756,91,0,1041,14996,223,3745,181,5363,13429,2,53,18701,5220,117,25,1,2718,2582,37,5337,85,162,847,986,859,847,672,479,270,155,1,0 to 105,41,3047,341,606,1343,940,2704,1693,607,9,381,4,1,65,5363,2595,2731,5337,26,0,50167,65,55632,50232,5363,65,3657,3105,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3664,75,158,346,618,623,621,534,426,171,89,3,0 to 119,45,2405,1238,21,3643,20,1,86,3103,46,632,24,1040,2623,1,0,3643,982,51,7,0,597,426,10,1033,22,64,150,194,195,173,109,70,44,18,1,0 to 98,39,288,358,74,313,168,494,371,143,0,83,0,0,12,1040,426,604,1032,7,1,8049,13,9135,8062,1040,12,670,475,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15953,257,438,2650,2706,2263,2290,2379,1844,718,364,44,0 to 119,43,8320,7489,144,15683,269,1,560,14013,201,1567,126,3480,12452,2,19,15663,3368,45,64,3,1805,1582,26,3413,39,137,1284,689,421,365,311,147,50,25,12,0 to 105,27,948,1002,230,1233,235,1469,1709,221,13,87,11,7,13,3480,1616,1838,3412,67,1,43966,200,47737,44166,3480,13,1510,1094,27,2.42861632663576,0.170704044186268
