ï»¿OBJECTID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,84,63,0,2020/07/23 16:00:14,USA,11811,902,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,72,50,0,2020/07/23 16:00:14,USA,6040,558,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,350,235,4,2020/07/23 16:00:14,USA,17153,3433,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,124,75,0,2020/07/23 16:00:14,USA,9253,1305,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,143,122,4,2020/07/23 16:00:14,USA,13832,1805,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,73,32,0,2020/07/23 16:00:14,USA,14908,1712,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,66,46,1,2020/07/23 16:00:14,USA,20029,1946,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,45,24,0,2020/07/23 16:00:14,USA,9187,1098,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,60,27,0,2020/07/23 16:00:14,USA,10518,1311,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,72,46,0,2020/07/23 16:00:14,USA,10569,1613,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,47,11,0,2020/07/23 16:00:14,USA,7453,935,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,547,446,0,2020/07/23 16:00:14,USA,34909,3596,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,110,81,1,2020/07/23 16:00:14,USA,13840,1546,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,162,114,1,2020/07/23 16:00:14,USA,16134,2260,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,61,45,0,2020/07/23 16:00:14,USA,8929,1293,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,93,60,2,2020/07/23 16:00:14,USA,10712,1541,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,480,124,16,2020/07/23 16:00:14,USA,42647,6767,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,40,35,0,2020/07/23 16:00:14,USA,11964,1399,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,96,68,2,2020/07/23 16:00:14,USA,15761,2255,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,66,46,3,2020/07/23 16:00:14,USA,17556,1895,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,67,31,0,2020/07/23 16:00:14,USA,19660,2336,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,397,289,6,2020/07/23 16:00:14,USA,25095,3585,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,93,74,1,2020/07/23 16:00:14,USA,11321,1544,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1764,1674,12,2020/07/23 16:00:14,USA,19874,7574,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,109,60,1,2020/07/23 16:00:14,USA,6740,1094,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,72,64,1,2020/07/23 16:00:14,USA,9547,1127,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,424,362,1,2020/07/23 16:00:14,USA,12690,3000,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,151,79,7,2020/07/23 16:00:14,USA,24947,3036,1.47509845559349,0.125164627007619
29,35,19069,Franklin,IA,157,77,3,2020/07/23 16:00:14,USA,10124,1529,1.64758090698267,0.165817716686447
30,12,19023,Butler,IA,88,67,2,2020/07/23 16:00:14,USA,14539,1958,1.64581994704863,0.165677440567865
31,31,19061,Dubuque,IA,1277,485,24,2020/07/23 16:00:14,USA,96854,18020,1.9659850064536,0.174834340738589
32,28,19055,Delaware,IA,68,58,1,2020/07/23 16:00:14,USA,17069,1816,1.65320344218239,0.164157256355936
33,94,19187,Webster,IA,565,200,5,2020/07/23 16:00:14,USA,36277,6260,1.89365250486713,0.203631378398526
34,10,19019,Buchanan,IA,82,44,1,2020/07/23 16:00:14,USA,21199,2483,1.66302867060044,0.162502933178709
35,7,19013,Black Hawk,IA,2766,1978,61,2020/07/23 16:00:14,USA,132408,21354,1.6690521466628,0.162374630605809
36,97,19193,Woodbury,IA,3506,3160,47,2020/07/23 16:00:14,USA,102539,19440,2.42636247129416,0.248549990860172
37,47,19093,Ida,IA,27,21,0,2020/07/23 16:00:14,USA,6841,812,1.53905385133514,0.122291609116611
38,81,19161,Sac,IA,75,60,0,2020/07/23 16:00:14,USA,9719,1548,1.76241111854249,0.163752090137135
39,13,19025,Calhoun,IA,71,60,2,2020/07/23 16:00:14,USA,9699,1406,1.73628628486417,0.161997583069679
40,40,19079,Hamilton,IA,215,204,1,2020/07/23 16:00:14,USA,14952,2346,1.71314143947394,0.163503770113021
41,42,19083,Hardin,IA,116,60,0,2020/07/23 16:00:14,USA,16868,2240,1.69000296456947,0.161385418032918
42,38,19075,Grundy,IA,61,31,1,2020/07/23 16:00:14,USA,12304,1553,1.67802338743871,0.142127445949025
43,49,19097,Jackson,IA,107,26,0,2020/07/23 16:00:14,USA,19432,2197,2.07834736694484,0.183296848633463
44,53,19105,Jones,IA,103,60,1,2020/07/23 16:00:14,USA,20744,2106,1.6299162569308,0.162684664504456
45,57,19113,Linn,IA,1686,1314,87,2020/07/23 16:00:14,USA,225909,27760,1.80674092166282,0.204193692873201
46,6,19011,Benton,IA,102,80,1,2020/07/23 16:00:14,USA,25642,2793,1.80588730837179,0.202483172750458
47,86,19171,Tama,IA,514,418,29,2020/07/23 16:00:14,USA,16904,2908,1.80688300401416,0.203440469857114
48,67,19133,Monona,IA,84,67,0,2020/07/23 16:00:14,USA,8679,1050,2.12316354201373,0.196795369826852
49,24,19047,Crawford,IA,689,655,3,2020/07/23 16:00:14,USA,17158,3335,1.85534418535146,0.201377793645609
50,14,19027,Carroll,IA,148,117,1,2020/07/23 16:00:14,USA,20154,2741,1.6197601288418,0.160534308640552
51,37,19073,Greene,IA,37,29,0,2020/07/23 16:00:14,USA,8981,1093,1.62157185711836,0.160866715753459
52,8,19015,Boone,IA,198,133,1,2020/07/23 16:00:14,USA,26346,3471,1.62489466407202,0.161510465217336
53,85,19169,Story,IA,988,669,10,2020/07/23 16:00:14,USA,98105,11010,1.62511481218105,0.161547069415365
54,64,19127,Marshall,IA,1230,986,21,2020/07/23 16:00:14,USA,39981,7274,1.62374952565441,0.161426130789666
55,23,19045,Clinton,IA,193,89,2,2020/07/23 16:00:14,USA,46518,4571,2.24361687413681,0.199530757525976
56,16,19031,Cedar,IA,104,73,1,2020/07/23 16:00:14,USA,18627,2128,1.63234594510688,0.163181818164524
57,43,19085,Harrison,IA,73,59,0,2020/07/23 16:00:14,USA,14134,1371,2.15390456644706,0.196078880287994
58,83,19165,Shelby,IA,127,124,0,2020/07/23 16:00:14,USA,11578,1349,1.74937315948455,0.165599269790057
59,5,19009,Audubon,IA,22,15,1,2020/07/23 16:00:14,USA,5506,605,1.50015453828969,0.124202963325951
60,39,19077,Guthrie,IA,113,66,5,2020/07/23 16:00:14,USA,10720,1506,1.72265090697959,0.16608372356967
61,52,19103,Johnson,IA,1681,1093,10,2020/07/23 16:00:14,USA,151260,21336,1.84505285201909,0.174467390398262
62,25,19049,Dallas,IA,1614,1127,34,2020/07/23 16:00:14,USA,90180,14494,1.68881467047954,0.165695923991871
63,48,19095,Iowa,IA,69,50,1,2020/07/23 16:00:14,USA,16141,2295,1.64529790199185,0.164521602033462
64,77,19153,Polk,IA,8737,5739,191,2020/07/23 16:00:14,USA,487204,74006,1.79851653423037,0.165798164756224
65,79,19157,Poweshiek,IA,117,100,8,2020/07/23 16:00:14,USA,18699,1627,1.64560614400894,0.164235421919034
66,50,19099,Jasper,IA,416,299,19,2020/07/23 16:00:14,USA,37147,4120,1.89209025622817,0.205206542990887
67,82,19163,Scott,IA,1378,667,11,2020/07/23 16:00:14,USA,173283,20499,1.9042879308868,0.131101028674465
68,70,19139,Muscatine,IA,746,646,45,2020/07/23 16:00:14,USA,42929,5957,1.6483485078502,0.125418794461856
69,78,19155,Pottawattamie,IA,973,719,17,2020/07/23 16:00:14,USA,93533,12825,2.6701405613069,0.26717770427194
70,15,19029,Cass,IA,32,28,0,2020/07/23 16:00:14,USA,12930,1151,1.60199838221897,0.157431037196136
71,92,19183,Washington,IA,275,232,9,2020/07/23 16:00:14,USA,22141,2795,1.65656170409436,0.158972056822445
72,1,19001,Adair,IA,22,16,0,2020/07/23 16:00:14,USA,7063,752,1.61086976908435,0.158860246110915
73,54,19107,Keokuk,IA,26,20,1,2020/07/23 16:00:14,USA,10225,946,1.62594763010153,0.161616444275989
74,91,19181,Warren,IA,429,240,1,2020/07/23 16:00:14,USA,51056,6676,1.70656061378754,0.159602417083592
75,61,19121,Madison,IA,78,40,2,2020/07/23 16:00:14,USA,16249,1859,1.60028745529922,0.15659955195822
76,62,19123,Mahaska,IA,129,101,17,2020/07/23 16:00:14,USA,22000,1789,1.61487375875982,0.15983170541375
77,63,19125,Marion,IA,113,83,0,2020/07/23 16:00:14,USA,33407,2791,1.60953916629708,0.158906678664242
78,58,19115,Louisa,IA,374,345,13,2020/07/23 16:00:14,USA,11169,1699,1.75283719716366,0.11609984092493
79,65,19129,Mills,IA,63,32,0,2020/07/23 16:00:14,USA,15063,2411,1.5081338641808,0.122132457358878
80,69,19137,Montgomery,IA,25,16,2,2020/07/23 16:00:14,USA,10003,1045,1.42941494131685,0.117877281210496
81,2,19003,Adams,IA,12,9,0,2020/07/23 16:00:14,USA,3645,364,1.4306796476061,0.11799264030139
82,44,19087,Henry,IA,100,78,3,2020/07/23 16:00:14,USA,20067,2248,1.39048367232224,0.120982880824429
83,51,19101,Jefferson,IA,68,51,0,2020/07/23 16:00:14,USA,18381,1585,1.44973415457871,0.121161607057882
84,88,19175,Union,IA,59,29,1,2020/07/23 16:00:14,USA,12359,1808,1.43050961959233,0.11811537729096
85,90,19179,Wapello,IA,771,694,31,2020/07/23 16:00:14,USA,35205,4973,1.44530198981096,0.120895576009114
86,20,19039,Clarke,IA,155,119,3,2020/07/23 16:00:14,USA,9423,1312,1.43809321574798,0.119709743384459
87,59,19117,Lucas,IA,39,27,4,2020/07/23 16:00:14,USA,8645,676,1.44258508735791,0.120474549754265
88,68,19135,Monroe,IA,64,43,7,2020/07/23 16:00:14,USA,7790,690,1.4424093876936,0.120378125777524
89,29,19057,Des Moines,IA,124,85,2,2020/07/23 16:00:14,USA,39138,3629,1.57405850996194,0.118960734514806
90,36,19071,Fremont,IA,16,6,0,2020/07/23 16:00:14,USA,6993,546,1.62288194461822,0.142660581927864
91,73,19145,Page,IA,38,21,0,2020/07/23 16:00:14,USA,15249,1504,1.59150363876605,0.147859442418914
92,87,19173,Taylor,IA,85,79,0,2020/07/23 16:00:14,USA,6191,768,1.57094727247982,0.147630696055921
93,80,19159,Ringgold,IA,21,15,1,2020/07/23 16:00:14,USA,4968,637,1.56326766465177,0.148728871032954
94,89,19177,Van Buren,IA,22,18,1,2020/07/23 16:00:14,USA,7020,558,1.53592818808525,0.135569861036805
95,26,19051,Davis,IA,46,36,1,2020/07/23 16:00:14,USA,9017,710,1.52608960383686,0.139392794520039
96,27,19053,Decatur,IA,15,11,0,2020/07/23 16:00:14,USA,7890,525,1.55809398057972,0.147367102513795
97,93,19185,Wayne,IA,12,10,1,2020/07/23 16:00:14,USA,6401,404,1.5512558166716,0.14558185877792
