ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
45110,Autauga,01001,East Central,545,11,0.150198352049983,2.1379328255407,04ca64c7-f151-45da-8cbd-b81aaed07268,0
45111,Baldwin,01003,Southwestern,686,9,0.400159431601878,6.69300034847276,77d562fb-5a49-4ffc-b98d-69ad498205c7,0
45112,Barbour,01005,Southeastern,323,1,0.223267704174077,2.69097505269632,092b6152-74f1-4831-bee2-14286fd12548,0
45113,Bibb,01007,West Central,171,1,0.156476914356972,1.8951692775798,7eeb8f80-171d-452e-95cc-9a325f216503,0
45114,Blount,01009,Northeastern,214,1,0.164406638341006,2.45274784751908,3edbff44-391a-47e5-9459-83f154fbb82b,0
45115,Bullock,01011,East Central,362,9,0.154671563531792,2.06480197165101,7db3d573-571b-4d2f-bc08-bde5ff1ad139,0
45116,Butler,01013,Southeastern,604,27,0.191776547733298,1.83587954870993,6b287f73-5d6a-4e69-a80a-8ec3dc53c24c,0
45117,Calhoun,01015,Northeastern,270,5,0.154366224232035,2.21070839394633,8c390a50-5719-4cc4-b3c8-c46ef9f97be2,0
45118,Chambers,01017,East Central,581,27,0.150563980768084,1.72306516183319,4d674c9f-1e63-4a16-a9e8-e246b23a6373,0
45119,Cherokee,01019,Northeastern,74,7,0.151975822791428,1.89808177880757,848bc613-7fd0-4a88-9523-20ede9264c74,0
45120,Chilton,01021,West Central,211,2,0.174837510280213,2.09165532433194,a4c839f2-6aa0-49c7-80c5-799ab1ab8bc9,0
45121,Choctaw,01023,Southwestern,192,12,0.227681129400253,2.68700551554037,0ffb6a7a-3318-4fbf-9e7d-803a5fb4e042,0
45122,Clarke,01025,Southwestern,266,5,0.308508819690587,3.78655552072513,9121b15c-ff06-4a09-b8ba-cbeb2e0d531b,0
45123,Clay,01027,Northeastern,58,2,0.151874743437702,2.02332180215824,dda0f78f-f561-493e-8716-c8b8bc820fef,0
45124,Cleburne,01029,Northeastern,29,1,0.141259985723536,2.17578212063938,f1dc508e-1335-4fb3-8bb9-07cc4a13e4da,0
45125,Coffee,01031,Southeastern,353,2,0.167143203828118,1.67989540600381,1c92931e-ecc6-4483-810d-d577e8fae7f0,0
45126,Colbert,01033,Northern,368,5,0.15857369348987,2.31239229125845,faab7b3c-a4bc-412c-9ba3-91ed9114e968,0
45127,Conecuh,01035,Southwestern,180,4,0.209509978242295,2.59686142559656,c4072dfd-42b4-4dd8-90be-decd3b8c4790,0
45128,Coosa,01037,East Central,55,1,0.16640708911109,1.7505584986585,71505312-d727-4d4c-b3aa-00fd6723613e,0
45129,Covington,01039,Southeastern,308,7,0.255971892285061,2.38709591035509,eb4f6f6e-f268-433e-8a2b-c39045638d1c,0
45130,Crenshaw,01041,Southeastern,123,3,0.150571897113878,2.31806123117494,7cc06f94-0502-482a-b0db-c5910b0a7c2e,0
45131,Cullman,01043,Northern,400,3,0.191087821164047,2.50218505547441,2c6010c3-567a-45ce-a030-ec32c75df3ca,0
45132,Dale,01045,Southeastern,244,0,0.138259666605563,1.65151999951547,cfa0dcc2-7354-49cd-a611-d8ee02ff85e7,0
45133,Dallas,01047,Southwestern,819,8,0.246497505086154,3.13752996820932,78696fbf-4c5b-4a33-85d2-e4e0e8a2cab5,0
45134,DeKalb,01049,Northeastern,602,5,0.197848401841384,2.21695752803772,01312eac-2a2c-49a5-8c74-1de2ec24a059,0
45135,Elmore,01051,East Central,813,14,0.163505782545826,2.27519521591255,4525d74f-ee3d-457c-b918-8243d9cb5846,0
45136,Escambia,01053,Southwestern,263,6,0.233446648119298,2.50306921694382,45135ecf-1fa5-4f23-95e3-fa275b7fad3a,0
45137,Etowah,01055,Northeastern,625,13,0.138757597037284,2.10053621990475,b1352bc0-7502-4f94-99b5-2ec07c4262c0,0
45138,Fayette,01057,West Central,67,1,0.158552104918499,1.83779224583562,e07db254-73d6-4269-9900-e257f6f7c81a,0
45139,Franklin,01059,Northern,852,13,0.164243463038702,1.78358559509712,e80bccfe-a5fa-4a02-a687-bef5b70d7d67,0
45140,Geneva,01061,Southeastern,67,0,0.141768015065281,1.83488097279248,fb57c77f-646e-45d1-b245-06613b39c77f,0
45141,Greene,01063,West Central,166,7,0.164666965815741,3.57766804402764,8a790b4f-1435-41b4-a487-6e413a3520b2,0
45142,Hale,01065,West Central,293,21,0.163613340422671,2.4799010938001,636813c9-ad9d-4415-9973-c499c406e44f,0
45143,Henry,01067,Southeastern,130,3,0.139761467476774,1.63725823418183,e91a6ad2-f023-4b85-a9ef-594c9659835a,0
45144,Houston,01069,Southeastern,434,4,0.142463779205855,2.10452810210549,8596b0fb-544e-4b84-a431-61cdf08ae652,0
45145,Jackson,01071,Northern,238,2,0.287410215888713,2.67694940746419,f5628b91-2ff7-49e6-a20c-383f18bff3a7,0
45146,Jefferson,01073,Jefferson,4387,142,0.282606031405749,2.91318939557353,854c1903-20e7-4cfe-9c58-e9da989bdc26,0
45147,Lamar,01075,West Central,71,1,0.15263540616661,1.64069081755141,fc440d67-ded9-4585-8b7e-21cf6a5a390e,0
45148,Lauderdale,01077,Northern,444,6,0.184043571131042,2.55716948814366,3d8e43d2-a2ec-41e7-88b8-688bb70bb07c,0
45149,Lawrence,01079,Northern,101,0,0.182392737623559,1.92975383451283,947ba41f-39fa-4b27-979d-f9eb1756da10,0
45150,Lee,01081,East Central,1189,37,0.153274187500529,2.0496448391292,22cdad6e-ef39-403d-9245-63522ac2cb26,0
45151,Limestone,01083,Northern,409,0,0.155003206122046,1.71814668265853,cc1b6f83-d5de-4ba2-9e2b-86fd94d5917e,0
45152,Lowndes,01085,East Central,458,20,0.179493868658938,2.34426217715912,6138620c-6344-40ee-ad99-47ec49dd1c5f,0
45153,Macon,01087,East Central,170,8,0.152225727451423,2.0876916570357,af262411-249a-4a43-8815-fe19318535e2,0
