ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,778,16,18,88,103,110,118,119,99,70,36,1,0 to 118,49,437,330,11,778,0,0,9,674,2,116,2,102,676,0,0,778,82,20,0,0,27,75,0,102,3,6,15,18,19,19,16,3,2,0,1,0 to 83,38,74,10,15,3,29,67,6,5,0,0,0,0,0,102,75,27,102,0,0,2240,0,2345,2240,102,0,180,163,39,38,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3594,76,127,356,517,445,559,605,434,300,162,13,0 to 118,49,2237,1314,43,3586,8,0,92,3255,133,345,22,381,3210,1,2,3583,226,155,0,0,207,169,5,381,8,34,68,62,52,53,46,29,19,8,2,0 to 98,38,173,152,21,35,47,287,47,57,0,36,0,0,6,381,169,207,381,0,0,6251,8,6641,6259,381,6,191,122,40,38,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,917,33,20,83,140,118,114,166,142,74,23,4,0 to 118,50,506,380,31,910,7,0,17,762,3,168,28,80,835,1,1,908,67,12,1,0,29,50,0,79,0,2,16,27,14,3,8,3,7,0,0,6 to 84,32,49,7,18,5,26,46,7,18,0,7,0,0,1,80,50,30,79,1,0,1333,6,1421,1339,80,1,210,108,32,32,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7333,164,159,605,1098,1054,956,1107,835,740,575,40,0 to 119,51,4418,2875,40,7186,146,1,191,6552,137,511,83,704,6628,0,1,7186,567,123,9,5,356,334,0,690,7,26,105,154,117,88,89,56,43,19,0,0 to 99,40,479,61,63,87,172,406,112,104,3,60,1,0,7,704,342,362,689,14,1,12627,132,13473,12759,704,7,1105,673,43,40,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,554,5,4,44,53,81,77,93,85,72,39,1,0 to 99,56,333,205,16,554,0,0,6,446,4,60,5,77,475,0,2,552,61,16,0,0,57,20,0,77,0,0,6,8,5,2,4,9,21,21,1,20 to 99,77,54,10,2,11,1,60,16,12,0,8,0,0,6,77,20,57,77,0,0,821,0,900,821,77,6,131,69,78,77,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,74101,1139,1725,5774,9214,9049,10429,12427,10963,7672,4101,1608,0 to 119,54,40422,33388,291,73313,786,2,2900,65098,465,9744,385,14447,59300,187,167,72964,14146,154,141,6,7113,7155,32,14300,244,506,1979,2573,2328,2119,1856,1190,910,731,11,0 to 104,42,5864,2435,2263,3738,4757,5560,3983,2459,37,1810,23,14,512,14447,7240,7174,14298,147,2,131227,636,146543,131863,14447,512,4614,4349,44,42,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11094,197,236,816,1383,1396,1721,1909,1730,1112,560,34,0 to 119,53,6389,4496,209,10948,146,0,538,9283,188,1610,76,1812,9188,5,89,10854,1720,81,11,0,976,818,7,1801,41,55,238,319,278,315,243,161,91,68,3,0 to 99,43,632,292,162,715,344,622,835,232,1,168,2,0,48,1812,823,982,1801,11,0,20950,135,22906,21085,1812,48,1039,1024,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,15411,299,378,1335,1960,2128,2422,2631,2280,1367,581,30,0 to 119,51,8887,6470,54,15332,79,0,407,13674,223,1441,129,2133,13232,2,44,15286,2060,59,13,1,1091,1024,4,2119,40,60,391,418,367,311,249,189,78,30,0,0 to 99,38,1102,153,213,651,364,1005,750,255,4,142,4,1,21,2133,1032,1097,2119,14,0,33702,65,35910,33767,2133,21,2285,1733,43,38,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2999,51,101,222,500,508,528,469,390,146,82,2,0 to 119,47,2074,914,11,2981,17,1,45,2692,46,373,16,389,2607,1,2,2979,375,10,4,0,270,115,0,385,4,15,30,77,81,76,41,34,20,11,0,0 to 98,43,148,155,19,63,45,262,78,84,0,62,0,0,7,389,115,274,384,4,1,5471,13,5880,5484,389,7,430,236,43,43,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13692,193,325,1976,2254,1966,2033,2142,1749,679,342,33,0 to 119,45,7061,6473,158,13451,240,1,250,12663,201,854,102,1149,12393,3,147,13302,1096,15,37,1,554,557,0,1111,6,38,507,222,117,99,88,53,14,4,1,0 to 91,25,323,359,43,386,61,636,414,118,11,50,9,7,8,1149,576,573,1110,38,1,27755,202,29158,27957,1149,8,901,482,30,25,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,594,15,13,28,50,83,82,119,121,65,17,1,0 to 101,57,358,232,4,589,5,0,7,489,41,93,7,51,543,0,0,589,26,23,2,0,31,18,0,49,2,1,5,6,10,5,7,7,4,4,0,0 to 95,52,17,23,7,2,8,37,4,8,2,9,0,0,4,51,20,31,49,2,0,1202,3,1257,1205,51,4,86,48,58,52,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1188,56,48,105,141,155,158,176,183,110,49,7,0 to 99,50,754,428,6,1164,24,0,28,909,53,357,16,200,984,1,3,1160,112,83,5,0,120,75,0,195,14,11,22,26,33,24,38,15,6,11,0,0 to 98,42,44,130,15,6,15,160,20,36,0,6,0,1,3,200,77,123,195,5,0,1773,19,1995,1792,200,3,369,269,50,42,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2218,3,4,158,690,561,398,269,93,28,6,8,0 to 92,39,172,2038,8,2218,0,0,1,2001,1,86,0,222,1996,0,0,2218,219,3,0,0,6,216,0,222,0,0,13,58,55,54,36,5,0,1,0,20 to 85,41,116,97,5,4,7,133,82,6,0,1,0,0,1,222,216,6,222,0,0,2113,0,2337,2113,222,1,55,30,41,41,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,2032,20,31,163,543,419,327,246,168,69,42,4,0 to 118,41,467,1538,27,2026,6,0,38,1885,9,343,6,345,1686,0,1,2025,333,9,2,1,76,266,0,342,9,14,33,93,69,63,50,11,3,0,0,0 to 84,38,144,158,34,6,58,134,150,38,1,10,0,0,2,345,268,77,342,3,0,2376,3,2725,2379,345,2,20,18,39,38,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3533,39,38,266,466,490,580,657,461,293,188,55,0 to 119,52,1973,1506,54,3483,50,0,150,3161,28,446,65,408,3041,0,84,3410,346,44,17,1,206,184,0,390,5,5,62,90,72,78,48,29,16,3,0,1 to 93,40,286,44,23,37,97,243,50,95,6,35,2,2,5,408,192,216,390,18,0,7588,21,8026,7609,408,5,101,93,44,40,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3496,90,107,246,431,436,456,673,556,290,202,9,0 to 119,54,1973,1426,97,3481,15,0,229,3050,63,390,16,296,3197,0,3,3478,255,39,2,0,146,148,0,294,9,16,33,66,44,44,40,25,12,7,0,0 to 97,40,136,112,38,8,41,241,12,11,0,31,0,0,3,296,150,146,294,2,0,5644,13,5958,5657,296,3,30,28,40,40,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,934,30,17,103,138,132,152,153,108,67,32,2,0 to 99,48,516,364,54,874,60,0,36,847,16,99,5,72,861,0,1,873,42,30,0,0,36,33,3,72,0,2,11,9,13,8,11,9,6,3,0,10 to 97,46,54,14,2,2,1,67,4,18,0,15,0,0,4,72,33,36,72,0,0,1684,60,1816,1744,72,4,94,93,48,46,1.77124519435665,0.142602236961311
