County,Cases,Deaths,Recovered,ReportDate
TULSA,4571,72,3451,2020-07-08
OKLAHOMA,4039,71,2882,2020-07-08
CLEVELAND,1186,40,913,2020-07-08
TEXAS,998,6,982,2020-07-08
MCCURTAIN,581,9,413,2020-07-08
COMANCHE,463,7,398,2020-07-08
PAYNE,455,1,366,2020-07-08
WASHINGTON,437,39,369,2020-07-08
CANADIAN,409,3,293,2020-07-08
WAGONER,336,19,245,2020-07-08
ROGERS,278,7,170,2020-07-08
MCCLAIN,221,4,168,2020-07-08
GRADY,212,5,139,2020-07-08
CADDO,200,11,177,2020-07-08
DELAWARE,200,17,145,2020-07-08
CREEK,194,7,141,2020-07-08
OSAGE,188,8,163,2020-07-08
MUSKOGEE,159,12,96,2020-07-08
CARTER,151,2,94,2020-07-08
BRYAN,146,1,89,2020-07-08
POTTAWATOMIE,134,4,101,2020-07-08
ADAIR,130,4,112,2020-07-08
CHOCTAW,121,1,107,2020-07-08
OTTAWA,121,2,71,2020-07-08
KAY,115,8,86,2020-07-08
OKMULGEE,113,0,58,2020-07-08
MAYES,105,5,77,2020-07-08
GARVIN,98,2,70,2020-07-08
CHEROKEE,97,1,81,2020-07-08
GARFIELD,86,2,65,2020-07-08
STEPHENS,74,1,57,2020-07-08
MCINTOSH,71,1,56,2020-07-08
LOGAN,70,1,48,2020-07-08
CUSTER,69,0,54,2020-07-08
PITTSBURG,69,3,55,2020-07-08
GREER,67,7,57,2020-07-08
PONTOTOC,63,2,39,2020-07-08
PAWNEE,61,2,53,2020-07-08
SEQUOYAH,57,3,37,2020-07-08
JACKSON,54,3,33,2020-07-08
LE FLORE,48,1,30,2020-07-08
SEMINOLE,48,3,33,2020-07-08
NOBLE,48,1,35,2020-07-08
MARSHALL,43,0,31,2020-07-08
LOVE,40,0,36,2020-07-08
KINGFISHER,38,0,25,2020-07-08
LINCOLN,38,2,30,2020-07-08
NOWATA,37,1,34,2020-07-08
BEAVER,32,0,32,2020-07-08
ATOKA,30,0,17,2020-07-08
TILLMAN,25,1,23,2020-07-08
CRAIG,23,0,21,2020-07-08
MURRAY,23,0,19,2020-07-08
BLAINE,18,0,16,2020-07-08
PUSHMATAHA,17,0,11,2020-07-08
OKFUSKEE,16,0,14,2020-07-08
HASKELL,15,0,10,2020-07-08
JOHNSTON,15,0,12,2020-07-08
KIOWA,15,1,9,2020-07-08
WOODWARD,15,0,12,2020-07-08
LATIMER,14,1,10,2020-07-08
HUGHES,13,0,10,2020-07-08
BECKHAM,13,0,9,2020-07-08
JEFFERSON,13,0,9,2020-07-08
COAL,10,0,7,2020-07-08
MAJOR,9,1,8,2020-07-08
COTTON,9,2,5,2020-07-08
WOODS,9,0,5,2020-07-08
WASHITA,6,0,3,2020-07-08
DEWEY,4,0,4,2020-07-08
HARMON,3,0,1,2020-07-08
GRANT,2,0,2,2020-07-08
ELLIS,2,0,1,2020-07-08
ALFALFA,1,0,1,2020-07-08
CIMARRON,1,0,1,2020-07-08
HARPER,1,0,1,2020-07-08
