ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,807,18,21,92,106,115,124,122,102,71,36,0,0 to 118,49,451,347,9,807,0,0,18,677,2,170,3,124,683,0,0,807,104,20,0,0,36,88,0,124,5,6,19,21,22,23,19,6,3,0,0,0 to 83,39,90,13,15,6,29,85,10,8,0,1,0,0,0,124,88,36,124,0,0,2406,0,2533,2406,124,0,229,212,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3795,82,146,407,560,477,579,619,447,304,162,12,0 to 118,49,2304,1412,79,3785,10,0,94,3402,133,432,22,593,3199,1,2,3782,326,265,1,1,281,267,43,591,13,54,118,109,85,75,62,43,24,9,1,0 to 98,35,264,202,45,80,93,370,128,83,0,44,0,0,6,593,268,282,591,2,0,7131,8,7734,7139,593,6,211,142,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,954,33,20,91,150,126,119,170,144,73,24,4,0 to 118,49,531,392,31,946,8,0,20,769,3,204,28,109,844,1,0,945,86,21,2,0,50,56,1,107,0,2,21,35,20,7,12,4,8,0,0,6 to 84,33,61,17,20,9,26,71,10,23,0,8,0,0,1,109,56,52,107,2,0,1529,6,1647,1535,109,1,274,172,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7631,185,172,667,1148,1100,1007,1128,859,748,577,40,0 to 119,50,4572,3007,52,7482,148,1,209,6673,137,640,88,971,6644,0,16,7467,820,132,12,5,507,444,1,952,12,33,168,194,159,132,112,76,54,29,0,0 to 99,39,599,80,76,197,199,509,244,114,3,68,1,0,9,969,453,515,951,17,1,15357,131,16472,15488,969,9,1236,805,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,582,5,4,51,56,83,82,103,87,72,39,0,0 to 99,56,347,219,16,582,0,0,7,452,4,89,5,106,476,0,0,582,90,16,0,0,71,35,0,106,0,0,14,11,8,8,12,11,21,21,0,15 to 99,65,75,14,7,10,9,81,16,18,0,12,0,0,6,106,35,71,106,0,0,918,0,1027,918,106,6,196,134,65,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,78194,1220,1906,6489,10036,9728,11010,12923,11223,7829,4221,1609,0 to 119,53,42516,35362,316,77357,835,2,3493,67587,465,11486,414,18238,59596,184,176,77002,17876,161,188,6,9009,8973,55,18037,311,660,2641,3368,2975,2654,2302,1415,1047,846,12,0 to 105,41,7099,2941,2632,5365,5585,6741,5711,2674,40,1944,26,14,569,18231,9080,9093,18035,194,2,148329,638,167455,148967,18231,569,5623,5358,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11916,205,277,926,1507,1529,1842,2012,1809,1171,601,37,0 to 119,53,6861,4829,226,11767,149,0,614,9752,188,2063,87,2433,9358,6,119,11642,2326,92,15,0,1312,1086,20,2418,49,88,341,429,388,405,305,214,124,84,6,0 to 102,42,829,393,212,984,485,835,1098,282,1,212,2,1,59,2433,1095,1318,2418,15,0,23508,134,26088,23642,2433,59,1605,1590,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,16547,320,421,1544,2168,2301,2611,2769,2377,1409,596,31,0 to 119,50,9426,7030,91,16464,83,0,582,14174,223,2059,143,3196,13308,2,41,16421,3100,75,17,1,1590,1551,34,3175,56,94,580,623,536,482,376,274,123,48,1,0 to 119,39,1667,205,295,1008,535,1466,1174,367,8,203,4,1,26,3193,1560,1599,3175,18,0,38746,65,42023,38811,3193,26,2803,2251,39,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3096,54,110,239,511,530,541,482,395,149,83,2,0 to 119,47,2116,969,11,3078,17,1,54,2729,46,443,18,481,2613,1,1,3077,465,12,4,0,316,161,0,477,5,24,46,89,104,88,53,39,21,12,0,0 to 98,41,174,184,25,94,69,301,107,104,0,72,0,0,7,481,161,320,476,4,1,5987,13,6493,6000,481,7,500,306,41,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14365,202,357,2222,2399,2050,2093,2200,1764,688,348,42,0 to 119,44,7433,6781,151,14113,251,1,271,13206,201,993,105,1957,12396,2,10,14102,1889,17,46,3,970,907,29,1906,14,67,867,382,207,166,141,72,20,9,10,0 to 105,25,487,493,64,862,99,837,970,129,11,60,10,7,8,1955,930,996,1905,49,1,33438,202,35672,33640,1955,8,1039,620,25,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,616,14,14,35,55,84,84,122,121,67,19,1,0 to 101,56,367,245,4,610,6,0,8,494,41,111,8,69,547,0,0,610,40,26,3,0,38,28,0,66,2,1,11,10,10,6,10,7,6,6,0,0 to 95,51,31,27,7,1,9,54,3,12,2,10,0,0,4,69,31,38,66,3,0,1318,3,1391,1321,69,4,112,74,51,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1288,60,60,121,154,167,179,186,190,112,52,7,0 to 99,49,819,463,6,1263,25,0,34,918,53,429,24,274,1013,0,1,1262,156,112,5,0,169,99,0,268,17,18,30,37,44,41,45,20,7,14,0,0 to 98,42,56,187,17,8,20,218,30,58,0,11,0,1,4,273,101,172,268,5,0,2097,20,2394,2117,273,4,465,365,42,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2244,3,6,163,694,562,405,274,94,29,6,8,0 to 92,39,186,2051,7,2244,0,0,1,2003,1,112,0,249,1995,0,0,2244,245,4,0,0,17,232,0,249,0,2,18,62,56,62,41,6,1,1,0,10 to 85,41,138,99,5,7,7,156,86,8,0,2,0,0,1,249,232,17,249,0,0,2160,0,2411,2160,249,1,104,79,41,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,2091,26,39,180,553,420,333,248,174,72,42,4,0 to 118,40,506,1559,26,2085,6,0,46,1893,9,406,6,405,1685,0,1,2084,393,9,2,1,116,286,0,402,15,22,50,104,70,69,52,17,6,0,0,0 to 84,36,161,202,35,4,67,187,148,54,1,15,0,0,2,405,288,117,402,3,0,2674,3,3084,2677,405,2,35,33,36,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3893,46,49,339,541,555,629,698,485,306,190,55,0 to 119,51,2158,1680,55,3839,54,0,226,3363,28,677,76,880,3012,0,1,3838,766,79,34,1,442,401,2,845,13,18,158,193,159,138,104,60,29,8,0,0 to 95,38,542,109,46,148,142,520,183,115,6,39,2,2,5,880,422,456,845,35,0,8741,21,9666,8762,880,5,120,112,38,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3579,96,112,256,439,448,469,690,563,293,204,9,0 to 119,54,2023,1463,93,3563,16,0,268,3053,63,468,16,392,3184,0,3,3560,347,42,3,0,195,194,0,389,15,21,43,75,57,56,61,35,20,9,0,0 to 97,43,183,140,48,18,53,314,22,12,0,44,0,0,4,392,196,196,389,3,0,6358,13,6768,6371,392,4,36,34,43,2.63367862103558,0.193837653658007
