County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1208,56,1008,2020-05-25
TULSA,926,44,725,2020-05-25
TEXAS,886,5,493,2020-05-25
CLEVELAND,490,37,427,2020-05-25
WASHINGTON,310,33,270,2020-05-25
COMANCHE,268,3,212,2020-05-25
WAGONER,148,17,116,2020-05-25
CADDO,146,10,102,2020-05-25
CANADIAN,128,3,110,2020-05-25
DELAWARE,99,16,76,2020-05-25
MCCLAIN,98,2,83,2020-05-25
OSAGE,94,8,81,2020-05-25
CREEK,91,7,79,2020-05-25
ADAIR,82,3,64,2020-05-25
GRADY,79,3,54,2020-05-25
ROGERS,78,5,67,2020-05-25
GREER,66,7,58,2020-05-25
POTTAWATOMIE,57,4,50,2020-05-25
KAY,52,7,42,2020-05-25
PAYNE,45,1,43,2020-05-25
PITTSBURG,40,3,37,2020-05-25
STEPHENS,37,1,22,2020-05-25
MUSKOGEE,35,6,24,2020-05-25
OTTAWA,35,2,32,2020-05-25
MAYES,30,4,23,2020-05-25
MCCURTAIN,29,0,10,2020-05-25
PAWNEE,29,2,27,2020-05-25
CHEROKEE,28,1,27,2020-05-25
GARFIELD,26,1,22,2020-05-25
BEAVER,24,0,21,2020-05-25
CARTER,23,1,8,2020-05-25
OKMULGEE,23,0,17,2020-05-25
SEMINOLE,23,2,19,2020-05-25
TILLMAN,23,1,21,2020-05-25
JACKSON,23,2,19,2020-05-25
NOWATA,23,0,22,2020-05-25
BRYAN,22,1,14,2020-05-25
CHOCTAW,21,0,4,2020-05-25
LINCOLN,21,2,15,2020-05-25
LOGAN,19,1,17,2020-05-25
GARVIN,15,1,14,2020-05-25
LOVE,15,0,3,2020-05-25
CRAIG,15,0,13,2020-05-25
LE FLORE,14,1,11,2020-05-25
SEQUOYAH,14,3,11,2020-05-25
PONTOTOC,12,2,8,2020-05-25
CUSTER,12,0,12,2020-05-25
KINGFISHER,11,0,10,2020-05-25
MCINTOSH,11,1,7,2020-05-25
MARSHALL,8,0,5,2020-05-25
NOBLE,7,0,7,2020-05-25
KIOWA,6,0,4,2020-05-25
MAJOR,6,1,5,2020-05-25
HASKELL,6,0,5,2020-05-25
BECKHAM,6,0,6,2020-05-25
LATIMER,5,1,4,2020-05-25
COTTON,5,2,3,2020-05-25
BLAINE,5,0,2,2020-05-25
WOODWARD,4,0,1,2020-05-25
JOHNSTON,3,0,3,2020-05-25
OKFUSKEE,3,0,1,2020-05-25
WOODS,3,0,3,2020-05-25
DEWEY,3,0,2,2020-05-25
JEFFERSON,3,0,3,2020-05-25
PUSHMATAHA,2,0,1,2020-05-25
WASHITA,2,0,1,2020-05-25
MURRAY,2,0,2,2020-05-25
GRANT,2,0,2,2020-05-25
ALFALFA,1,0,1,2020-05-25
COAL,1,0,0,2020-05-25
ATOKA,1,0,1,2020-05-25
CIMARRON,1,0,1,2020-05-25
HARPER,1,0,1,2020-05-25
