OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,63,3,1,9,7,13,7,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,45,0 to 89,NA,NA,0,0,36,27,0,63,0,0,5,58,0,0,0,0,0,0,0,0,63,0,63,0,0,1,2,0,0,0,0,0,0,0,63,0,63,63,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,508,14,14,42,72,67,75,95,60,51,17,1,0,1,2,0,2,6,2,5,1,0,49,0 to 97,51,14 to 82,19,0,294,191,23,507,1,0,98,398,12,12,2,5,14,1,4,1,503,19,483,1,5,55,20,89,19,9,10,19,0,0,483,1,508,484,19,1,38,37,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,49,0,0,2,5,10,8,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,51,19 to 81,NA,NA,0,0,28,21,0,49,0,0,5,43,1,0,0,0,0,0,0,0,49,0,49,0,0,6,0,0,0,0,0,0,0,0,49,0,49,49,0,0,3,3,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,522,24,19,38,94,87,78,87,54,31,9,1,1,0,2,12,9,8,10,9,10,1,45,0 to 93,52,3 to 87,59,0,311,197,14,517,4,1,77,404,41,36,4,22,54,0,8,1,497,62,435,0,25,56,20,71,62,32,30,58,3,1,434,1,522,435,62,1,231,147,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,30,0,1,3,5,5,1,4,5,5,1,0,0,0,0,1,0,0,0,1,0,1,51,14 to 88,62,26 to 88,3,0,15,13,2,30,0,0,1,26,3,0,1,2,0,1,2,0,30,3,27,0,0,2,2,0,3,1,1,3,0,0,27,0,30,27,3,0,7,6,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,5572,84,88,381,777,789,892,869,820,573,278,21,4,2,57,98,117,146,153,182,168,70,52,0 to 110,58,0 to 99,966,0,3140,2353,79,5516,54,2,326,5139,107,80,717,201,174,671,153,49,5489,998,4490,1,83,141,543,210,998,509,480,964,32,2,4469,21,5572,4490,998,49,650,536,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1065,23,32,71,128,144,178,179,164,104,42,0,0,0,5,6,8,10,19,20,9,4,51,0 to 98,58,18 to 95,79,0,604,410,51,1060,5,0,90,941,34,40,5,36,52,5,24,3,1044,81,963,0,21,83,15,42,81,36,45,79,2,0,960,3,1065,963,81,3,73,68,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,2248,39,56,144,275,366,403,418,329,163,52,3,1,1,8,11,22,19,18,16,2,0,50,0 to 100,47,1 to 82,94,0,1371,869,8,2229,19,0,117,2068,63,37,30,31,68,10,20,2,2230,98,2131,1,18,89,59,72,98,51,47,94,4,0,2116,15,2248,2131,98,2,257,168,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,77,4,0,4,12,7,20,10,12,6,1,1,0,0,0,2,0,1,0,0,1,0,49,0 to 90,50,32 to 81,4,0,49,27,1,76,0,1,5,67,5,2,2,0,3,1,0,0,77,4,73,0,0,2,5,4,4,2,2,3,0,1,73,0,77,73,4,0,11,11,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1010,30,23,145,183,149,154,161,106,46,13,0,0,0,4,10,12,6,6,4,0,1,43,0 to 95,43,19 to 86,40,0,591,402,17,1004,5,1,28,949,33,21,1,21,34,1,8,0,1006,43,963,0,4,24,20,26,43,23,20,39,3,1,961,2,1010,963,43,0,156,110,1817477697.41779,246081.909627491
