ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,25,1961,1,144,16,555,206,113,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,96,17804,4,1525,63,3006,1412,890,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,56,4308,4,270,26,1205,581,208,3,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,69,6024,4,307,26,1055,321,220,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,3,561,Â 0,48,7,179,130,38,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,23,1947,1,63,7,208,148,31,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,63,17142,7,1595,46,1980,832,528,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,24,2066,Â 0,134,14,424,187,102,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,68,17977,1,1139,15,697,388,178,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,9,960,Â 0,57,4,207,160,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,56,6413,2,449,23,1030,473,288,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,80,7800,5,556,53,1545,659,407,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,56,8372,Â 0,686,49,1674,712,400,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,80,15686,2,890,25,1054,603,324,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,16,552,1,28,4,104,49,19,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,25,4450,2,399,32,937,550,279,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,2,1079,0Â ,145,5,243,116,102,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,38,15169,3,1025,29,1266,576,444,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,4,1125,0Â ,126,7,401,106,106,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,14,6207,2,592,42,1276,573,439,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,86,15351,13,955,42,1520,695,470,7,1.62072838209013,0.0871537443231625
