ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,557,11,10,59,69,69,79,89,74,63,34,0,0 to 118,52,348,200,9,557,0,0,5,546,2,17,1,11,545,1,0,556,10,1,0,0,6,5,0,11,0,0,2,1,1,2,3,1,1,0,0,21 to 79,52,8,1,0,2,0,10,1,1,0,0,0,0,0,11,5,6,11,0,0,597,0,609,597,11,0,18,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,2938,57,86,266,413,364,460,475,374,278,154,11,0 to 118,50,1835,1056,47,2931,7,0,72,2705,133,215,19,140,2794,2,2,2927,94,46,0,0,83,57,0,140,0,12,13,17,21,23,15,18,14,7,0,6 to 98,48,78,54,8,0,6,130,4,31,0,18,0,0,4,140,57,83,140,0,0,3132,7,3287,3139,140,4,98,29,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,545,33,13,35,67,73,64,94,98,49,17,2,0 to 118,53,308,213,24,544,1,0,15,494,3,77,3,12,531,1,1,542,7,5,0,0,7,5,0,12,0,0,3,2,0,1,4,2,0,0,0,20 to 70,52,12,0,0,0,0,12,0,2,0,0,0,0,0,12,5,7,12,0,0,668,1,684,669,12,0,86,69,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,5762,136,110,431,855,860,781,902,693,564,391,39,0 to 119,51,3470,2250,42,5627,134,1,105,5418,137,197,66,193,5569,0,0,5628,106,79,4,4,101,84,0,185,3,4,7,24,27,24,40,30,21,13,0,0 to 96,56,144,30,9,2,30,154,1,52,2,30,1,0,6,193,89,104,184,8,1,6482,126,6805,6608,193,6,479,144,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,466,5,4,36,39,68,59,81,77,63,33,1,0 to 99,57,269,178,19,466,0,0,3,401,4,41,3,52,413,1,0,465,35,17,0,0,41,11,0,52,0,0,4,3,4,1,2,6,14,18,0,20 to 99,80,34,9,1,8,0,41,11,10,0,5,0,0,3,52,11,41,52,0,0,500,0,554,500,52,3,65,11,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,57247,827,1069,3687,6574,6734,8094,10091,9089,6262,3228,1592,0 to 119,55,31645,25340,262,56590,655,2,1340,53731,465,3981,296,5201,51707,226,113,56256,4978,132,85,6,2497,2608,5,5110,42,90,463,775,771,801,762,620,526,350,1,0 to 104,50,2481,992,695,942,1505,2572,1033,1404,27,1059,17,11,315,5201,2659,2537,5108,91,2,56964,561,63163,57525,5201,315,710,446,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,8064,127,154,475,886,947,1233,1463,1396,916,439,28,0 to 119,56,4620,3232,212,7924,140,0,283,7298,188,683,70,391,7615,6,52,7866,340,41,10,0,202,179,0,381,2,5,25,56,58,65,61,56,39,24,0,3 to 97,53,196,93,38,54,61,248,72,122,0,88,1,0,28,391,183,208,381,10,0,8700,130,9231,8830,391,28,73,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,11395,207,257,771,1352,1590,1871,2039,1771,1062,447,28,0 to 119,53,6715,4640,40,11329,66,0,146,10911,223,444,95,349,11024,7,15,11307,294,45,9,1,183,156,0,339,6,7,27,41,66,72,47,52,16,15,0,1 to 94,49,223,37,41,38,67,227,45,89,4,72,3,1,12,349,162,187,339,10,0,12487,56,12911,12543,349,12,615,167,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2008,36,62,137,364,359,357,306,257,90,38,2,0 to 98,46,1417,578,13,2002,5,1,21,1832,46,233,13,255,1751,2,0,2001,243,8,4,0,193,58,0,251,2,4,12,54,60,50,29,24,11,9,0,0 to 98,44,101,112,9,29,19,189,43,45,0,42,0,0,1,255,59,196,250,4,1,2871,1,3137,2872,255,1,288,160,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,10992,167,228,1207,1868,1661,1746,1801,1417,550,316,31,0 to 119,47,5583,5272,137,10811,180,1,114,10498,201,336,73,332,10646,4,10,10798,300,10,21,1,167,143,0,310,1,4,77,63,45,49,57,25,8,3,0,2 to 87,39,120,167,7,16,20,269,21,72,10,36,9,6,6,332,154,178,309,22,1,11816,158,12312,11974,332,6,538,217,43,2.42861632663576,0.170704044186268
