ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,ALL_HOSPITAL_DISCHARGES,FEMALE,MALE,F0_4_YEARS,F5_17_YEARS,F18_24_YEARS,F25_34_YEARS,F35_49_YEARS,F50_64_YEARS,F65_74_YEARS,F75_YEARS_OR_OLDER,WHITE__NON_HISPANIC,BLACK__NON_HISPANIC,HISPANIC,ASIAN__NON_HISPANIC,OTHER__NON_HISPANIC,RACE_ETHNICITY_UNKNOWN_UNAVAILA,MISSING,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,33,3222,0,225,15,18,697,331,155,1,9,547,216,115,1,594,277,317,1,2,13,39,71,165,118,185,206,113,94,13,25,11,132,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,23,20192,3,1781,263,65,3328,1766,934,10,33,2335,1128,607,9,3170,1331,1851,3,4,24,105,316,843,692,1195,1564,288,724,332,148,41,85,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,36,5567,0,428,41,30,1378,783,280,5,18,1016,558,195,4,890,434,462,3,2,6,32,84,236,199,334,449,273,56,23,18,15,62,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,73,8026,0,511,55,33,1337,506,310,3,26,1197,430,274,3,1356,682,678,4,3,20,65,193,387,271,417,487,398,292,51,14,14,104,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,5,780,0,81,5,13,239,184,53,0,9,145,94,29,0,162,72,90,0,0,1,6,19,45,41,50,128,12,11,2,2,1,6,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,11,3118,0,141,13,7,388,263,67,1,6,284,234,40,1,125,105,100,1,0,5,15,31,67,36,50,95,48,35,4,6,8,9,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,40,19263,3,1854,247,50,2213,1098,581,21,22,1005,593,314,10,3439,1649,1800,12,20,51,157,451,1067,697,994,561,1763,720,79,72,61,193,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,23,2945,1,196,7,17,705,287,143,3,11,604,238,117,3,258,142,147,0,0,4,8,28,73,57,119,157,76,20,9,2,4,21,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,19,19329,3,1323,175,15,1011,592,255,8,12,865,502,210,8,2799,1164,1646,9,10,40,112,379,867,585,808,430,255,1054,159,253,46,613,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,3,1115,0,70,56,6,218,185,37,2,5,210,171,36,2,174,77,98,0,0,0,7,19,57,37,55,126,5,26,6,7,2,3,1.78512935993174,0.120468851107817
