ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
31,31,48,095,ORANGE,Orange,FL,86321,1514,2109,9485,14929,13413,13397,12643,8570,4075,1588,4598,0 to 120,44,46415,39275,631,84997,1323,1,1922,80309,585,6327,469,26559,59390,0,372,84627,26060,135,359,5,13058,12824,313,26195,404,678,5086,6660,4665,3872,2806,1369,689,306,24,0 to 106,35,5760,3417,3991,13027,3484,5135,17576,1375,51,715,40,5,173,26559,13016,13223,26194,364,1,205633,957,233412,206590,26559,173,2795,2567,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,5241,55,118,395,556,504,663,951,1058,709,224,8,0 to 222,58,2933,2154,154,5232,9,0,239,3837,119,989,40,1056,4175,1,9,5223,636,418,2,0,532,519,3,1054,11,28,157,143,118,159,193,126,86,35,0,0 to 100,50,803,70,67,114,56,827,171,71,0,95,0,0,20,1056,520,533,1054,2,0,14570,6,15642,14576,1056,20,1883,1430,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,5278,95,112,512,722,660,768,894,697,512,302,4,0 to 102,52,3145,2118,15,5251,27,0,449,3878,66,1523,55,1418,3858,1,1,5249,1159,246,12,1,766,638,1,1405,20,47,215,244,203,213,197,139,96,44,0,0 to 100,43,948,134,131,192,212,850,343,270,2,158,2,1,21,1418,642,775,1405,13,0,14562,14,15999,14576,1418,21,1597,1546,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,50029,538,894,4208,7016,6067,7243,9037,7706,4676,2556,88,0 to 120,53,28502,21378,149,49648,381,0,4046,40224,411,12426,496,14985,35019,1,24,49624,14685,189,104,7,8000,6801,73,14874,206,498,2272,3108,2068,2136,2052,1242,829,565,9,0 to 104,41,6990,2529,1015,4340,1380,8346,5148,1706,23,1280,20,2,372,14985,6859,8051,14874,111,0,134761,267,150121,135028,14985,372,1146,1054,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2903,88,129,301,384,372,360,429,348,263,218,11,0 to 118,50,1770,1063,70,2886,17,0,107,2020,110,989,25,993,1910,0,0,2886,837,139,14,3,547,421,8,976,35,77,159,138,155,136,108,78,69,37,1,0 to 102,40,506,141,196,133,310,492,174,157,2,83,0,0,27,993,427,558,976,17,0,5376,0,6380,5376,993,27,263,259,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,65465,1047,1817,7345,11750,9860,9954,10547,7413,3722,1876,134,-6 to 119,45,35599,29087,779,64728,737,0,1653,58393,454,5125,252,19288,46050,11,116,64606,17686,1397,189,16,9919,9034,130,19083,255,744,3262,4587,3233,2816,2185,1257,598,342,9,0 to 102,37,4610,6110,1755,6608,1548,8999,8536,1021,27,561,14,5,138,19288,9145,10011,19083,205,0,161240,520,181250,161760,19288,138,4614,4500,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,412,8,3,49,55,43,43,50,57,58,45,1,0 to 119,56,259,145,8,412,0,0,13,339,0,42,1,82,330,0,0,412,75,7,0,0,44,36,2,82,3,3,9,18,5,13,14,11,3,3,0,1 to 98,48,45,14,13,10,13,58,11,19,0,7,0,0,0,82,36,44,82,0,0,723,0,808,723,82,0,58,58,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,900,17,44,79,98,98,158,172,144,70,20,0,0 to 94,52,507,390,3,837,63,0,55,598,1,201,21,242,658,0,0,837,229,3,10,0,127,105,0,232,4,14,34,30,36,52,40,27,4,1,0,1 to 89,46,138,80,4,10,16,200,16,50,2,12,2,0,0,242,112,130,232,10,0,2719,53,3018,2772,242,0,342,338,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1329,15,30,95,95,128,157,427,293,74,15,0,0 to 118,58,393,930,6,1329,0,0,46,1139,4,210,5,183,1146,0,0,1329,118,65,0,0,72,111,0,183,4,8,35,25,18,18,45,26,3,1,0,0 to 89,47,130,47,6,0,7,168,8,21,0,15,0,0,4,183,111,72,183,0,0,2833,0,3017,2833,183,4,253,251,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1665,32,42,158,213,198,249,310,197,157,103,6,0 to 118,52,1045,599,21,1663,2,0,79,1380,34,311,2,228,1436,0,1,1662,145,83,0,0,144,84,0,228,6,10,37,29,36,37,25,13,23,12,0,0 to 107,44,153,65,9,1,6,219,3,34,0,24,0,0,3,228,84,144,228,0,0,3528,2,3761,3530,228,3,475,443,1.60231093560507,0.0725862816422102
