ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,8,2222,0,159,16,621,267,120,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,24,18302,1,1580,63,3129,1573,909,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,28,4657,3,294,27,1288,669,239,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,31,6543,0,338,28,1170,410,242,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,6,623,0,49,9,196,140,39,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,12,2310,2,75,7,282,176,33,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,62,17695,3,1667,46,2092,956,553,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,11,2245,1,148,15,460,227,112,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,23,18428,0,1182,15,965,483,211,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,3,996,0,60,4,209,166,34,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,30,6961,3,475,23,1080,522,302,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,30,8249,2,599,53,1712,755,431,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,26,8770,1,740,49,1830,785,428,3,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,31,16200,1,929,25,1149,673,353,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,1,639,3,41,5,141,84,30,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,14,4595,0,419,33,976,585,278,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,5,1114,0,148,6,249,120,106,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,23,15858,1,1074,29,1393,596,462,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1165,1,132,7,402,121,110,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,10,6506,2,616,42,1357,639,456,5,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,50,15977,3,996,42,1673,797,482,7,1.62072838209013,0.0871537443231625
