ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,656,11,10,69,81,86,97,105,92,69,36,0,0 to 118,52,400,246,10,656,0,0,7,641,2,34,1,15,640,1,0,655,14,1,0,0,7,8,0,15,0,0,3,1,3,3,3,1,1,0,0,18 to 79,45,10,1,2,2,2,12,1,1,0,0,0,0,0,15,8,7,15,0,0,867,0,883,867,15,0,18,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3361,67,99,305,483,416,532,573,421,294,160,11,0 to 118,50,2126,1190,45,3353,8,0,72,3113,133,229,19,153,3204,2,2,3349,102,51,0,0,94,59,0,153,0,12,13,22,24,26,15,19,15,7,0,6 to 98,47,89,56,7,1,7,143,3,35,0,21,0,0,6,153,59,94,153,0,0,3658,8,3821,3666,153,6,109,40,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,822,33,17,71,109,100,108,151,138,68,23,4,0 to 118,52,466,325,31,815,7,0,15,743,3,91,4,22,799,1,0,814,14,8,0,0,11,11,0,22,0,0,6,6,2,1,5,2,0,0,0,20 to 70,32,22,0,0,0,1,21,0,5,0,3,0,0,0,22,11,11,22,0,0,1002,7,1032,1009,22,0,123,58,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6787,157,128,504,964,963,886,1047,803,728,568,39,0 to 119,52,4143,2599,45,6646,140,1,110,6390,137,234,66,232,6552,2,1,6644,143,81,4,4,120,104,0,224,4,10,12,29,35,31,41,32,25,13,0,0 to 96,52,169,32,20,3,48,173,3,63,2,38,1,0,6,232,109,123,223,8,1,7842,132,8208,7974,232,6,543,184,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,524,5,4,39,45,77,73,90,83,72,35,1,0 to 99,56,311,194,19,524,0,0,3,441,4,51,3,61,462,1,0,523,44,17,0,0,47,14,0,61,0,0,4,3,4,1,2,7,21,19,0,20 to 99,79,43,9,1,8,0,50,11,12,0,6,0,0,4,61,14,47,61,0,0,568,0,631,568,61,4,67,6,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,64909,932,1294,4260,7526,7606,9084,11310,10320,7237,3746,1594,0 to 119,55,35789,28833,287,64163,744,2,1592,60695,465,4727,307,6135,58418,222,134,63812,5898,134,97,6,2949,3073,10,6032,62,145,573,971,966,934,880,663,554,384,3,0 to 104,48,2799,1152,879,1202,1872,2866,1294,1571,29,1180,20,13,337,6135,3130,2995,6030,103,2,69493,638,76501,70131,6135,337,730,465,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,9473,152,176,588,1098,1157,1441,1705,1603,1035,488,30,0 to 119,55,5452,3797,224,9326,147,0,345,8554,188,824,71,473,8926,7,67,9252,409,53,11,0,244,216,2,462,3,8,34,80,71,73,72,62,42,28,0,2 to 97,51,225,112,46,79,74,289,99,141,0,97,1,0,30,473,221,250,462,11,0,10697,136,11314,10833,473,30,74,59,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13238,255,306,901,1538,1778,2101,2374,2113,1291,553,28,0 to 119,53,7755,5436,47,13164,74,0,153,12691,223,487,97,388,12828,6,16,13142,333,45,9,1,202,176,0,378,7,11,30,47,73,76,54,57,18,15,0,0 to 94,49,250,44,46,38,77,254,47,95,4,76,3,1,13,388,182,206,378,10,0,15332,64,15794,15396,388,13,664,191,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2863,48,88,204,479,492,497,455,382,137,79,2,0 to 119,47,1997,852,14,2845,17,1,27,2664,46,267,14,276,2585,2,0,2844,263,9,4,0,205,67,0,272,2,4,15,60,66,53,30,26,11,9,0,0 to 98,43,102,115,11,44,20,194,58,47,0,44,0,0,2,276,67,209,271,4,1,3871,13,4168,3884,276,2,337,176,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12641,186,292,1439,2064,1865,1953,2087,1712,672,340,31,0 to 119,47,6536,5968,137,12413,227,1,137,12047,201,406,81,405,12222,4,10,12400,369,10,25,1,202,177,0,379,2,13,107,72,53,54,63,29,9,3,0,0 to 87,36,138,213,8,20,21,333,25,75,11,37,9,6,7,405,192,213,378,26,1,14675,201,15286,14876,405,7,582,220,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,558,11,12,20,43,75,78,117,120,64,17,1,0 to 101,58,332,221,5,553,5,0,6,488,41,67,7,29,529,0,0,553,6,21,2,0,15,12,0,27,0,0,1,2,1,3,7,7,4,4,0,22 to 95,66,9,12,6,0,3,23,1,4,2,7,0,0,3,29,14,15,27,2,0,661,3,694,664,29,3,46,9,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1010,42,33,85,112,119,138,146,176,105,47,7,0 to 99,52,643,360,7,987,23,0,24,887,53,214,10,69,939,2,0,985,23,42,4,0,39,26,0,65,2,0,8,4,8,8,16,10,4,9,0,0 to 98,57,21,37,4,3,1,52,12,10,0,4,0,1,4,69,27,42,65,4,0,1039,19,1129,1058,69,4,119,32,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2211,3,4,155,688,561,398,268,93,28,5,8,0 to 92,39,166,2036,9,2211,0,0,1,2004,1,55,0,213,1998,0,0,2211,210,3,0,0,5,208,0,213,0,0,12,55,52,54,36,4,0,0,0,20 to 73,41,110,95,5,3,6,131,76,5,0,1,0,0,0,213,208,5,213,0,0,2036,0,2251,2036,213,0,25,6,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1934,12,18,146,525,403,313,235,166,69,43,4,0 to 118,41,412,1490,32,1930,4,0,31,1856,9,238,5,239,1694,1,0,1929,230,8,0,1,20,218,0,238,1,1,17,73,51,48,36,9,3,0,0,4 to 84,40,113,104,14,7,26,67,145,15,1,4,0,0,0,239,218,21,238,1,0,1912,3,2155,1915,239,0,5,3,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3125,35,31,193,367,411,522,609,436,280,186,55,0 to 119,54,1752,1318,55,3104,21,0,44,3023,28,103,35,100,3023,2,0,3102,75,23,2,0,43,55,0,98,2,1,7,17,16,26,15,11,4,1,0,2 to 93,48,75,12,6,5,25,65,8,28,1,13,1,1,3,100,57,43,98,2,0,3803,19,3924,3822,100,3,35,28,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3362,85,94,231,397,416,440,661,544,285,199,10,0 to 119,55,1896,1363,103,3348,14,0,175,3066,63,244,16,148,3210,0,4,3344,118,29,1,0,69,78,0,147,4,4,16,33,22,28,25,11,4,1,0,0 to 91,44,73,66,5,3,9,133,5,5,0,13,0,0,2,148,79,69,147,1,0,3728,13,3895,3741,148,2,9,7,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,883,30,14,95,131,119,143,148,103,66,32,2,0 to 99,48,488,340,55,823,60,0,22,839,16,62,3,29,854,0,0,823,10,19,0,0,18,11,0,29,0,0,3,3,3,1,5,6,5,3,0,20 to 97,64,20,7,2,0,0,28,1,8,0,11,0,0,3,29,11,18,29,0,0,941,60,1030,1001,29,3,4,3,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,761,12,12,57,86,91,124,146,148,63,21,1,0 to 119,54,430,312,19,752,9,0,3,745,5,18,3,19,742,0,0,752,13,6,0,0,8,11,0,19,1,0,0,4,6,4,1,2,1,0,0,1 to 79,40,14,3,1,1,0,18,1,4,0,1,0,0,0,19,11,8,19,0,0,815,9,843,824,19,0,17,16,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,6678,115,123,421,595,723,832,1272,1313,918,346,20,0 to 100,59,3300,2886,492,6587,91,0,177,6145,82,530,66,652,6015,6,5,6577,629,11,12,0,303,335,2,640,24,28,92,90,124,110,88,42,38,15,1,0 to 92,41,260,16,228,136,336,171,133,129,2,82,1,1,9,652,343,307,640,12,0,7640,78,8377,7718,652,9,62,51,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,51471,1182,1361,4076,7487,7432,8035,8977,7222,3880,1722,97,0 to 119,50,29574,21666,231,51067,404,0,566,49837,458,1579,302,2251,49150,48,22,50998,2084,108,56,3,1168,1023,1,2192,30,61,242,362,360,353,323,241,166,113,0,0 to 104,46,991,463,447,291,621,1170,401,533,11,428,8,3,81,2251,1050,1200,2192,59,0,57899,344,60573,58243,2251,81,680,332,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,15070,245,295,791,1344,1512,1961,2892,3234,2003,690,103,0 to 119,59,8616,6130,324,14828,242,0,505,14058,177,983,43,1057,14007,6,0,14822,992,58,7,0,600,449,1,1050,10,33,63,119,145,153,165,152,137,80,0,0 to 101,55,696,191,82,81,260,663,127,145,2,215,2,2,97,1057,452,604,1050,7,0,17297,235,18597,17532,1057,97,190,92,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8151,118,198,600,934,1125,1335,1467,1295,757,301,21,0 to 101,53,4708,3327,116,8131,20,0,94,7755,130,425,43,383,7765,3,0,8128,322,58,3,0,221,158,1,380,0,3,19,34,46,59,69,72,53,28,0,6 to 95,59,223,75,33,49,27,292,61,115,0,92,0,0,28,383,159,223,380,3,0,9321,17,9725,9338,383,28,197,164,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,799,17,38,94,153,87,105,120,108,55,22,0,0 to 94,46,441,337,21,795,4,0,25,619,2,97,3,101,698,0,0,795,85,14,2,0,47,52,0,99,1,8,16,33,10,11,12,9,1,0,0,2 to 83,31,50,33,11,5,44,49,6,19,2,11,2,0,0,101,53,48,99,2,0,921,2,1024,923,101,0,139,102,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,12223,139,171,729,1351,1433,1825,2170,2306,1503,571,25,0 to 168,57,7400,4777,46,12192,31,0,3280,8579,177,1755,134,250,11666,1,306,11885,223,21,5,1,137,107,0,244,4,3,16,35,49,46,46,29,14,8,0,0 to 97,49,178,42,17,7,47,190,7,48,3,35,0,0,7,250,108,142,244,6,0,13166,25,13443,13191,250,7,286,129,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,19910,168,286,993,1992,2134,2871,4156,3891,2122,1009,288,0 to 119,58,11103,8076,731,19815,95,0,226,19132,230,711,134,741,19157,12,0,19803,612,115,13,1,333,394,0,727,4,18,53,101,88,125,138,123,51,40,0,0 to 102,53,419,168,124,16,106,580,41,205,5,146,4,0,38,741,400,341,727,14,0,21636,81,22478,21717,741,38,764,294,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,784,20,25,61,86,130,99,135,120,67,40,1,0 to 118,52,460,303,21,784,0,0,11,710,6,61,0,54,730,0,0,784,38,16,0,0,25,29,0,54,0,2,11,2,10,9,10,3,4,3,0,6 to 91,48,39,11,1,3,1,49,4,10,0,8,0,0,2,54,29,25,54,0,0,912,0,966,912,54,2,61,11,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,14904,205,226,745,1314,1439,1843,2427,2794,1987,650,1274,0 to 101,59,7815,5976,1113,14771,133,0,120,14442,222,322,92,304,14582,9,9,14753,274,16,14,0,153,137,0,290,1,8,19,33,42,56,47,50,42,6,0,1 to 98,52,158,39,73,20,75,192,23,119,11,72,5,1,15,304,145,159,290,14,0,16520,119,16953,16639,304,15,374,109,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1589,25,27,130,186,167,216,320,254,184,79,1,0 to 118,56,968,604,17,1588,1,0,17,1469,16,198,2,34,1555,0,0,1588,31,3,0,0,25,9,0,34,1,1,3,5,7,4,7,2,1,3,0,3 to 99,46,19,8,3,4,7,23,4,11,0,3,0,0,1,34,9,25,34,0,0,1950,1,1985,1951,34,1,59,9,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,3805,27,25,90,171,178,294,509,1408,885,131,87,0 to 119,69,1856,1734,215,3731,74,0,105,3455,164,265,53,253,3529,0,23,3708,204,48,0,1,72,180,0,252,0,0,7,6,31,40,38,87,37,7,0,17 to 92,65,210,34,5,3,14,233,5,58,0,44,0,0,17,253,181,72,252,1,0,3956,73,4287,4029,253,17,50,38,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,16351,207,374,1219,2006,2192,2547,2806,2455,1165,499,881,0 to 119,51,9316,6904,131,16316,35,0,239,15749,246,462,95,491,15845,12,3,16301,438,46,7,0,260,224,0,484,7,10,52,81,77,88,62,65,29,20,0,0 to 100,46,347,70,61,6,171,305,8,193,5,110,1,0,12,491,227,264,484,7,0,19739,28,20270,19767,491,12,400,157,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,61333,1082,1384,4494,8528,9031,9848,10117,7311,3476,1330,4732,0 to 120,49,33975,27036,322,60292,1040,1,608,59542,585,1503,384,2031,59237,52,13,60228,1849,100,78,4,922,1021,6,1949,35,53,208,373,377,418,310,145,80,31,1,0 to 101,44,818,329,660,142,872,901,176,611,42,322,35,5,41,2031,1070,955,1948,82,1,69300,958,72344,70258,2031,41,642,431,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,3796,38,64,168,342,332,441,699,899,614,190,9,0 to 222,62,2089,1492,215,3789,7,0,51,3552,119,204,25,122,3671,2,1,3787,61,61,0,0,60,62,0,122,2,4,8,9,7,17,29,20,16,10,0,0 to 97,60,85,1,10,26,14,83,25,31,0,33,0,0,12,122,62,60,122,0,0,4318,6,4449,4324,122,12,493,54,58,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,3423,65,58,231,449,422,515,649,533,367,130,4,0 to 119,54,2050,1359,14,3406,17,0,61,3274,66,146,40,115,3308,0,0,3406,62,49,3,1,55,56,0,111,1,6,7,23,15,15,22,16,9,1,0,1 to 85,48,91,17,2,1,24,84,3,35,2,22,2,1,5,115,57,58,111,4,0,4087,13,4216,4100,115,5,90,62,49,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,35728,335,402,1993,3976,4004,5131,7038,6576,4024,2169,80,0 to 120,58,20700,14927,101,35405,323,0,1550,33153,411,2845,363,1313,34266,13,136,35257,1152,111,44,6,711,552,0,1263,7,25,95,179,152,203,211,176,143,122,0,0 to 101,54,891,228,85,59,125,1043,95,383,18,396,16,1,83,1313,582,731,1263,50,0,42100,272,43701,42372,1313,83,320,228,56,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2099,54,46,156,268,237,243,339,298,236,212,10,0 to 118,56,1347,668,84,2094,5,0,56,1857,110,499,11,168,1931,0,0,2094,64,99,2,3,114,49,0,163,1,6,15,16,21,20,19,20,30,20,0,1 to 102,57,107,43,5,8,15,138,10,29,1,39,0,0,18,168,51,117,163,5,0,2288,0,2458,2288,168,18,8,6,63,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,47655,762,983,4131,7459,6903,7366,8647,6384,3266,1641,112,-6 to 119,50,26346,20523,786,47070,585,0,559,45846,454,1556,188,1654,45906,19,76,46975,1444,151,49,10,859,736,0,1595,22,46,165,269,263,247,286,197,98,61,0,0 to 101,47,708,578,191,118,226,1197,172,342,15,265,9,2,51,1654,764,888,1595,59,0,53388,526,55596,53914,1654,51,988,872,50,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,336,5,0,41,40,38,33,34,45,55,44,1,0 to 119,59,218,111,7,336,0,0,11,324,0,13,1,8,328,0,0,336,7,1,0,0,3,5,0,8,0,0,2,2,0,1,1,0,0,2,0,19 to 98,40,8,0,0,0,2,6,0,1,0,1,0,0,0,8,5,3,8,0,0,373,0,381,373,8,0,1,1,47,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,594,10,8,36,56,62,96,123,119,65,19,0,0 to 94,56,353,238,3,540,54,0,14,579,1,44,7,1,593,0,0,540,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,810,54,865,864,1,0,5,1,42,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1155,11,16,54,75,107,137,398,274,69,14,0,0 to 118,59,312,836,7,1155,0,0,13,1126,4,65,4,32,1123,0,0,1155,30,2,0,0,5,27,0,32,0,0,0,5,1,2,16,7,1,0,0,25 to 76,60,18,11,2,1,0,31,1,4,0,4,0,0,1,32,27,5,32,0,0,1816,0,1848,1816,32,1,10,8,55,1.26448361855685,0.0605152419302145
