ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
28633,Tuscaloosa,01125,West Central,208,1,0.338742577944004,2.90058009044742,dad77b04-ee65-490a-a4d7-b98fc93ef120,3889
28634,Dallas,01047,Southwestern,38,3,0.246497505086154,3.13752996820932,f8a925de-f72f-4863-9272-7d18c8ed3cf9,512
28635,Lee,01081,East Central,391,29,0.153274187500529,2.0496448391292,13ffe078-68b5-44a3-990c-606b8e716253,2818
28636,Perry,01105,West Central,9,0,0.18021159047953,2.14838023913143,449b2060-d153-4e2d-bcc0-7bbe6b922509,232
28637,Walker,01127,West Central,95,0,0.20307720239839,2.39750884765462,561ac238-103c-4be6-a40a-7372b786ace9,858
28638,Bullock,01011,East Central,13,0,0.154671563531792,2.06480197165101,e4db4a06-e3ef-4781-9acf-b4c07cfcc4b0,95
28639,Butler,01013,Southeastern,53,1,0.191776547733298,1.83587954870993,602a2a4f-9a8c-42b6-ad9a-6043d13f94ce,318
28640,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,51695a6b-53da-4415-a6e2-4d21cdd74a16,94
28641,Mobile,01097,Mobile,1057,55,0.307697348295278,4.83629332281426,e039e07f-5e12-4203-8dde-33be6a0b40c6,7380
28642,Monroe,01099,Southwestern,13,1,0.254517578378227,2.83753802882174,c84bec65-48ce-4a21-9000-f2bce08a53b0,181
28643,Talladega,01121,Northeastern,61,2,0.190828489604655,2.7296175303427,3419326d-4090-4342-8570-ff2b8b4feeaa,1193
28644,Limestone,01083,Northern,44,0,0.155003206122046,1.71814668265853,91ea10bb-0be8-4077-887b-439f62c80b4e,1201
28645,Winston,01133,Northern,15,0,0.159972008442992,1.68720534678178,5d0d8b74-b4c4-4418-81e3-0a5290c5d5df,369
28646,Baldwin,01003,Southwestern,174,3,0.400159431601878,6.69300034847276,bc6f888b-d38a-4c9a-a4b1-941369b4d919,2623
28647,Clarke,01025,Southwestern,32,1,0.308508819690587,3.78655552072513,bfc2a40e-3269-489f-87f3-1c3cdda16b35,362
28648,Conecuh,01035,Southwestern,9,0,0.209509978242295,2.59686142559656,71902cfc-2fea-4b0a-ad99-bfbe5f225e17,104
28649,Franklin,01059,Northern,58,0,0.164243463038702,1.78358559509712,29d61f11-97f3-4cdc-af10-0e594084b799,482
28650,Hale,01065,West Central,47,2,0.163613340422671,2.4799010938001,867eae22-e5c6-4e1d-8621-08f79d7f1337,271
28651,Coosa,01037,East Central,29,1,0.16640708911109,1.7505584986585,9703b010-b666-4d62-a720-c6b8d0659a46,129
28652,Cullman,01043,Northern,55,0,0.191087821164047,2.50218505547441,ae555218-234e-431d-ae76-acd2186212de,1318
28653,Elmore,01051,East Central,86,2,0.163505782545826,2.27519521591255,3d8b0454-eb9f-42b1-be8b-ba4626f028f7,1137
