ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,46,1050,4,48,12,430,35,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,196,15974,16,1202,63,3694,708,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,114,2879,2,146,23,974,108,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,147,3773,6,161,25,833,125,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,5,337,1,23,7,147,17,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,67,809,3,16,5,112,3,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,278,14248,21,1265,46,1920,430,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,60,1334,2,50,11,244,35,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,276,15401,13,834,15,857,166,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,17,622,4,35,4,291,23,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,204,4271,14,252,21,887,141,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,76,6198,17,372,48,1407,226,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,184,6692,7,426,44,1423,189,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,340,13082,26,624,25,1069,186,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,24,261,1,12,3,31,6,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,77,3605,8,289,29,1087,178,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,16,949,5,114,5,290,76,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,252,12996,16,731,29,1331,296,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,20,941,Â 0,84,7,401,67,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,60,5406,9,440,41,1274,296,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,308,12213,30,618,42,1582,359,1.62072838209013,0.0871537443231625
