ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,270,5,6,26,42,37,43,46,35,23,7,0,0 to 98,48,169,98,3,270,0,0,4,264,2,12,1,6,263,0,1,269,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,263,0,270,263,6,0,12,3,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1873,41,61,176,248,247,298,290,224,179,103,6,0 to 118,50,1205,625,43,1868,5,0,70,1659,133,196,17,121,1749,0,3,1865,77,44,0,0,74,47,0,121,0,11,13,13,19,19,11,19,8,8,0,6 to 98,47,70,47,3,1,2,116,3,31,0,19,0,0,2,121,47,74,121,0,0,1744,5,1873,1749,121,2,89,34,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,239,19,9,12,33,33,35,41,32,19,5,1,0 to 118,48,119,96,24,239,0,0,14,208,3,63,3,3,236,0,0,239,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,236,0,239,236,3,0,16,5,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2916,93,66,234,492,491,418,473,321,190,107,31,0 to 118,46,1762,1120,34,2789,126,1,88,2642,137,170,59,160,2754,1,1,2788,83,70,3,4,81,72,0,153,2,3,5,21,20,19,32,27,20,11,0,0 to 96,58,121,26,6,0,24,129,0,46,1,26,0,0,5,160,76,84,152,7,1,2635,119,2916,2754,160,5,401,150,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,166,1,2,15,24,30,22,20,19,22,10,1,0 to 94,48,90,70,6,166,0,0,3,148,4,12,3,15,149,1,1,164,7,8,0,0,10,4,1,15,0,0,2,2,2,1,1,2,1,4,0,20 to 89,58,7,6,1,1,0,14,1,8,0,3,0,0,0,15,4,10,15,0,0,149,0,166,149,15,0,47,20,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,33132,464,521,2075,3945,4201,5020,6122,4890,2993,1551,1350,0 to 115,54,18381,14575,176,32771,359,2,297,32152,465,1058,144,3311,29547,219,55,32504,3125,125,55,6,1602,1646,2,3250,16,31,245,410,479,497,540,462,389,235,7,0 to 104,54,1455,501,308,986,661,1517,1072,623,24,470,15,3,196,3311,1683,1626,3248,61,2,29254,293,33132,29547,3311,196,699,436,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3686,67,79,247,459,532,636,646,522,342,149,7,0 to 102,52,2133,1443,110,3670,16,0,205,3172,188,451,62,260,3378,2,46,3622,235,17,8,0,148,104,0,252,2,4,18,22,39,34,42,44,31,24,0,3 to 97,58,148,59,17,28,34,185,33,99,0,75,0,0,25,260,106,154,252,8,0,3370,8,3686,3378,260,25,72,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,6616,108,139,478,823,973,1115,1165,962,591,255,7,0 to 102,52,3981,2610,25,6572,44,0,125,6217,223,379,88,282,6305,5,24,6543,232,41,8,1,146,127,0,273,5,6,24,32,57,57,40,37,13,11,0,1 to 94,48,177,32,40,24,60,183,30,76,3,51,2,0,8,282,131,151,273,9,0,6270,35,6616,6305,282,8,512,186,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,645,19,20,56,92,114,126,97,78,31,11,1,0 to 96,47,393,242,10,643,1,1,9,545,46,96,8,113,532,0,0,644,105,7,1,0,72,40,0,112,1,1,8,16,25,31,15,11,5,0,0,4 to 83,46,13,66,2,31,4,69,39,19,0,19,0,0,0,113,40,73,111,1,1,532,0,645,532,113,0,133,53,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,4106,79,90,485,711,647,689,713,461,154,73,4,0 to 116,45,2254,1735,117,4048,57,1,82,3767,201,238,62,243,3851,2,10,4037,220,9,13,1,124,104,1,229,1,3,31,50,40,42,47,22,4,3,0,2 to 87,44,93,109,6,21,14,191,24,62,8,32,8,1,5,243,112,130,228,14,1,3808,43,4106,3851,243,5,403,178,43,2.42861632663576,0.170704044186268
