ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,62,1135,2,51,12,442,35,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,119,16282,5,1215,63,3902,721,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,57,3100,0,149,23,1080,116,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,100,4073,0,163,25,843,125,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,12,355,0,24,7,154,18,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,60,940,2,19,5,112,3,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,99,14621,11,1292,46,2027,462,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,51,1433,0,51,11,247,35,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,116,15881,0,845,15,945,181,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,4,665,0,37,4,291,24,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,95,4594,1,256,21,998,177,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,81,6378,3,385,49,1554,247,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,93,6974,7,447,44,1656,225,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,147,13496,2,633,25,1205,244,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,42,312,1,14,3,32,7,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,50,3753,3,298,31,1216,206,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,10,979,1,116,5,328,85,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,140,13357,0,737,29,1409,318,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,20,977,1,87,7,489,66,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,32,5549,1,449,41,1446,339,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,161,12768,5,642,42,1685,376,1.62072838209013,0.0871537443231625
