ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
31,31,48,095,ORANGE,Orange,FL,33396,700,877,2757,5432,5737,5997,5788,3760,1686,625,37,0 to 120,47,18654,14610,132,32797,598,1,500,32031,585,1092,324,1474,31877,32,13,32753,1309,97,64,4,687,717,2,1406,20,26,159,255,263,307,234,116,66,27,1,0 to 101,45,647,199,436,124,533,548,325,508,37,265,33,5,36,1474,756,715,1405,68,1,31347,530,33396,31877,1474,36,586,389,2601855780.29929,275135.911496092,45
32,32,9,017,CITRUS,Citrus,FL,1875,24,35,114,218,209,266,341,357,221,87,3,0 to 98,57,1014,685,176,1870,5,0,41,1694,119,179,24,102,1770,2,1,1868,44,58,0,0,51,51,0,102,2,4,8,8,6,14,26,15,12,7,0,0 to 93,58,69,1,8,24,12,68,22,27,0,26,0,0,11,102,51,51,102,0,0,1766,4,1875,1770,102,11,349,55,1565249379.23035,242867.273750112,58
33,33,27,053,HERNANDO,Hernando,FL,2046,31,34,152,301,284,356,363,288,173,63,1,0 to 97,51,1208,826,12,2029,17,0,53,1919,66,125,38,97,1949,0,0,2029,53,38,5,1,44,47,0,91,1,4,6,19,13,14,18,15,6,1,0,1 to 85,48,71,7,2,11,14,50,27,31,2,21,2,1,5,97,49,48,91,6,0,1938,11,2046,1949,97,5,49,26,1259956856.20596,200494.167365377,49
34,34,52,103,PINELLAS,Pinellas,FL,17874,231,213,1095,2323,2316,2826,3381,2783,1620,1034,52,0 to 120,54,10598,7221,55,17685,189,0,1020,16272,411,1913,337,820,16768,10,276,17401,693,84,37,6,428,349,0,777,1,6,54,105,86,139,147,113,84,85,0,1 to 101,55,591,111,46,29,64,660,53,229,18,226,15,1,56,820,376,444,777,43,0,16624,144,17874,16768,820,56,316,226,758940582.722305,356104.408630079,56
35,35,61,121,SUWANNEE,Suwannee,FL,1221,25,20,84,158,140,141,175,156,140,172,10,0 to 118,57,847,358,16,1221,0,0,54,1022,110,445,5,144,1077,0,0,1221,50,94,0,0,99,45,0,144,0,3,12,13,18,16,16,19,27,20,0,5 to 102,63,96,40,1,7,7,129,8,27,0,35,0,0,17,144,45,99,144,0,0,1077,0,1221,1077,144,17,6,4,1792465815.52835,223150.095858967,63
36,36,16,031,DUVAL,Duval,FL,30360,422,589,2623,5045,4618,4885,5436,3790,1902,957,93,0 to 119,48,16919,12656,785,30111,249,0,431,29180,454,900,146,1083,29184,12,81,30018,941,111,21,10,557,495,0,1052,11,19,93,172,179,169,198,130,74,38,0,0 to 100,49,448,364,79,161,96,777,179,218,11,166,8,1,28,1083,512,568,1052,31,0,28966,218,30360,29184,1083,28,715,631,2136692125.83844,339628.979868484,50
37,37,34,067,LAFAYETTE,Lafayette,FL,88,3,0,9,10,19,8,6,15,9,9,0,0 to 118,48,46,41,1,88,0,0,10,78,0,10,0,3,85,0,0,88,2,1,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,1,0,27 to 98,47,3,0,0,0,1,2,0,1,0,1,0,0,0,3,1,2,3,0,0,85,0,88,85,3,0,0,0,1417838543.00769,193229.836834708,47
38,38,23,045,GULF,Gulf,FL,156,3,4,5,20,17,23,31,35,15,3,0,1 to 91,56,90,65,1,154,2,0,15,140,1,39,8,1,155,0,0,154,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,153,2,156,155,1,0,6,3,1469866107.27026,258929.917930346,42
39,39,63,125,UNION,Union,FL,272,6,6,25,38,60,40,39,34,18,6,0,0 to 118,45,149,117,6,272,0,0,13,252,4,35,4,5,265,0,2,270,3,2,0,0,3,2,0,5,0,0,0,2,0,0,3,0,0,0,0,25 to 60,55,4,0,1,0,0,5,0,1,0,0,0,0,0,5,2,3,5,0,0,265,0,272,265,5,0,8,6,646977045.561768,128178.538552252,55
40,40,4,007,BRADFORD,Bradford,FL,860,13,13,78,109,100,109,144,107,99,84,4,0 to 118,55,550,299,11,860,0,0,27,791,34,133,1,48,811,0,1,859,9,39,0,0,40,8,0,48,0,2,3,2,6,4,3,6,12,10,0,8 to 107,72,44,4,0,0,0,48,0,4,0,10,0,0,2,48,8,40,48,0,0,811,0,860,811,48,2,112,80,776744615.959412,167178.838252791,74
41,41,65,129,WAKULLA,Wakulla,FL,565,7,11,46,83,70,99,96,81,43,28,1,0 to 102,51,340,223,2,562,3,0,10,528,13,165,2,29,535,0,1,561,18,9,2,0,19,8,0,27,0,0,4,5,3,9,4,2,1,1,0,19 to 86,46,12,13,2,0,0,27,0,5,0,5,0,0,1,29,8,21,27,2,0,534,1,565,535,29,1,59,27,1579533632.64177,279225.038340218,43
42,42,5,009,BREVARD,Brevard,FL,11205,156,202,611,1170,1305,1625,2560,2194,1079,299,4,0 to 119,57,6499,4621,85,11193,12,0,126,10942,107,298,67,325,10876,3,1,11189,279,36,8,2,164,151,0,315,2,5,23,36,43,51,70,43,32,20,0,1 to 99,55,230,52,13,20,42,253,20,83,2,50,2,0,8,325,153,172,315,10,0,10874,2,11205,10876,325,8,215,157,2687643838.87906,793218.333609179,53
43,43,53,105,POLK,Polk,FL,9412,210,195,712,1333,1347,1486,1500,1308,893,423,5,0 to 103,50,5522,3732,158,9371,41,0,251,8657,231,593,119,594,8810,3,5,9363,466,120,7,1,364,221,1,586,1,5,36,86,82,89,86,80,70,59,0,3 to 102,54,328,131,66,61,143,359,84,249,4,193,1,0,30,594,224,369,586,8,0,8777,33,9412,8810,594,30,477,247,5206715917.89822,388118.956177661,56
44,44,49,097,OSCEOLA,Osceola,FL,7647,83,224,564,1192,1293,1399,1350,909,444,174,15,0 to 109,48,4272,3327,48,7605,42,0,334,6786,390,584,166,544,7053,11,39,7556,487,33,22,2,267,253,0,520,3,10,38,80,82,103,99,79,37,13,0,0 to 102,50,259,44,206,11,303,170,47,207,5,134,6,2,11,544,273,271,520,24,0,7036,17,7647,7053,544,11,402,61,3899316052.50861,350452.549474464,50
45,45,28,055,HIGHLANDS,Highlands,FL,1574,28,18,70,163,156,183,237,331,275,110,3,0 to 100,62,925,622,27,1535,39,0,34,1479,47,80,16,90,1477,1,6,1528,72,17,1,0,44,45,0,89,1,2,6,11,12,11,18,13,15,1,0,0 to 85,55,47,23,17,2,30,51,8,39,1,30,1,0,7,90,46,44,89,1,0,1439,38,1574,1477,90,7,99,38,2866885704.30579,296636.719911829,56
46,46,36,071,LEE,Lee,FL,13340,163,178,941,1790,1942,2176,2303,1924,1278,635,10,0 to 119,52,7905,5237,198,13062,277,1,345,11930,613,1136,148,1212,12111,3,14,13046,1048,121,38,5,614,554,1,1169,9,10,76,136,168,192,195,175,132,119,0,0 to 101,55,721,180,36,232,256,668,245,395,13,296,12,3,54,1212,579,632,1168,43,1,11877,234,13340,12111,1212,54,1535,376,2112333669.17714,583283.842331616,54
47,47,11,021,COLLIER,Collier,FL,6541,113,125,409,751,834,991,1092,1057,829,337,3,0 to 105,55,3764,2760,17,6303,238,0,192,5795,356,679,139,705,5825,2,9,6292,457,178,53,17,326,309,0,635,10,17,51,74,73,101,126,97,105,51,0,0 to 101,56,456,44,50,85,214,330,91,160,18,118,9,4,27,705,348,357,635,70,0,5657,168,6541,5825,705,27,856,433,5197102107.68439,580181.883282756,57
48,48,13,025,MIAMI-DADE,Dade,FL,104494,877,1329,7493,16744,16993,19711,18113,12165,6755,3801,513,0 to 135,49,53680,49634,1180,104035,458,1,2406,96415,2785,7787,776,13585,90408,182,319,103537,12871,567,141,6,6411,7015,12,13438,53,115,1055,2243,2155,2630,2238,1524,941,624,7,0 to 105,49,6641,1985,544,4268,6362,2692,4384,3437,33,1920,22,6,454,13585,7118,6453,13437,147,1,90099,309,104494,90408,13585,454,2135,1417,5114451079.58835,540836.793924443,49
49,49,44,087,MONROE,Monroe,FL,1538,14,20,82,160,225,268,353,250,119,46,1,0 to 101,54,820,702,16,1494,44,0,445,984,83,215,70,80,1407,0,51,1443,58,14,4,4,35,37,0,72,0,3,6,11,13,16,15,10,6,0,0,6 to 80,49,58,5,0,9,18,45,9,13,3,9,2,0,3,80,41,39,72,8,0,1371,36,1538,1407,80,3,224,54,2629619857.16548,1399292.97354894,49
50,50,57,113,SANTA ROSA,Santa Rosa,FL,3394,149,157,278,457,494,489,535,452,251,124,8,0 to 102,48,1970,1403,21,3387,7,0,58,3218,99,134,46,160,3231,1,2,3384,119,40,1,0,53,106,0,159,3,1,16,23,27,29,26,21,7,7,0,0 to 94,48,112,25,2,20,8,132,19,23,0,22,0,0,8,160,106,54,159,1,0,3225,6,3394,3231,160,8,519,75,2596863920.94926,364280.718031263,49
