ï»¿LastUpdate,OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,Shape__Area,Shape__Length,Deaths
2020/05/07 16:47:48.116+00,187,187,Polk,48373,373,285361.770289,30,2861994594.36035,285361.770289185,
2020/05/07 16:47:48.116+00,188,188,Potter,48375,375,195592.82232,971,2390288957.16992,195592.822319846,15
2020/05/07 16:47:48.116+00,189,189,Presidio,48377,377,554073.123697,,9949516404.4751,554073.123697433,
2020/05/07 16:47:48.116+00,190,190,Rains,48379,379,137078.542833,2,668025325.162109,137078.542832534,
2020/05/07 16:47:48.116+00,191,191,Randall,48381,381,195686.045104,333,2388902745.36914,195686.045104383,3
2020/05/07 16:47:48.116+00,192,192,Reagan,48383,383,222374.056551,,3032906999.52832,222374.056550693,
2020/05/07 16:47:48.116+00,193,193,Real,48385,385,193180.352434,,1806669718.11426,193180.352433536,
2020/05/07 16:47:48.116+00,194,194,Red River,48387,387,356894.771057,2,2729885955.94043,356894.771057339,
2020/05/07 16:47:48.116+00,195,195,Reeves,48389,389,475107.389614,,6813914861.57031,475107.389614471,
2020/05/07 16:47:48.116+00,196,196,Refugio,48391,391,305455.181578,1,2115752116.30664,305455.181578075,
2020/05/07 16:47:48.116+00,197,197,Roberts,48393,393,195996.509478,2,2398832563.66992,195996.509477955,
2020/05/07 16:47:48.116+00,198,198,Robertson,48395,395,258534.185679,5,2231768680.05957,258534.185679244,
2020/05/07 16:47:48.116+00,199,199,Rockwall,48397,397,78523.5512625,96,383843427.075195,78523.5512624909,3
2020/05/07 16:47:48.116+00,200,200,Runnels,48399,399,208921.04683,2,2726480985.87305,208921.046830054,
2020/05/07 16:47:48.116+00,201,201,Rusk,48401,401,249552.207249,40,2420643009.13379,249552.207249339,1
2020/05/07 16:47:48.116+00,202,202,Sabine,48403,403,207155.403384,2,1487109785.9707,207155.403383611,
2020/05/07 16:47:48.116+00,203,203,San Augustine,48405,405,262756.778722,21,1527524895.22266,262756.778722339,1
2020/05/07 16:47:48.116+00,204,204,San Jacinto,48407,407,225902.285617,10,1619602265.10449,225902.285616876,
2020/05/07 16:47:48.116+00,205,205,San Patricio,48409,409,324711.334429,16,1831616276.73633,324711.334429464,
2020/05/07 16:47:48.116+00,206,206,San Saba,48411,411,319057.918719,,2935991958.63086,319057.918719315,
2020/05/07 16:47:48.116+00,207,207,Schleicher,48413,413,244807.283476,,3380339916.83789,244807.283475577,
2020/05/07 16:47:48.116+00,208,208,Scurry,48415,415,193343.520271,2,2342076551.74805,193343.520270541,
2020/05/07 16:47:48.116+00,209,209,Shackelford,48417,417,194520.397817,1,2362710083.37207,194520.39781732,
2020/05/07 16:47:48.116+00,210,210,Shelby,48419,419,267744.807559,144,2152626722.29004,267744.807558827,4
2020/05/07 16:47:48.116+00,211,211,Sherman,48421,421,195917.807982,19,2399405750.36914,195917.807982158,
2020/05/07 16:47:48.116+00,212,212,Smith,48423,423,298436.224948,165,2450210282.67383,298436.224948074,3
2020/05/07 16:47:48.116+00,213,213,Somervell,48425,425,91657.9893768,,495178700.318359,91657.9893768408,
2020/05/07 16:47:48.116+00,214,214,Starr,48427,427,270211.664292,10,3190918718.03027,270211.664292066,
2020/05/07 16:47:48.116+00,215,215,Stephens,48429,429,194915.73414,1,2378041180.88184,194915.734140301,
2020/05/07 16:47:48.116+00,216,216,Sterling,48431,431,201154.949017,,2381944463.7666,201154.949016968,
2020/05/07 16:47:48.116+00,217,217,Stonewall,48433,433,195034.546315,,2375909831.17676,195034.546315203,
2020/05/07 16:47:48.116+00,218,218,Sutton,48435,435,254543.791061,,3751616127.43457,254543.791060938,
2020/05/07 16:47:48.116+00,219,219,Swisher,48437,437,193165.441068,11,2330426367.18164,193165.441067535,
2020/05/07 16:47:48.116+00,220,220,Tarrant,48439,439,193184.427625,2813,2328609064.64258,193184.427624635,88
2020/05/07 16:47:48.116+00,221,221,Taylor,48441,441,194892.435107,206,2371623065.875,194892.435107058,6
2020/05/07 16:47:48.116+00,222,222,Terrell,48443,443,398506.681462,,6083467213.0332,398506.681462019,
2020/05/07 16:47:48.116+00,223,223,Terry,48445,445,191901.509574,12,2300243242.1665,191901.509574088,
2020/05/07 16:47:48.116+00,224,224,Throckmorton,48447,447,194488.069951,,2363611627.22949,194488.069951407,
2020/05/07 16:47:48.116+00,225,225,Titus,48449,449,205166.305887,27,1098985395.66699,205166.305886587,
2020/05/07 16:47:48.116+00,226,226,Tom Green,48451,451,352368.927856,58,3973064305.37305,352368.927856305,1
2020/05/07 16:47:48.116+00,227,227,Travis,48453,453,253764.713344,1946,2639028209.07422,253764.713343593,57
2020/05/07 16:47:48.116+00,228,228,Trinity,48455,455,229117.079346,10,1841323692.96777,229117.079346211,
2020/05/07 16:47:48.116+00,229,229,Tyler,48457,457,272189.390198,7,2413136637.15234,272189.390197612,
2020/05/07 16:47:48.116+00,230,230,Upshur,48459,459,184848.560419,16,1529288336.9248,184848.560418694,
2020/05/07 16:47:48.116+00,231,231,Upton,48461,461,227158.304033,,3201820887.6499,227158.304033345,
2020/05/07 16:47:48.116+00,232,232,Uvalde,48463,463,254347.720354,6,4024142072.2207,254347.7203542,
2020/05/07 16:47:48.116+00,233,233,Val Verde,48465,465,459537.15076,13,8341902767.53662,459537.150759916,
2020/05/07 16:47:48.116+00,234,234,Van Zandt,48467,467,245959.774146,18,2218031986.54492,245959.774145654,1
