ï»¿LastUpdate,OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,Shape__Area,Shape__Length,Deaths
2020/05/07 16:47:48.116+00,119,119,Jack,48237,237,196262.878918,4,2375762378.72754,196262.878917646,
2020/05/07 16:47:48.116+00,120,120,Jackson,48239,239,231641.554437,14,2213434404.76855,231641.554437009,
2020/05/07 16:47:48.116+00,121,121,Jasper,48241,241,385045.481749,18,2501076546.81152,385045.481748728,1
2020/05/07 16:47:48.116+00,122,122,Jeff Davis,48243,243,338858.614534,,5841005512.20117,338858.614534379,
2020/05/07 16:47:48.116+00,123,123,Jefferson,48245,245,303141.127705,336,2871255384.375,303141.127705424,23
2020/05/07 16:47:48.116+00,124,124,Jim Hogg,48247,247,239262.525628,3,2945956061.85059,239262.525628379,
2020/05/07 16:47:48.116+00,125,125,Jim Wells,48249,249,258643.820304,5,2247893626.75488,258643.820303876,
2020/05/07 16:47:48.116+00,126,126,Johnson,48251,251,184518.494304,97,1894861812.06836,184518.494303506,4
2020/05/07 16:47:48.116+00,127,127,Jones,48253,253,197880.447793,84,2418432333.18359,197880.44779279,
2020/05/07 16:47:48.116+00,128,128,Karnes,48255,255,204121.833274,3,1946664421.57715,204121.833273536,
2020/05/07 16:47:48.116+00,129,129,Kaufman,48257,257,204438.324866,106,2084048484.55762,204438.324866397,1
2020/05/07 16:47:48.116+00,130,130,Kendall,48259,259,165568.20823,18,1710853304.6084,165568.208229747,
