ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,field,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,53,1302,7,62,13,543,52,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,103,16609,32,1319,63,4066,778,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,141,3367,8,185,23,1373,146,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,175,4479,6,193,25,997,156,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,24,401,3,31,7,197,22,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,36,1090,Â 0,25,5,233,15,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,124,15095,35,1381,46,2413,471,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,49,1548,1,66,12,432,57,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,154,16354,20,923,15,1060,174,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,3,685,4,43,4,284,26,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,125,4986,15,313,22,1080,207,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,91,6649,10,428,49,1643,315,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,77,7209,17,500,45,1920,291,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,166,14133,13,703,25,1370,272,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,5,358,1,18,3,37,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,46,3914,6,320,32,1347,236,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,10,1006,1,123,5,329,94,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,175,13781,28,829,29,1662,407,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,13,1004,5,99,7,450,83,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,49,5702,13,503,41,1613,369,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,150,13411,29,737,42,1825,374,1.62072838209013,0.0871537443231625
