ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,670,11,11,72,82,90,99,106,94,69,36,0,0 to 118,52,408,251,11,670,0,0,7,641,2,36,1,19,649,2,0,668,18,1,0,0,8,11,0,19,0,0,4,2,3,4,4,1,1,0,0,17 to 79,45,14,1,2,2,2,16,1,1,0,0,0,0,0,19,11,8,19,0,0,1174,0,1195,1174,19,0,41,24,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3397,69,108,311,485,420,537,575,424,297,160,11,0 to 118,50,2146,1207,44,3389,8,0,73,3115,133,245,20,175,3218,2,2,3385,110,65,0,0,109,66,0,175,1,17,18,24,27,28,17,20,16,7,0,3 to 98,45,95,72,8,0,7,166,2,38,0,21,0,0,6,175,66,109,175,0,0,4180,8,4365,4188,175,6,151,82,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,862,33,19,78,124,107,111,156,138,69,23,4,0 to 118,51,482,349,31,854,8,0,15,757,3,124,5,48,813,1,0,853,39,8,1,0,17,30,0,47,0,1,13,15,7,2,6,2,2,0,0,6 to 83,30,29,3,13,2,14,31,2,6,0,3,0,0,0,48,30,18,47,1,0,1090,7,1146,1097,48,0,138,47,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6863,162,139,512,983,972,900,1053,806,728,569,39,0 to 119,52,4186,2633,44,6722,140,1,122,6394,137,278,66,274,6582,7,0,6716,181,85,4,4,144,122,0,266,6,14,18,42,42,38,42,33,25,14,0,0 to 96,47,212,35,16,3,75,188,3,70,2,43,1,0,6,274,127,147,265,8,1,8996,132,9409,9128,274,6,627,229,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,530,5,4,40,47,78,75,90,83,72,35,1,0 to 99,56,316,196,18,530,0,0,4,440,4,54,3,64,465,1,0,529,47,17,0,0,49,15,0,64,0,0,5,4,4,2,2,7,21,19,0,20 to 99,78,46,11,0,7,0,52,12,12,0,6,0,0,4,64,15,49,64,0,0,610,0,676,610,64,4,94,33,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,66499,965,1386,4504,7799,7810,9335,11538,10420,7330,3816,1596,0 to 119,55,36634,29583,282,65745,752,2,1844,61325,465,5777,329,7518,58623,221,137,65392,7270,137,105,6,3671,3729,7,7407,92,221,801,1213,1156,1154,1065,737,627,449,3,0 to 104,47,3361,1424,1169,1453,2474,3383,1550,1769,30,1312,22,13,388,7518,3791,3720,7405,111,2,86919,638,95313,87557,7518,388,1277,1012,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,9733,161,187,619,1142,1197,1491,1742,1624,1048,492,30,0 to 119,55,5604,3918,211,9586,147,0,380,8654,188,987,73,669,8968,5,91,9490,600,58,11,0,353,305,0,658,12,19,55,110,98,115,98,76,51,35,0,0 to 97,49,275,148,63,172,107,358,193,166,1,114,2,0,31,669,310,359,658,11,0,14126,136,14937,14262,669,31,91,76,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13342,260,313,910,1556,1797,2112,2386,2128,1296,556,28,0 to 119,53,7815,5484,43,13267,75,0,174,12721,223,541,101,442,12873,7,20,13240,385,46,10,1,232,199,0,431,8,13,36,56,86,83,59,65,20,16,0,0 to 94,48,277,60,58,36,92,292,47,108,4,84,3,1,15,442,205,237,431,11,0,19652,64,20170,19716,442,15,782,243,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2887,49,91,205,483,494,505,456,383,139,80,2,0 to 119,47,2013,861,13,2869,17,1,31,2652,46,293,15,296,2590,1,0,2869,283,9,4,0,218,74,0,292,3,6,16,64,68,59,30,27,13,10,0,0 to 98,43,117,124,13,38,28,212,52,51,0,48,0,0,4,296,74,222,291,4,1,4459,13,4775,4472,296,4,360,167,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12763,187,294,1465,2091,1887,1969,2102,1723,673,341,31,0 to 119,47,6612,6017,134,12531,231,1,151,12072,201,471,87,448,12299,4,12,12516,408,10,29,1,224,194,0,418,2,13,123,85,58,58,66,31,9,3,0,0 to 87,35,147,239,9,23,22,367,29,78,11,39,9,6,7,448,210,238,417,30,1,18430,201,19084,18631,448,7,625,222,43,2.42861632663576,0.170704044186268
