ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
41438,Autauga,01001,East Central,282,5,0.150198352049983,2.1379328255407,522fefce-a683-42b8-aaa8-a90cdcd57b05,2843
41439,Baldwin,01003,Southwestern,325,9,0.400159431601878,6.69300034847276,45b8de33-803b-40fd-b72d-f6397c3bf590,9550
41440,Barbour,01005,Southeastern,199,1,0.223267704174077,2.69097505269632,b51da6c1-12bc-4dc5-b47f-e6453983667f,1004
41441,Bibb,01007,West Central,85,1,0.156476914356972,1.8951692775798,aad0a569-d47d-49f1-8371-80655b562b15,1573
41442,Blount,01009,Northeastern,75,1,0.164406638341006,2.45274784751908,56993cf9-4271-4636-8c92-a7fc90aa8107,1987
41443,Bullock,01011,East Central,243,8,0.154671563531792,2.06480197165101,dfe13378-9a34-4b7e-af00-fc2d9750ece8,783
41444,Butler,01013,Southeastern,464,24,0.191776547733298,1.83587954870993,beb98f14-f505-46cd-b567-2d4c6466cd55,1932
41445,Calhoun,01015,Northeastern,180,3,0.154366224232035,2.21070839394633,de9227ae-2dd3-4547-ac68-03cb77751064,4961
41446,Chambers,01017,East Central,391,26,0.150563980768084,1.72306516183319,863489d2-35f6-429a-84c8-21e3aa5d0815,1851
41447,Cherokee,01019,Northeastern,42,4,0.151975822791428,1.89808177880757,2629fbc5-b846-4199-b462-32f79854dc5d,1026
41448,Chilton,01021,West Central,117,2,0.174837510280213,2.09165532433194,586cbba4-44e8-4a4a-8d22-e26f8e9208e5,1766
41449,Choctaw,01023,Southwestern,157,10,0.227681129400253,2.68700551554037,62c2a8d7-6db4-435f-9f73-87574ba0a057,537
41450,Clarke,01025,Southwestern,161,3,0.308508819690587,3.78655552072513,df7650b4-f02c-494b-8ada-fd5d7dd801b1,1531
41451,Clay,01027,Northeastern,30,2,0.151874743437702,2.02332180215824,6835da18-0de2-48d2-9ae2-bef2941e3181,549
41452,Cleburne,01029,Northeastern,19,1,0.141259985723536,2.17578212063938,18fa3ac6-d74c-493b-b051-dffb0b3a5994,403
41453,Coffee,01031,Southeastern,249,1,0.167143203828118,1.67989540600381,dace1131-706d-42b1-8ab1-491a1e8e7b33,2049
41454,Colbert,01033,Northern,216,5,0.15857369348987,2.31239229125845,b00e98a7-6202-4281-92c9-84c8746a43c2,3165
41455,Conecuh,01035,Southwestern,55,1,0.209509978242295,2.59686142559656,c4610917-cb29-43cf-bf37-7855bbecd770,488
41456,Coosa,01037,East Central,40,1,0.16640708911109,1.7505584986585,01dee34d-ff50-4105-b9d2-1ea21464e6b5,335
41457,Covington,01039,Southeastern,89,1,0.255971892285061,2.38709591035509,5d70be91-5151-4915-a6ba-8f9970731023,1388
41458,Crenshaw,01041,Southeastern,89,3,0.150571897113878,2.31806123117494,fc3e03fc-f2d5-4c23-bfa0-186bda3f9ffc,876
41459,Cullman,01043,Northern,203,1,0.191087821164047,2.50218505547441,68751cff-b64b-4f6f-ae4d-955cd4d3d861,3971
41460,Dale,01045,Southeastern,138,0,0.138259666605563,1.65151999951547,0d9bd3aa-3c4b-4127-8ab4-2652ef921771,1475
41461,Dallas,01047,Southwestern,353,5,0.246497505086154,3.13752996820932,3f764bff-ab2e-4259-b85d-a6165eb6ff4b,2653
41462,DeKalb,01049,Northeastern,276,5,0.197848401841384,2.21695752803772,6512ced2-fd80-44f9-a22a-33cd1089f000,2811
41463,Elmore,01051,East Central,437,10,0.163505782545826,2.27519521591255,7f6874b0-542d-40f0-aa67-b35047e5f8e7,4256
41464,Escambia,01053,Southwestern,88,3,0.233446648119298,2.50306921694382,7113a324-b701-41dc-adaf-1811bdd17cbb,1458
41465,Etowah,01055,Northeastern,277,12,0.138757597037284,2.10053621990475,31d50702-3b86-48b5-b3c3-074d1ba527ad,5906
41466,Fayette,01057,West Central,21,0,0.158552104918499,1.83779224583562,7ecb258a-ebe2-4b87-ab3f-6e2feef5d45d,780
41467,Franklin,01059,Northern,631,10,0.164243463038702,1.78358559509712,2034db4b-6378-4fa0-a803-783cfb7f071a,2602
41468,Geneva,01061,Southeastern,46,0,0.141768015065281,1.83488097279248,d23a2e26-34af-4cfa-9985-134918e3ed91,752
41469,Greene,01063,West Central,102,5,0.164666965815741,3.57766804402764,f00f3f01-955f-4134-a6e2-387803f396c7,613
41470,Hale,01065,West Central,209,11,0.163613340422671,2.4799010938001,daa440c5-2bf9-4e0c-bc0f-e6287215c9c1,1542
41471,Henry,01067,Southeastern,89,2,0.139761467476774,1.63725823418183,4038f8ab-3b0d-4107-b165-82275619e40f,710
41472,Houston,01069,Southeastern,253,5,0.142463779205855,2.10452810210549,af790d87-1fc8-4c8f-80b7-8780eaf54314,4360
