"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Alameda","4/12/2020 16:29:40","843","23","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x","x"
"Contra Costa","4/12/2020 16:30:10","539","11","https://cchealth.org/coronavirus/","","7036","","","","","","","","","","","42","currently","","","","","","","BANG","","",""
"Marin","4/12/2020 16:30:30","165","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2081","","","","","","","","","","","28","","","","","","","","BANG","","",""
"Napa","4/11/2020 17:01:59","34","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","715","134","547","34","","","","","","","","","","","","","1","41","","BANG","","",""
"San Francisco","4/12/2020 16:34:20","872","14","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","7666","","","","","","","","","","","83","current","28","current","","","","","BANG","","","x"
"San Mateo","4/11/2020 17:15:11","652","21","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","6302","123","5517","662","","","","","","","","72","current","20","current","","","","","BANG","","",""
"Santa Clara","4/12/2020 16:39:23","1621","54","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","14956","215","13120","1621","","","","","","","","194","current","72","current","","","","","BANG","","x","x"
"Santa Cruz","4/12/2020 16:40:30","88","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2313","","","","","","","","36","16","required hospitalization","","","","","","","BANG","","",""
"Solano","4/10/2020 17:44:32","121","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","34","cumulative","","","","","","","BANG","","x",""
"Sonoma","4/11/2020 17:11:08","145","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","3251","","","","","","","","","","52","20","","","","","","","","BANG","","",""
