OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,115,4,1,15,16,21,13,18,13,11,3,0,0,0,0,0,1,1,2,0,0,0,45,0 to 89,54,38 to 56,4,69,46,0,115,0,0,7,107,1,2,1,1,3,0,1,0,115,4,111,0,0,3,3,2,4,3,1,4,0,0,111,0,115,111,4,0,1,1,920490830.042053,148547.348006441,1,0,1,0
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,818,22,30,74,114,113,132,140,88,78,22,5,0,8,2,5,5,9,4,7,3,0,48,0 to 118,47,6 to 82,43,476,304,38,815,3,0,120,683,15,25,6,12,34,1,8,1,815,43,771,1,3,56,26,112,43,20,23,43,0,0,769,3,818,772,43,1,58,29,2142439482.67719,232574.925675008,8,0,12,0
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,118,11,5,5,13,21,16,21,16,8,2,0,0,0,0,1,0,0,0,0,0,0,47,0 to 118,29,29 to 29,1,64,49,5,118,0,0,28,87,3,1,0,0,1,0,0,0,118,1,117,0,0,8,24,1,1,0,1,1,0,0,117,0,118,117,1,0,11,9,2685252568.13834,267348.178950349,0,0,0,0
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1159,46,33,79,182,185,172,195,133,83,49,2,1,1,2,16,11,10,18,18,15,9,47,0 to 118,59,3 to 96,97,720,409,30,1150,8,1,115,993,51,68,2,31,85,0,16,1,1147,101,1045,1,12,73,27,113,101,45,56,96,4,1,1041,4,1159,1045,101,1,283,164,2369222670.29688,330553.160278386,16,0,30,1
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,58,1,2,6,8,9,8,7,8,8,1,0,0,0,1,1,0,1,0,1,0,1,49,0 to 88,47,20 to 88,5,31,25,2,58,0,0,4,51,3,1,0,4,3,0,2,0,58,5,53,0,0,3,2,4,5,2,3,5,0,0,53,0,58,53,5,0,26,22,1487626835.10838,192207.890331272,2,0,4,0
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,10445,135,166,693,1428,1521,1678,1758,1496,1025,504,41,5,9,100,179,206,251,256,280,246,112,52,0 to 110,57,0 to 104,1598,5874,4425,146,10339,104,2,536,9785,124,139,1149,359,270,1108,269,81,10361,1646,8593,121,84,174,1009,337,1646,821,809,1596,48,2,8548,54,10445,8602,1646,81,681,516,5710098601.29486,464192.459734082,257,12,339,20
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1886,32,40,126,233,290,336,307,273,180,69,0,0,0,8,12,20,20,30,30,22,10,51,0 to 99,60,18 to 96,150,1108,706,72,1881,5,0,172,1669,45,73,15,64,93,15,44,6,1856,152,1702,2,30,124,27,95,152,64,88,150,2,0,1699,3,1886,1702,152,6,71,62,1499679486.67142,252832.323289834,44,0,64,0
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3432,61,80,238,434,536,627,621,486,256,89,4,1,1,15,19,35,33,29,22,4,1,50,0 to 102,47,1 to 94,153,2086,1334,12,3407,25,0,199,3152,81,74,32,54,122,7,31,3,3409,160,3244,5,23,102,94,146,160,81,79,153,7,0,3226,18,3432,3244,160,3,355,223,1975344274.45807,225211.500752162,30,1,52,2
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,172,6,5,14,30,24,38,25,20,7,2,1,0,0,1,3,1,7,3,1,1,0,47,0 to 90,50,24 to 81,17,107,64,1,171,0,1,11,156,5,7,10,0,8,8,1,0,172,17,155,0,0,1,9,15,17,6,11,16,0,1,155,0,172,155,17,0,39,22,1367889846.39806,205127.330650714,1,0,0,0
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1790,46,37,245,329,293,298,280,180,60,21,1,0,2,15,24,22,20,22,14,0,1,43,0 to 95,43,9 to 86,116,1030,712,48,1778,11,1,98,1645,47,45,33,42,92,10,18,0,1784,120,1662,2,6,40,21,113,120,55,63,115,4,1,1655,7,1790,1662,120,0,240,170,1817477697.41779,246081.909627491,17,1,39,3
