OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,189,5,3,20,29,31,27,33,23,15,3,0,0 to 89,46,116,72,1,189,0,0,3,184,2,11,176,1,4,184,0,1,188,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,184,0,189,184,4,0,12,3,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1136,29,41,123,172,159,174,189,121,94,29,5,0 to 118,46,679,415,42,1133,3,0,59,942,133,152,955,16,75,1058,0,3,1130,40,35,0,0,43,32,0,75,0,9,11,8,12,13,8,11,3,0,0,6 to 82,42,41,33,1,0,1,72,2,24,0,12,0,0,1,75,32,43,75,0,0,1055,3,1136,1058,75,1,83,37,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,186,19,7,7,24,30,23,31,25,15,4,1,0 to 118,47,95,73,18,186,0,0,11,171,3,43,140,3,3,182,0,1,185,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,2,0,0,1,0,2,1,0,0,0,0,0,0,3,0,3,3,0,0,182,0,186,182,3,0,12,2,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,1852,69,48,131,265,301,273,313,227,138,84,3,0 to 118,48,1165,647,40,1782,69,1,88,1616,137,150,1583,55,141,1700,0,11,1772,80,56,3,2,76,60,0,136,1,3,4,20,18,12,28,26,18,11,0,3 to 96,59,105,20,10,1,14,119,3,42,1,24,0,0,3,141,64,77,135,5,1,1636,64,1852,1700,141,3,362,169,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,99,1,2,9,16,20,12,13,11,13,1,1,0 to 88,45,55,42,2,99,0,0,3,92,4,5,89,3,6,93,0,0,99,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,93,0,99,93,6,0,27,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,21625,253,321,1347,2623,2871,3460,4038,2923,1619,892,1278,0 to 115,53,12056,9417,152,21398,225,2,210,20928,465,743,19060,140,2554,18751,268,52,21084,2375,123,50,6,1237,1260,1,2498,12,17,174,283,349,391,437,365,317,182,27,0 to 104,56,902,315,171,1110,289,988,1221,515,24,382,15,3,144,2554,1292,1261,2496,56,2,18586,165,21625,18751,2554,144,685,428,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,2591,46,55,173,328,408,454,442,364,226,90,5,0 to 99,51,1506,1009,76,2582,9,0,170,2197,188,326,2165,59,220,2315,2,54,2526,198,16,6,0,128,86,0,214,2,2,15,19,32,27,38,39,25,21,0,3 to 97,59,134,48,14,18,30,161,23,86,0,65,0,0,17,220,88,132,214,6,0,2312,3,2591,2315,220,17,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,4551,77,98,311,579,698,808,830,662,361,121,6,0 to 102,51,2761,1776,14,4522,29,0,115,4209,223,293,4106,85,221,4294,6,30,4486,182,32,6,1,108,106,0,214,2,3,18,25,47,43,34,35,8,6,0,1 to 94,49,145,20,35,14,50,144,20,72,3,45,2,0,3,221,110,111,214,7,0,4272,22,4551,4294,221,3,403,146,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,384,9,8,35,64,80,75,52,42,13,5,1,0 to 96,44,242,139,3,382,1,1,6,321,46,57,312,7,69,314,0,1,382,61,7,1,0,45,23,0,68,0,0,4,12,17,18,11,5,2,0,0,20 to 81,45,8,40,0,20,1,39,28,3,0,8,0,0,0,69,23,46,67,1,1,314,0,384,314,69,0,94,36,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,2619,63,55,338,487,445,442,414,251,90,33,1,0 to 96,43,1491,1069,59,2594,24,1,57,2357,201,186,2346,55,191,2418,2,8,2585,176,8,6,1,104,80,0,184,1,2,24,43,33,35,33,16,2,2,0,2 to 86,43,83,77,5,19,12,151,21,52,5,26,3,0,2,191,84,107,183,7,1,2401,17,2619,2418,191,2,349,203,1817477697.41779,246081.909627491
