OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,110,4,1,13,15,21,13,18,12,10,3,0,0,0,0,0,1,1,2,0,0,0,45,0 to 89,54,38 to 56,4,66,44,0,110,0,0,7,102,1,2,1,1,3,0,1,0,110,4,106,0,0,3,3,2,4,3,1,4,0,0,106,0,110,106,4,0,1,1,920490830.042053,148547.348006441,1,0,1,0
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,773,21,24,72,105,107,124,137,84,73,21,5,0,3,2,4,3,9,4,7,2,0,49,0 to 97,48,12 to 82,34,449,287,37,770,3,0,111,647,15,22,1,11,26,0,8,1,770,34,735,1,3,55,23,106,34,17,17,34,0,0,733,3,773,736,34,1,58,37,2142439482.67719,232574.925675008,8,0,11,0
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,116,11,5,4,13,21,15,21,16,8,2,0,0,0,0,1,0,0,0,0,0,0,47,0 to 118,29,29 to 29,1,63,48,5,116,0,0,28,85,3,1,0,0,1,0,0,0,116,1,115,0,0,8,24,1,1,0,1,1,0,0,115,0,116,115,1,0,11,11,2685252568.13834,267348.178950349,0,0,0,0
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1101,46,32,74,171,181,160,185,126,79,46,1,1,0,2,15,11,9,16,17,13,7,47,0 to 118,59,3 to 96,87,686,385,30,1092,8,1,106,944,51,59,2,30,76,0,15,1,1089,91,998,0,12,72,25,106,91,43,48,86,4,1,994,4,1101,998,91,1,280,161,2369222670.29688,330553.160278386,15,0,29,1
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,58,1,2,6,8,9,8,7,8,8,1,0,0,0,1,1,0,1,0,1,0,1,49,0 to 88,47,20 to 88,5,31,25,2,58,0,0,4,51,3,1,0,4,3,0,2,0,58,5,53,0,0,3,2,4,5,2,3,5,0,0,53,0,58,53,5,0,26,22,1487626835.10838,192207.890331272,2,0,4,0
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,8515,125,140,566,1165,1238,1329,1360,1218,887,466,21,5,7,84,153,192,222,234,260,232,108,52,0 to 110,58,0 to 104,1455,4769,3611,135,8430,83,2,522,7870,123,137,1016,346,264,972,263,80,8429,1499,6905,25,86,170,963,324,1499,752,733,1453,44,2,6870,38,8515,6908,1499,80,680,517,5710098601.29486,464192.459734082,251,12,326,20
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1848,32,39,124,228,284,322,300,271,177,71,0,0,0,7,12,20,20,30,29,22,9,51,0 to 99,60,18 to 96,147,1086,692,70,1843,5,0,170,1636,42,66,20,63,86,20,43,6,1803,149,1653,1,45,118,23,94,149,63,86,147,2,0,1650,3,1848,1653,149,6,71,63,1499679486.67142,252832.323289834,43,0,63,0
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3299,61,77,229,412,514,600,594,469,251,88,4,1,1,14,18,33,30,27,21,4,1,50,0 to 102,47,1 to 94,143,2002,1288,9,3275,24,0,189,3035,75,67,34,49,112,9,29,2,3278,150,3124,4,21,102,89,133,150,78,72,143,7,0,3107,17,3299,3124,150,2,346,222,1975344274.45807,225211.500752162,28,1,47,2
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,165,6,5,12,28,24,35,25,20,7,2,1,0,0,1,3,1,4,3,1,1,0,47,0 to 90,52,24 to 81,14,101,62,2,164,0,1,11,149,5,6,8,0,7,6,1,0,164,14,150,0,1,1,9,14,14,6,8,13,0,1,150,0,165,150,14,0,30,13,1367889846.39806,205127.330650714,1,0,0,0
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1743,46,37,237,318,288,291,272,175,59,19,1,0,2,13,23,21,18,21,14,0,1,43,0 to 95,43,9 to 86,110,998,697,48,1732,10,1,93,1603,47,44,29,40,89,6,18,0,1737,113,1622,2,6,41,21,102,113,53,58,109,3,1,1615,7,1743,1622,113,0,237,172,1817477697.41779,246081.909627491,17,1,37,3
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,66,2,2,1,7,13,10,17,6,3,4,1,0,0,0,1,1,1,1,2,2,1,53,1 to 95,67,29 to 93,8,41,24,1,64,2,0,17,46,3,5,0,4,7,0,2,0,62,9,53,0,4,3,2,22,9,4,5,8,1,0,52,1,66,53,9,0,31,22,1581350101.5302,228391.565390175,2,0,3,1
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,109,18,6,8,13,13,16,9,14,8,3,1,2,0,2,2,1,2,2,2,1,0,40,0 to 89,46,0 to 77,13,61,45,3,108,1,0,24,82,3,8,3,3,13,0,1,0,109,14,95,0,0,10,17,19,14,5,9,13,1,0,95,0,109,95,14,0,46,41,1853116752.08771,219176.19751538,1,0,3,0
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,22,1,2,2,5,3,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,36,2 to 76,56,56 to 56,1,12,9,1,22,0,0,1,21,0,0,0,1,1,0,0,0,22,1,21,0,0,0,0,1,1,1,0,1,0,0,21,0,22,21,1,0,6,6,2183538740.41838,308797.501184753,0,0,1,0
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,65,0,1,10,9,9,6,14,9,5,2,0,0,0,0,0,0,0,2,0,0,0,51,11 to 93,59,56 to 62,2,34,25,6,63,2,0,12,51,2,1,0,1,2,0,0,0,64,2,61,1,1,8,2,6,2,0,2,2,0,0,61,1,65,62,2,0,2,0,1344926537.82205,232510.619937192,0,0,1,0
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,512,6,8,36,77,77,110,87,63,35,13,0,0,0,2,6,7,10,5,5,0,1,49,0 to 99,47,21 to 93,35,259,211,42,510,2,0,44,441,27,20,3,13,31,0,5,1,512,36,476,0,0,27,28,19,36,21,15,35,1,0,475,1,512,476,36,1,31,29,1930770661.49939,558412.990825665,4,1,12,1
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,408,17,23,31,48,64,56,82,55,22,7,3,1,0,2,5,2,3,8,3,1,0,48,0 to 118,46,1 to 76,25,218,171,19,404,4,0,88,305,15,3,22,0,19,2,4,0,401,25,375,1,7,104,54,34,25,11,14,25,0,0,374,2,408,376,25,0,7,6,2068684690.43686,276060.430857214,4,0,0,0
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,216,6,6,21,34,25,40,29,20,22,13,0,0,0,1,1,0,0,4,4,4,3,49,0 to 99,71,24 to 97,17,140,61,15,213,3,0,50,163,3,12,1,4,10,0,7,2,216,17,199,0,0,15,22,16,17,7,10,17,0,0,196,3,216,199,17,2,1,0,1520245937.66486,183737.354704368,7,0,4,0
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,89,4,3,6,13,12,18,13,13,5,1,1,0,0,0,1,1,0,0,0,0,0,48,0 to 100,33,27 to 39,2,52,25,12,88,1,0,3,85,1,0,0,2,2,0,0,0,84,2,82,0,5,0,3,0,2,2,0,2,0,0,81,1,89,82,2,0,3,3,1251550190.83949,175658.620344926,0,0,2,0
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1093,15,12,58,109,133,175,221,194,122,54,0,0,0,6,11,5,19,31,18,21,6,56,0 to 99,61,19 to 92,114,612,454,27,1090,3,0,74,974,45,56,23,38,81,10,26,3,1086,117,969,0,7,58,30,48,117,64,52,114,3,0,969,0,1093,969,117,3,58,51,1686613017.08661,308980.48751506,25,1,36,2
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,10856,302,262,1008,1961,1869,1755,1642,1190,587,273,7,8,14,85,116,117,137,106,69,31,15,45,0 to 119,45,0 to 98,678,6480,4317,59,10745,111,0,398,10232,226,234,255,209,486,93,119,15,10847,698,10137,12,9,333,276,290,698,349,347,678,20,0,10052,90,10856,10142,698,15,654,330,2746844886.16013,358788.307034344,117,2,204,5
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,1502,21,26,93,191,220,254,274,218,145,59,1,0,2,9,23,25,38,37,41,38,8,52,0 to 100,58,14 to 91,220,895,571,36,1489,13,0,138,1343,21,23,166,32,92,86,43,13,1500,221,1278,1,2,112,52,42,221,100,117,220,1,0,1266,12,1502,1278,221,13,183,103,1945653927.12581,371198.171414394,43,0,32,0
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,1989,26,45,142,270,376,403,329,227,118,45,8,0,0,8,11,21,26,31,31,22,11,48,0 to 99,59,18 to 95,160,1099,776,114,1985,4,0,180,1771,38,63,50,48,88,37,36,8,1985,161,1823,1,4,60,89,82,161,66,92,160,1,0,1820,3,1989,1823,161,8,47,31,1667659896.51059,183856.484298748,36,0,48,0
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,66,2,1,8,13,7,8,12,11,3,1,0,0,0,0,0,1,0,0,2,0,0,48,0 to 89,71,39 to 73,1,37,28,1,63,3,0,3,61,2,1,0,2,1,0,2,0,66,3,63,0,0,2,2,2,3,1,2,1,2,0,62,1,66,63,3,0,0,0,1653184151.65315,165534.73009074,0,2,0,2
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,1983,32,27,153,231,276,319,365,347,167,64,2,0,0,3,12,17,22,20,9,3,1,53,0 to 119,49,19 to 88,84,1206,744,33,1977,6,0,110,1802,71,61,3,23,75,1,11,2,1705,87,1615,3,278,311,662,112,87,37,50,84,3,0,1614,1,1983,1615,87,2,116,86,4305055841.62241,350920.190673371,11,0,21,2
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,2213,45,36,125,303,309,340,406,375,192,78,4,1,0,12,28,25,28,28,47,18,6,53,0 to 101,55,1 to 92,184,1301,891,21,2195,18,0,155,1958,100,113,15,65,131,14,48,7,2208,193,2013,2,5,93,54,122,193,96,97,184,9,0,2005,9,2213,2014,193,7,327,179,3125661534.15881,560414.737839251,44,4,60,5
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,102,3,4,10,10,23,10,14,20,6,1,1,0,0,1,0,0,0,0,1,0,0,45,0 to 86,45,24 to 66,2,57,45,0,102,0,0,7,95,0,0,1,1,0,1,1,0,101,2,99,0,1,7,3,0,2,1,1,2,0,0,99,0,102,99,2,0,0,0,1823798262.39212,235232.973119088,1,0,1,0
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,2680,80,51,189,367,356,434,441,368,302,89,3,0,3,5,9,23,25,29,30,25,1,51,0 to 101,58,11 to 86,143,1539,1107,34,2659,21,0,140,2474,66,52,22,76,93,15,42,4,2662,150,2508,4,18,71,39,144,150,72,78,143,7,0,2498,14,2680,2512,150,4,223,161,2995995460.71371,331014.242454318,40,2,69,7
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,255,5,7,26,39,36,37,39,39,21,6,0,0,0,0,1,1,1,3,1,0,0,49,0 to 118,57,33 to 74,7,167,85,3,255,0,0,21,233,1,3,2,2,4,2,1,0,254,7,247,0,1,9,15,4,7,3,4,7,0,0,247,0,255,247,7,0,9,8,2900663690.96646,339394.964008615,1,0,2,0
