Report Date,FIPS,Locality,Health District,Total Cases
4/11/2020,51001,Accomack,Eastern Shore,15
4/11/2020,51005,Alleghany,Alleghany,4
4/11/2020,51007,Amelia,Piedmont,9
4/11/2020,51017,Bath,Central Shenandoah,0
4/11/2020,51023,Botetourt,Alleghany,22
4/11/2020,51041,Chesterfield,Chesterfield,203
4/11/2020,51045,Craig,Alleghany,2
4/11/2020,51051,Dickenson,Cumberland Plateau,0
4/11/2020,51059,Fairfax,Fairfax,946
4/11/2020,51061,Fauquier,Rappahannock Rapidan,25
4/11/2020,51063,Floyd,New River,1
4/11/2020,51065,Fluvanna,Thomas Jefferson,19
4/11/2020,51067,Franklin County,West Piedmont,14
4/11/2020,51069,Frederick,Lord Fairfax,63
4/11/2020,51071,Giles,New River,2
4/11/2020,51073,Gloucester,Three Rivers,20
4/11/2020,51075,Goochland,Chickahominy,26
4/11/2020,51089,Henry,West Piedmont,8
4/11/2020,51095,James City,Peninsula,126
4/11/2020,51099,King George,Rappahannock,13
4/11/2020,51101,King William,Three Rivers,2
4/11/2020,51103,Lancaster,Three Rivers,1
4/11/2020,51107,Loudoun,Loudoun,296
4/11/2020,51117,Mecklenburg,Southside,53
4/11/2020,51121,Montgomery,New River,31
4/11/2020,51125,Nelson,Thomas Jefferson,4
4/11/2020,51135,Nottoway,Piedmont,4
4/11/2020,51137,Orange,Rappahannock Rapidan,13
4/11/2020,51139,Page,Lord Fairfax,6
4/11/2020,51147,Prince Edward,Piedmont,8
4/11/2020,51157,Rappahannock,Rappahannock Rapidan,1
4/11/2020,51159,Richmond County,Three Rivers,5
4/11/2020,51161,Roanoke County,Alleghany,13
4/11/2020,51169,Scott,Lenowisco,3
4/11/2020,51171,Shenandoah,Lord Fairfax,16
4/11/2020,51173,Smyth,Mount Rogers,9
4/11/2020,51175,Southampton,Western Tidewater,5
4/11/2020,51177,Spotsylvania,Rappahannock,47
4/11/2020,51179,Stafford,Rappahannock,67
4/11/2020,51181,Surry,Crater,3
4/11/2020,51183,Sussex,Crater,8
4/11/2020,51191,Washington,Mount Rogers,24
4/11/2020,51195,Wise,Lenowisco,8
4/11/2020,51530,Buena Vista City,Central Shenandoah,4
4/11/2020,51540,Charlottesville,Thomas Jefferson,31
4/11/2020,51570,Colonial Heights,Chesterfield,6
4/11/2020,51580,Covington,Alleghany,1
4/11/2020,51595,Emporia,Crater,7
4/11/2020,51610,Falls Church,Fairfax,0
4/11/2020,51630,Fredericksburg,Rappahannock,11
4/11/2020,51640,Galax,Mount Rogers,1
4/11/2020,51650,Hampton,Hampton,64
4/11/2020,51670,Hopewell,Crater,14
4/11/2020,51678,Lexington,Central Shenandoah,3
4/11/2020,51683,Manassas City,Prince William,34
4/11/2020,51720,Norton,Lenowisco,0
4/11/2020,51730,Petersburg,Crater,17
4/11/2020,51735,Poquoson,Peninsula,6
4/11/2020,51740,Portsmouth,Portsmouth,49
4/11/2020,51750,Radford,New River,1
4/11/2020,51760,Richmond City,Richmond,148
4/11/2020,51770,Roanoke City,Roanoke,17
4/11/2020,51790,Staunton,Central Shenandoah,1
4/11/2020,51800,Suffolk,Western Tidewater,40
4/11/2020,51810,Virginia Beach,Virginia Beach,236
