ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,821,18,23,96,106,117,126,122,104,73,36,0,0 to 118,49,455,357,9,821,0,0,20,682,2,178,3,135,686,0,0,821,114,21,0,0,40,95,0,135,5,6,22,22,23,24,20,8,5,0,0,0 to 83,39,96,14,15,10,29,91,15,8,0,1,0,0,0,135,95,40,135,0,0,2508,0,2648,2508,135,0,247,230,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3934,83,159,421,590,501,600,636,455,312,164,13,0 to 118,48,2382,1487,65,3926,8,0,120,3494,133,583,22,738,3193,1,2,3923,409,329,0,0,364,344,30,738,14,67,133,136,111,97,79,52,33,14,2,0 to 100,36,345,220,60,113,119,489,130,107,0,52,0,0,7,738,344,364,738,0,0,7786,8,8537,7794,738,7,231,162,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,988,33,20,102,153,133,126,173,145,75,24,4,0 to 118,48,554,403,31,980,8,0,20,780,3,233,28,136,851,1,0,979,109,25,2,0,68,65,1,134,0,2,30,39,23,12,17,5,8,0,0,6 to 84,33,69,33,20,12,26,93,15,28,0,10,0,0,1,136,65,70,134,2,0,1602,6,1747,1608,136,1,327,226,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7969,216,181,738,1226,1140,1039,1162,883,757,585,42,0 to 119,49,4726,3142,101,7820,148,1,248,6847,137,752,95,1287,6653,0,29,7792,1134,134,12,5,660,570,38,1268,16,42,235,272,198,163,145,102,67,43,2,0 to 103,38,712,104,91,361,228,612,428,130,3,73,1,0,10,1285,578,669,1267,17,1,16709,131,18144,16840,1285,10,1444,1013,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,666,8,9,56,70,94,94,118,94,81,42,0,0 to 99,55,398,255,13,666,0,0,12,480,4,133,7,174,491,0,1,665,158,16,0,0,112,62,0,174,1,3,19,21,15,17,26,18,30,24,0,1 to 99,60,122,21,9,22,10,130,34,21,0,14,0,0,7,174,62,112,174,0,0,1082,0,1261,1082,174,7,284,222,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,81172,1300,2024,6941,10664,10247,11471,13285,11428,7922,4280,1610,0 to 119,52,44050,36808,314,80322,848,2,3879,69516,465,12648,437,21027,59779,181,185,79961,20630,181,201,6,10421,10327,63,20811,362,759,3060,3985,3470,3082,2640,1601,1137,909,13,0 to 105,41,7858,3327,2913,6713,6120,7595,7096,2825,42,2046,27,14,606,21018,10438,10514,20809,207,2,162104,636,184077,162740,21018,606,6276,6011,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,12579,235,300,1005,1623,1637,1962,2100,1864,1197,619,37,0 to 119,52,7237,5054,288,12429,150,0,703,10130,188,2299,92,2862,9492,7,218,12204,2747,98,17,0,1528,1285,32,2845,52,107,405,515,459,483,355,250,140,90,6,0 to 104,42,964,478,265,1138,568,982,1295,306,1,243,2,1,62,2862,1294,1536,2845,17,0,25235,129,28248,25364,2862,62,1912,1897,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,17278,339,442,1641,2319,2408,2727,2862,2440,1457,613,30,0 to 119,50,9795,7392,91,17193,85,0,721,14471,223,2531,150,3881,13350,2,45,17146,3778,77,19,1,1921,1897,37,3855,67,112,672,760,632,600,461,332,169,69,1,0 to 99,39,2070,246,353,1186,643,1824,1388,440,8,259,4,1,28,3875,1906,1932,3855,20,0,42211,65,46180,42276,3875,28,3049,2497,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3206,59,119,262,536,544,558,489,400,153,83,3,0 to 119,46,2181,1013,12,3188,17,1,52,2804,46,478,20,588,2616,1,1,3187,571,13,4,0,380,203,1,584,10,32,66,112,121,104,61,44,25,12,1,0 to 98,40,191,234,30,129,85,341,158,108,0,74,0,0,8,588,203,384,583,4,1,6446,13,7062,6459,588,8,525,330,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14776,209,382,2351,2477,2095,2125,2259,1786,700,350,42,0 to 119,44,7678,6949,149,14521,254,1,296,13516,201,1082,109,2349,12414,2,11,14509,2270,26,49,3,1199,1068,29,2296,18,89,992,459,251,200,193,93,32,11,10,0 to 105,25,620,637,83,956,134,962,1200,144,11,65,10,7,8,2348,1094,1225,2295,52,1,36522,200,39149,36722,2348,8,1108,690,,2.42861632663576,0.170704044186268
