County,Cases,Deaths,Recovered,ReportDate
TULSA,5099,75,3987,2020-07-12
OKLAHOMA,4802,74,3489,2020-07-12
CLEVELAND,1319,40,1043,2020-07-12
TEXAS,1005,6,985,2020-07-12
MCCURTAIN,610,11,465,2020-07-12
CANADIAN,502,3,342,2020-07-12
COMANCHE,498,9,418,2020-07-12
PAYNE,480,1,401,2020-07-12
WASHINGTON,448,39,381,2020-07-12
WAGONER,370,19,280,2020-07-12
ROGERS,331,7,213,2020-07-12
DELAWARE,242,17,173,2020-07-12
GRADY,241,5,152,2020-07-12
MCCLAIN,238,4,204,2020-07-12
OSAGE,215,8,176,2020-07-12
CREEK,212,8,156,2020-07-12
CADDO,206,11,180,2020-07-12
MUSKOGEE,196,14,109,2020-07-12
BRYAN,183,1,108,2020-07-12
CARTER,182,2,122,2020-07-12
POTTAWATOMIE,158,4,117,2020-07-12
OKMULGEE,151,0,73,2020-07-12
OTTAWA,148,2,99,2020-07-12
ADAIR,137,4,121,2020-07-12
KAY,124,8,95,2020-07-12
CHOCTAW,122,1,112,2020-07-12
GARVIN,122,3,90,2020-07-12
MAYES,122,5,84,2020-07-12
CHEROKEE,120,1,93,2020-07-12
GARFIELD,104,2,79,2020-07-12
LOGAN,98,1,58,2020-07-12
MCINTOSH,86,1,59,2020-07-12
STEPHENS,82,1,62,2020-07-12
CUSTER,78,0,61,2020-07-12
PITTSBURG,71,3,61,2020-07-12
SEMINOLE,70,3,40,2020-07-12
PAWNEE,70,3,58,2020-07-12
PONTOTOC,70,2,46,2020-07-12
GREER,68,7,57,2020-07-12
SEQUOYAH,63,3,51,2020-07-12
JACKSON,57,3,39,2020-07-12
LE FLORE,57,1,35,2020-07-12
NOBLE,52,1,38,2020-07-12
KINGFISHER,46,0,30,2020-07-12
LOVE,46,0,42,2020-07-12
LINCOLN,44,2,30,2020-07-12
MARSHALL,43,0,35,2020-07-12
NOWATA,38,1,36,2020-07-12
ATOKA,34,0,21,2020-07-12
BEAVER,32,0,32,2020-07-12
CRAIG,27,0,22,2020-07-12
TILLMAN,26,1,24,2020-07-12
PUSHMATAHA,25,0,15,2020-07-12
MURRAY,25,0,22,2020-07-12
BLAINE,22,0,17,2020-07-12
LATIMER,20,1,11,2020-07-12
BECKHAM,19,0,9,2020-07-12
OKFUSKEE,19,0,14,2020-07-12
JOHNSTON,16,0,12,2020-07-12
JEFFERSON,16,0,9,2020-07-12
HASKELL,16,0,11,2020-07-12
KIOWA,16,1,11,2020-07-12
WOODWARD,15,0,12,2020-07-12
MAJOR,14,1,11,2020-07-12
HUGHES,14,0,12,2020-07-12
COTTON,11,2,6,2020-07-12
COAL,10,0,7,2020-07-12
WOODS,9,0,6,2020-07-12
WASHITA,8,0,3,2020-07-12
DEWEY,4,0,4,2020-07-12
HARMON,3,0,2,2020-07-12
GRANT,2,0,2,2020-07-12
ELLIS,2,0,2,2020-07-12
ALFALFA,1,0,1,2020-07-12
CIMARRON,1,0,1,2020-07-12
HARPER,1,0,1,2020-07-12
ROGER MILLS,1,0,0,2020-07-12
