County,Cases,Deaths,Recovered,ReportDate
TULSA,6536,86,5276,2020-07-21
OKLAHOMA,6492,82,4982,2020-07-21
CLEVELAND,1760,40,1399,2020-07-21
TEXAS,1008,7,994,2020-07-21
MCCURTAIN,708,14,557,2020-07-21
CANADIAN,686,4,541,2020-07-21
COMANCHE,607,9,504,2020-07-21
PAYNE,551,2,479,2020-07-21
WASHINGTON,502,39,433,2020-07-21
WAGONER,488,19,370,2020-07-21
ROGERS,465,10,339,2020-07-21
GRADY,309,5,236,2020-07-21
MCCLAIN,302,4,251,2020-07-21
DELAWARE,300,19,244,2020-07-21
CREEK,287,9,212,2020-07-21
MUSKOGEE,276,14,175,2020-07-21
BRYAN,252,1,174,2020-07-21
OSAGE,252,9,211,2020-07-21
OKMULGEE,233,0,156,2020-07-21
CADDO,232,11,196,2020-07-21
CARTER,224,3,185,2020-07-21
OTTAWA,224,2,166,2020-07-21
JACKSON,219,3,90,2020-07-21
POTTAWATOMIE,216,6,154,2020-07-21
ADAIR,196,4,139,2020-07-21
MAYES,192,5,117,2020-07-21
GARFIELD,183,2,119,2020-07-21
CHEROKEE,169,1,129,2020-07-21
KAY,153,9,118,2020-07-21
GARVIN,151,3,125,2020-07-21
CHOCTAW,147,1,122,2020-07-21
STEPHENS,130,1,89,2020-07-21
LOGAN,123,1,92,2020-07-21
CUSTER,121,0,83,2020-07-21
PONTOTOC,106,2,74,2020-07-21
MCINTOSH,102,1,86,2020-07-21
SEQUOYAH,102,3,67,2020-07-21
LE FLORE,100,1,55,2020-07-21
PITTSBURG,89,3,73,2020-07-21
SEMINOLE,89,4,54,2020-07-21
PAWNEE,84,3,68,2020-07-21
GREER,71,7,58,2020-07-21
KINGFISHER,68,0,48,2020-07-21
NOBLE,61,2,48,2020-07-21
LINCOLN,60,2,42,2020-07-21
LOVE,56,0,50,2020-07-21
MARSHALL,51,0,45,2020-07-21
ATOKA,47,0,40,2020-07-21
NOWATA,42,1,37,2020-07-21
CRAIG,41,0,29,2020-07-21
PUSHMATAHA,40,0,22,2020-07-21
TILLMAN,35,1,25,2020-07-21
BEAVER,33,0,32,2020-07-21
MURRAY,31,0,27,2020-07-21
BECKHAM,27,0,19,2020-07-21
LATIMER,27,1,15,2020-07-21
OKFUSKEE,24,0,19,2020-07-21
BLAINE,23,0,17,2020-07-21
JOHNSTON,23,0,16,2020-07-21
HASKELL,22,0,17,2020-07-21
JEFFERSON,22,0,18,2020-07-21
HUGHES,22,1,14,2020-07-21
WOODWARD,21,0,15,2020-07-21
COAL,19,0,11,2020-07-21
KIOWA,18,1,15,2020-07-21
MAJOR,17,1,14,2020-07-21
COTTON,12,2,9,2020-07-21
WASHITA,12,0,7,2020-07-21
WOODS,12,0,8,2020-07-21
DEWEY,6,0,4,2020-07-21
GRANT,5,0,2,2020-07-21
HARMON,4,0,2,2020-07-21
ROGER MILLS,3,0,0,2020-07-21
HARPER,2,0,1,2020-07-21
ALFALFA,1,0,1,2020-07-21
ELLIS,1,0,1,2020-07-21
CIMARRON,1,0,1,2020-07-21
