ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,23,3148,1,223,15,17,694,326,155,1,9,633,266,138,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,23,20052,0,1764,268,65,3298,1746,928,10,36,2410,1201,644,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,28,5478,4,424,42,30,1422,802,295,5,23,1241,687,246,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,26,7867,0,504,56,32,1330,501,305,3,27,1251,458,290,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,2,760,0,78,4,12,238,183,53,0,9,148,93,30,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,8,3088,0,141,13,7,388,257,66,1,6,284,228,39,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,33,19153,2,1840,255,48,2177,1059,558,20,28,1581,767,396,13,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,30,2855,0,191,7,17,705,273,143,3,12,619,236,120,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,12,19267,2,1315,185,15,1010,588,255,8,12,864,498,210,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,1,1101,0,70,56,5,216,182,37,2,5,216,182,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,10,7839,0,565,43,25,1201,617,344,4,15,871,463,243,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,29,9683,2,750,101,54,1886,916,510,7,31,1188,609,349,6,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,45,9988,3,940,73,52,1992,935,518,4,26,1478,678,373,1,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,27,17181,0,1082,158,28,1355,805,414,16,18,847,561,268,7,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,6,837,1,76,5,6,185,117,64,0,3,113,77,35,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,8,5072,1,471,82,33,1074,711,297,8,29,999,679,270,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,3,1253,0,158,37,9,260,157,110,4,5,220,103,91,2,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,14,16515,2,1167,179,29,1494,743,475,11,29,1494,743,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,6,1286,1,155,17,9,413,138,124,1,6,256,105,78,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,23,6990,0,670,157,45,1461,742,494,3,19,702,379,249,1,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,26,17155,3,1179,221,42,1739,911,512,8,42,1739,911,512,8,1.62072838209013,0.0871537443231625
