ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,977,35,32,114,125,131,141,139,113,90,57,0,0 to 118,49,555,413,9,977,0,0,33,738,2,251,4,266,710,0,1,976,237,29,0,0,126,139,1,266,10,13,38,39,37,38,32,18,21,20,0,0 to 100,43,181,17,20,48,36,155,75,15,0,5,0,0,0,266,139,126,266,0,0,2790,0,3061,2790,266,0,371,354,40,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4176,91,183,464,634,536,630,672,466,317,171,12,0 to 118,48,2511,1600,65,4168,8,0,184,3640,133,779,22,1006,3166,1,3,4164,580,426,0,0,499,477,30,1006,21,89,184,180,148,130,122,65,43,23,1,0 to 100,36,469,282,116,139,184,654,168,192,0,110,0,0,8,1006,477,499,1006,0,0,9065,8,10084,9073,1006,8,259,190,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1137,36,39,123,177,159,154,184,156,78,27,4,0 to 118,47,647,466,24,1129,8,0,37,796,3,390,28,221,916,0,0,1129,185,34,2,0,119,100,0,219,0,9,43,49,37,30,28,12,10,3,0,5 to 91,37,104,76,23,16,28,168,23,40,0,12,0,0,2,221,100,121,219,2,0,2173,6,2401,2179,221,2,564,464,35,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8744,240,213,891,1392,1267,1140,1247,932,777,602,43,0 to 119,48,5160,3484,100,8589,154,1,316,7251,137,992,102,2062,6659,0,23,8567,1902,137,18,5,1087,904,48,2039,28,67,382,441,327,266,236,152,93,67,3,0 to 103,38,971,179,159,730,293,918,828,165,3,99,1,0,16,2062,915,1099,2038,23,1,20086,131,22305,20217,2062,16,1922,1491,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,755,13,19,72,78,112,106,129,105,80,41,0,0 to 99,52,447,294,14,755,0,0,24,473,4,200,9,229,525,0,1,754,213,16,0,0,140,89,0,229,1,6,29,25,22,30,34,29,29,24,0,1 to 99,55,180,18,16,15,12,195,22,33,0,21,0,0,7,229,89,140,229,0,0,1634,0,1870,1634,229,7,418,356,55,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,87510,1446,2319,7866,11814,11272,12492,14109,11906,8211,4450,1625,0 to 119,51,47446,39740,324,86618,890,2,5097,72811,465,16532,504,26951,60185,175,199,86249,26476,224,245,6,13564,13046,90,26700,455,1011,3959,5114,4439,4049,3395,2020,1395,1087,27,0 to 105,41,9789,4118,3746,9047,7472,9556,9672,3184,42,2312,27,15,701,26951,13179,13678,26698,251,2,190603,635,218642,191238,26951,701,7533,7268,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13744,273,361,1126,1824,1843,2149,2257,1948,1246,679,38,0 to 119,51,7953,5513,278,13593,151,0,838,10767,188,2840,98,3807,9710,6,221,13366,3681,107,19,0,2070,1670,48,3788,66,161,513,690,628,624,477,333,186,123,6,0 to 104,42,1171,684,410,1523,712,1301,1775,348,2,265,2,1,83,3807,1680,2079,3788,19,0,29633,129,33615,29762,3807,83,2461,2446,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18623,362,492,1804,2519,2624,2954,3055,2567,1539,678,29,0 to 119,49,10546,7991,86,18533,90,0,987,14928,223,3535,179,5161,13410,2,50,18481,5019,117,24,1,2611,2489,36,5136,81,153,818,957,829,813,647,462,253,147,1,0 to 105,41,2919,323,544,1350,882,2588,1666,586,9,370,4,1,58,5161,2502,2623,5136,25,0,48975,65,54242,49040,5161,58,3606,3054,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3537,72,152,319,588,600,601,527,420,166,89,3,0 to 119,45,2355,1163,19,3516,20,1,87,3002,46,603,24,912,2624,1,0,3516,876,29,7,0,548,348,9,905,20,60,121,165,174,150,101,63,39,18,1,0 to 98,39,253,323,61,268,143,450,312,135,0,81,0,0,12,912,348,555,904,7,1,7686,13,8637,7699,912,12,638,443,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15715,242,425,2596,2654,2234,2253,2360,1831,716,361,43,0 to 119,43,8200,7371,144,15449,265,1,507,13928,201,1478,123,3265,12431,2,17,15431,3159,43,60,3,1699,1478,25,3202,32,127,1233,642,390,331,294,134,49,22,11,0 to 105,27,902,930,192,1178,220,1374,1608,206,13,84,11,7,11,3265,1510,1730,3201,63,1,42244,199,45792,42443,3265,11,1430,1014,27,2.42861632663576,0.170704044186268
