ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,56,1012,4,45,11,391,33,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,261,15830,49,1187,62,3521,666,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,74,2769,15,144,22,775,102,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,127,3646,8,155,23,775,115,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,8,334,Â 0,22,7,144,17,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,30,746,1,13,4,58,3,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,321,13994,55,1240,44,1769,394,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,27,1282,2,48,11,235,33,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,235,15148,22,819,15,794,143,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,4,608,2,31,4,273,20,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,141,4077,8,239,21,843,137,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,101,6132,14,355,48,1312,213,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,123,6505,23,420,45,1397,180,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,383,12814,26,599,25,1069,186,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,6,237,1,11,3,31,6,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,69,3537,12,282,29,1087,178,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,16,936,7,110,5,287,76,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,214,12779,24,714,29,1289,283,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,14,920,1,83,7,401,67,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,69,5354,17,430,41,1205,285,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,234,11947,20,591,42,1497,351,1.62072838209013,0.0871537443231625
