ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,42,1758,2,112,14,695,95,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,89,17361,5,1455,63,4171,872,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,71,3937,Â 0,239,26,1683,197,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,73,5455,4,272,26,1206,198,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,3,503,Â 0,41,7,294,32,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,19,1608,2,51,6,309,27,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,102,16140,6,1528,46,2637,538,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,21,1832,3,116,14,544,95,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,122,17447,12,1057,15,1058,168,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,9,808,3,52,4,355,34,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,105,5825,11,407,23,1412,268,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,42,7339,5,508,51,1952,372,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,36,7913,9,626,48,2210,368,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,170,15205,7,838,25,1552,315,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,3,459,Â 0,19,4,60,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,43,4255,12,375,32,1428,273,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,3,1056,1,138,5,358,104,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,116,14702,11,957,29,1796,442,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,2,1078,2,120,7,496,102,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,24,6036,Â 0,561,41,1697,428,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,109,14668,12,884,41,2064,437,1.62072838209013,0.0871537443231625
