ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,447,8,7,42,59,55,63,67,61,54,31,0,0 to 118,53,284,154,9,447,0,0,3,439,2,14,1,7,440,0,0,447,6,1,0,0,4,3,0,7,0,0,0,1,1,2,2,1,0,0,0,25 to 73,52,6,1,0,0,0,7,0,1,0,0,0,0,0,7,3,4,7,0,0,441,0,448,441,7,0,18,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,2577,53,78,233,364,328,407,400,322,243,138,11,0 to 118,50,1660,871,46,2572,5,0,73,2351,133,206,19,131,2440,4,2,2566,85,46,0,0,78,53,0,131,0,11,13,16,20,20,12,18,14,7,0,6 to 98,47,73,52,6,0,6,122,3,29,0,16,0,0,3,131,53,78,131,0,0,2464,5,2608,2469,131,3,97,28,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,368,24,12,14,43,46,50,63,67,34,13,2,0 to 118,54,191,153,24,367,1,0,14,335,3,65,3,3,365,0,0,367,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,367,1,372,368,3,0,19,2,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,3516,117,89,284,565,567,502,568,406,245,138,35,0 to 119,47,2115,1365,36,3386,129,1,98,3199,137,183,63,177,3338,1,0,3386,92,78,3,4,90,80,0,170,3,4,6,23,23,22,36,28,21,11,0,0 to 96,56,134,27,8,1,29,140,1,50,1,29,0,0,5,177,84,93,169,7,1,3246,122,3547,3368,177,5,437,115,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,349,2,3,31,33,53,45,61,51,46,23,1,0 to 99,56,207,124,18,349,0,0,3,300,4,28,3,40,308,1,0,348,24,16,0,0,31,9,0,40,0,0,4,4,4,1,2,6,9,10,0,20 to 99,74,25,7,1,7,0,31,9,10,0,4,0,0,1,40,9,31,40,0,0,313,0,354,313,40,1,66,21,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,49366,670,873,3197,5704,5908,7133,8793,7669,5174,2657,1588,0 to 115,55,27494,21651,221,48787,577,2,921,46747,465,2999,220,4524,44513,227,102,48464,4309,129,80,6,2170,2263,5,4438,27,62,394,649,657,678,685,575,483,310,4,0 to 104,51,2113,822,542,961,1180,2201,1057,1087,27,826,17,11,275,4524,2311,2208,4436,86,2,44419,491,49851,44910,4524,275,709,446,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,6115,113,126,371,678,720,942,1113,1094,686,251,21,0 to 102,55,3487,2455,173,6014,101,0,261,5462,188,595,65,323,5722,6,64,5944,295,19,9,0,178,136,0,314,2,4,21,34,46,52,52,50,37,24,1,3 to 97,55,180,74,32,28,53,224,37,115,0,83,0,0,27,323,139,184,314,9,0,5704,92,6125,5796,323,27,73,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,9648,165,222,636,1154,1375,1612,1719,1479,886,380,20,0 to 119,52,5723,3893,32,9593,55,0,137,9207,223,417,93,316,9307,6,19,9568,263,43,9,1,159,147,0,306,6,7,25,36,62,63,44,46,15,12,0,1 to 94,49,201,36,40,29,63,209,34,81,4,64,3,1,9,316,153,163,306,10,0,9369,45,9738,9414,316,9,564,139,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,1225,27,44,97,168,196,229,199,172,66,25,2,0 to 98,49,771,443,11,1219,5,1,14,1073,46,207,12,223,1000,2,0,1218,212,7,4,0,165,54,0,219,2,4,11,43,54,45,26,21,11,6,0,0 to 98,44,62,97,8,52,13,140,66,38,0,36,0,0,1,223,54,169,218,4,1,1224,1,1451,1225,223,1,247,131,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,8712,133,184,933,1551,1397,1441,1452,1090,367,134,30,0 to 116,45,4186,4398,128,8585,126,1,105,8290,201,288,68,280,8415,3,14,8569,254,10,15,1,144,120,0,264,1,3,46,56,45,44,52,25,5,3,0,2 to 87,43,102,134,8,20,16,226,22,68,9,33,9,5,6,280,130,150,263,16,1,8427,110,8820,8537,280,6,470,188,43,2.42861632663576,0.170704044186268
