OBJECTID_1,OBJECTID,COUNTYNAME,CTY_KEY,STATE_KEY,SHAPE__Area,SHAPE__Length,Total_Tested,Total_Positive,Total_Deaths
1,36,DeKalb,18033,18,1674555397.3125,163996.674822937,0,3,0
2,37,Boone,18011,18,1873817705.66797,175234.811028346,0,38,0
3,50,Tippecanoe,18157,18,2248329970.14453,190391.672805675,0,26,1
4,60,Johnson,18081,18,1399947162.78516,150610.327788818,0,136,4
5,62,Elkhart,18039,18,2172529921.23828,186294.459051877,0,29,3
6,65,Adams,18001,18,1537534180.24219,162629.598491351,0,1,0
7,67,Noble,18113,18,1920903965.11328,179790.787851462,0,5,0
8,68,Madison,18095,18,2012349835.16406,189934.011053169,0,67,7
9,69,St Joseph,18141,18,2137442538.20703,207099.735901053,0,72,1
10,71,Jackson,18071,18,2198769901.77734,211828.761400048,0,25,0
11,79,Vander.,18163,18,983076789.054688,166933.210943125,0,33,0
12,87,Grant,18053,18,1860987961.53906,173075.579315986,0,12,0
13,91,Porter,18127,18,1934440080.23828,200023.613817587,0,45,0
14,92,Marion,18097,18,1768249775.07422,171237.191937699,0,1429,33
15,6,Hamilton,18057,18,1780750725.9375,169078.548949691,0,220,4
16,9,Lake,18089,18,2302324034.57422,214072.691337435,0,244,7
17,11,Morgan,18109,18,1782885715.08594,179297.236527791,0,52,1
18,12,Hendricks,18063,18,1794188472.64453,177654.635174014,0,138,1
19,13,LaPorte,18091,18,2797279284.62891,232713.976121251,0,17,1
20,17,Floyd,18043,18,629759236.671875,109077.748652482,0,37,0
21,18,Shelby,18145,18,1798330587.69531,172101.504938073,0,26,0
22,26,Allen,18003,18,3012535152.625,221440.737613888,0,58,2
23,32,Tipton,18159,18,1162498199.8125,139507.962054832,0,5,0
24,33,Rush,18139,18,1788779894.8125,170550.356177753,0,8,1
25,34,Orange,18117,18,1730437592.00391,166699.591881061,0,5,0
26,35,Crawford,18025,18,1308546884.53516,195184.717888079,0,3,0
27,38,Owen,18119,18,1676475314.70703,181531.744754882,0,13,0
28,39,Fountain,18045,18,1767668662.37891,182418.452456514,0,2,1
29,40,Decatur,18031,18,1615195765.64453,165078.233314804,0,70,4
30,41,Fulton,18049,18,1691016621.71484,193345.383394043,0,1,0
31,42,LaGrange,18087,18,1795733216.91016,172697.49520899,0,4,0
32,43,Knox,18083,18,2242705332.21094,272558.451560325,0,4,0
33,44,Monroe,18105,18,1780474684.10547,182902.272200002,0,40,0
34,45,Cass,18017,18,1874644538.13672,195024.714915408,0,2,0
35,46,Randolph,18135,18,2009991766.60547,179543.406920386,0,4,1
36,47,Martin,18101,18,1452639016.59766,167446.895541702,0,0,0
37,48,Washington,18175,18,2201208953.48828,195992.274068121,0,14,0
38,49,Parke,18121,18,1977654977.55859,194033.112486524,0,1,0
39,51,Kosciusko,18085,18,2538655332.38672,211350.331705194,0,8,0
40,52,Wayne,18177,18,1782543819.94531,175897.509748944,0,6,0
41,53,Montgomery,18107,18,2234566042.85156,189612.378685091,0,12,0
42,54,Hancock,18059,18,1347706587.32813,155136.03692075,0,41,2
