OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender
24,Marion,MARION,28289,1150654248.19434,152128.290799651,0,,,,,,,,,,,,,,,f1c92389-2adb-4ffb-886e-4d52c4991c45,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
25,Buchanan,BUCHANAN,85998,1074851030.37805,161287.603152585,8,,4,4,,,,,,,,,,,,46d1c9ca-3c74-4e31-86c1-268ab824ff62,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:46:30.269Z,mophep,,,,,,,,,,
26,Caldwell,CALDWELL,8969,1111991209.84412,134846.587083014,1,,,1,,,,,,,,,,,,02ea3e56-d6b0-4b44-8462-acf850ec519c,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:44:36.778Z,mophep,,,,,,,,,,
27,Clinton,CLINTON,18979,1096618946.37402,132334.798338683,8,,0,8,,,,,,,,,,0,,49c69376-4575-441d-9b28-0916ed56e747,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:48:00.267Z,mophep,,,,,,,,,,
28,Chariton,CHARITON,8438,1985128162.1825,232811.31004749,4,,0,4,,,,,,,,,,,,159b88da-a9c9-46f4-9ac8-b87cb3a93c37,2020-03-24T20:48:38.049Z,mophep,2020-03-31T18:41:19.722Z,mophep,,,,,,,,,,
29,Ralls,RALLS,9626,1251371924.15771,159363.675257247,1,,1,,,,,,,,,,,,,657e0eb2-7352-4ffa-a9f8-4ae3dbe98ca5,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
30,Monroe,MONROE,9311,1734313100.12061,172147.851354544,0,,,,,,,,,,,,,,,18a7f44f-f717-471c-8f26-0b972f8899a1,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
31,Carroll,CARROLL,10285,1815468589.2002,244814.324210419,0,,,,,,,,,,,,,,,2863daf9-4f5e-4a96-8d01-aef8f387461c,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
32,Pike,PIKE,18351,1780138268.08252,195251.902074169,2,,1,1,,,,,,,,,,,,b2e7b646-fcb8-41c9-9160-deb9ddfb980c,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:54:11.137Z,mophep,,,,,,,,,,
33,Randolph,RANDOLPH,24663,1262457788.96362,141305.24273246,4,,,4,,,,,,,,,,,,69bc7639-ad7f-4943-a46d-4d28d677b90a,2020-03-24T20:48:38.049Z,mophep,2020-04-03T19:00:53.455Z,mophep,,,,,,,,,,
34,Ray,RAY,23354,1486068035.16077,176426.842431227,2,,,2,,,,,,,,,,,,2007cb13-d3e4-47e7-b90a-9c372946d74e,2020-03-24T20:48:38.049Z,mophep,2020-04-03T19:01:35.042Z,mophep,,,,,,,,,,
35,Platte,PLATTE,73781,926000488.614136,220569.179808155,12,,0,12,,,,,,,,,,,,89cb56e8-d925-440d-9a9f-32f662c9896e,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:54:23.006Z,mophep,,,,,,,,,,
36,Clay,CLAY,184006,823316735.705933,218676.094357256,26,,3,23,,,,,,,,,,,,042cfe8c-1fed-4bc5-8c02-cb9f939fdbc0,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:47:34.176Z,mophep,,,,,,,,,,
37,Audrain,AUDRAIN,25853,1803495861.10938,215641.901277976,0,,,,,,,,,,,,,,,a7933392-083b-4c7b-8112-3c344f7a8407,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
