OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,54,3,1,8,6,10,6,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,45,0 to 89,NA,NA,0,0,29,25,0,54,0,0,5,49,0,0,0,0,0,0,0,0,54,0,54,0,0,1,2,0,0,0,0,0,0,0,54,0,54,54,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,415,12,7,36,60,60,62,75,50,38,15,0,0,0,2,0,2,5,1,4,1,0,49,0 to 97,52,22 to 82,15,0,240,153,22,414,1,0,95,308,12,10,1,4,13,0,2,1,410,15,394,1,5,52,20,88,15,8,7,15,0,0,394,1,415,395,15,1,23,22,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,42,0,0,2,4,8,8,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,51,19 to 81,NA,NA,0,0,23,19,0,42,0,0,5,36,1,0,0,0,0,0,0,0,42,0,42,0,0,6,0,0,0,0,0,0,0,0,42,0,42,42,0,0,3,3,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,454,20,18,28,83,72,71,81,48,28,4,1,1,0,2,10,5,8,8,9,10,1,45,0 to 93,54,3 to 87,51,0,265,171,18,449,4,1,73,341,40,33,2,19,44,2,8,1,412,54,358,0,42,54,17,67,54,26,28,50,3,1,357,1,454,358,54,1,206,130,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,22,0,1,2,2,3,1,3,5,4,1,0,0,0,0,0,0,0,0,1,0,1,55,14 to 88,80,73 to 88,2,0,12,10,0,22,0,0,1,18,3,0,0,2,0,0,2,0,22,2,20,0,0,2,2,0,2,1,1,2,0,0,20,0,22,20,2,0,7,6,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,4784,65,82,327,670,676,761,764,705,492,224,18,3,2,50,81,94,114,138,167,147,61,52,0 to 109,58,0 to 99,827,0,2693,2016,75,4731,51,2,286,4395,103,78,605,175,162,563,133,33,4688,858,3827,3,96,136,507,175,858,439,410,825,31,2,3808,19,4784,3827,858,33,646,534,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,840,22,26,56,108,119,125,131,130,87,36,0,0,0,3,5,6,6,14,16,7,3,50,0 to 98,58,18 to 95,58,0,466,326,48,836,4,0,73,736,31,26,5,29,37,5,18,3,819,60,759,0,21,68,8,34,60,29,31,58,2,0,757,2,840,759,60,3,72,67,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,1790,35,48,108,213,282,313,346,270,134,40,1,0,0,7,11,15,16,13,13,2,0,50,0 to 95,48,17 to 82,74,0,1109,676,5,1772,18,0,100,1634,56,30,23,24,55,6,16,2,1766,77,1688,1,24,82,56,61,77,39,38,74,3,0,1674,14,1790,1688,77,2,218,137,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,65,4,0,2,11,6,20,9,9,3,1,0,0,0,0,2,0,1,0,0,0,0,48,0 to 90,40,32 to 54,3,0,42,23,0,64,0,1,5,56,4,2,1,0,2,1,0,0,65,3,62,0,0,1,4,4,3,1,2,2,0,1,62,0,65,62,3,0,11,11,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,814,25,18,115,146,121,116,129,94,38,12,0,0,0,4,9,11,5,5,4,0,1,44,0 to 95,43,19 to 86,36,0,487,315,12,808,5,1,24,759,31,19,3,17,29,3,7,0,810,39,771,0,4,19,19,24,39,20,19,35,3,1,769,2,814,771,39,0,155,111,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,22,2,2,1,1,2,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,1 to 75,NA,NA,0,0,9,13,0,22,0,0,1,21,0,0,0,0,0,0,0,0,22,0,22,0,0,1,0,0,0,0,0,0,0,0,22,0,22,22,0,0,7,1,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,38,2,0,5,5,3,6,5,6,4,2,0,0,0,2,0,0,0,1,1,0,0,49,2 to 88,42,23 to 66,3,0,25,13,0,37,1,0,4,32,2,2,0,2,3,0,1,0,38,4,34,0,0,3,1,3,4,0,4,3,1,0,34,0,38,34,4,0,18,17,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,5 to 76,NA,NA,0,0,2,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,33,0,0,5,1,8,3,7,1,6,2,0,0,0,0,0,0,0,0,0,0,0,53,19 to 93,NA,NA,0,0,16,16,1,31,2,0,10,22,1,0,0,0,0,0,0,0,30,0,30,0,3,8,1,4,0,0,0,0,0,0,29,1,33,30,0,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,223,4,4,18,35,33,48,39,20,19,3,0,0,0,1,4,4,3,3,3,0,0,48,0 to 99,47,21 to 74,17,0,121,99,3,221,2,0,26,171,26,9,2,7,15,0,3,0,221,18,203,0,2,19,21,12,18,13,5,17,1,0,202,1,223,203,18,0,29,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,220,12,16,19,20,34,26,39,34,13,4,3,0,0,0,0,0,2,1,1,0,0,45,1 to 98,56,46 to 70,4,0,118,97,5,217,3,0,64,148,8,0,4,0,4,0,0,0,197,4,192,1,23,78,43,24,4,2,2,4,0,0,192,1,220,193,4,0,7,6,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,109,3,5,8,17,11,26,10,8,12,9,0,0,0,1,0,0,0,3,1,4,2,49,0 to 99,70,24 to 97,11,0,74,25,10,108,1,0,44,62,3,9,1,1,9,0,2,0,108,11,97,0,1,14,17,15,11,4,7,11,0,0,96,1,109,97,11,0,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,45,4,2,1,5,4,9,9,6,4,0,1,0,0,0,1,0,0,0,0,0,0,47,0 to 79,27,27 to 27,1,0,27,14,4,45,0,0,1,43,1,0,0,1,1,0,0,0,39,1,38,0,6,0,2,0,1,1,0,1,0,0,38,0,45,38,1,0,3,3,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,537,9,6,29,53,67,76,88,111,65,33,0,0,0,2,2,3,11,11,6,7,0,55,1 to 99,56,20 to 80,39,0,296,222,19,534,3,0,25,489,23,20,6,16,31,3,8,0,532,42,490,0,5,23,16,19,42,25,17,39,3,0,490,0,537,490,42,0,58,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,6858,212,165,647,1279,1211,1075,1007,737,364,158,3,3,9,63,87,81,87,68,38,21,6,45,0 to 119,44,0 to 93,451,0,4051,2767,40,6782,76,0,268,6437,153,143,194,126,309,84,70,5,6853,463,6389,1,5,250,181,184,463,232,229,451,12,0,6327,63,6858,6390,463,5,644,324,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,744,14,14,42,80,98,131,142,123,67,31,2,0,1,2,11,13,21,20,23,12,1,52,0 to 100,55,14 to 86,104,0,442,292,10,740,4,0,59,670,15,4,81,19,30,52,22,3,741,104,637,0,3,44,47,27,104,47,57,104,0,0,633,4,744,637,104,3,173,110,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,839,5,16,50,114,145,186,146,101,51,21,4,0,0,5,8,9,17,12,11,3,4,49,0 to 118,52,18 to 94,69,0,480,315,44,837,2,0,99,716,24,31,9,29,43,5,21,6,834,69,765,0,5,52,26,56,69,34,34,69,0,0,763,2,839,765,69,6,41,29,1667659896.51059,183856.484298748
