"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"San Benito","4/3/2020 17:17:53","23","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","311","23","256","23","","","","","","","11","","","","","","","","","SCNG","","",""
"San Bernardino","4/3/2020 17:51:55","353","13","http://wp.sbcounty.gov/dph/coronavirus/","","4003","","","","","","","","","","","","","","","","","","","","","",""
"San Diego","4/3/2020 17:40:29","1112","17","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","211","","85","","","","","","","","x",""
"San Francisco","4/3/2020 14:01:54","497","7","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","","","","","","","","","","","","58","","","","","","","","BANG","","",""
"San Joaquin","4/3/2020 17:40:49","185","11","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","4/3/2020 17:41:15","93","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","57","6","current","4","current","","","","","","","x",""
"San Mateo","4/3/2020 14:05:47","486","13","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Barbara","4/3/2020 17:42:31","152","1","https://publichealthsbc.org/","","1271","215","903","152","1","","","","","","35","26","current","17","current","","","","","","","x",""
"Santa Clara","4/3/2020 20:23:22","1094","38","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Cruz","4/3/2020 14:06:11","59","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Shasta","4/3/2020 17:42:50","11","2","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","402","11","","2","","1","","","","","","","","","","","","","","",""
