County,Cases,Deaths,Recovered,ReportDate
TULSA,2742,66,1619,2020-06-24
OKLAHOMA,2317,65,1668,2020-06-24
TEXAS,983,6,966,2020-06-24
CLEVELAND,735,40,526,2020-06-24
WASHINGTON,385,38,319,2020-06-24
COMANCHE,381,5,314,2020-06-24
MCCURTAIN,363,2,142,2020-06-24
PAYNE,294,1,104,2020-06-24
WAGONER,223,18,152,2020-06-24
CANADIAN,218,3,156,2020-06-24
CADDO,182,10,165,2020-06-24
OSAGE,155,8,110,2020-06-24
ROGERS,142,5,96,2020-06-24
MCCLAIN,133,4,113,2020-06-24
CREEK,128,7,102,2020-06-24
GRADY,124,5,113,2020-06-24
DELAWARE,119,16,93,2020-06-24
ADAIR,110,4,91,2020-06-24
CHOCTAW,108,1,100,2020-06-24
MUSKOGEE,102,9,64,2020-06-24
POTTAWATOMIE,89,4,64,2020-06-24
KAY,83,7,60,2020-06-24
BRYAN,75,1,50,2020-06-24
CARTER,75,1,57,2020-06-24
MAYES,71,4,46,2020-06-24
CHEROKEE,68,1,47,2020-06-24
GREER,66,7,57,2020-06-24
GARFIELD,62,2,48,2020-06-24
GARVIN,52,1,24,2020-06-24
PAWNEE,51,2,38,2020-06-24
PITTSBURG,51,3,40,2020-06-24
CUSTER,51,0,42,2020-06-24
OKMULGEE,50,0,32,2020-06-24
STEPHENS,50,1,46,2020-06-24
OTTAWA,43,2,37,2020-06-24
MCINTOSH,43,1,18,2020-06-24
LOGAN,35,1,22,2020-06-24
SEMINOLE,35,3,30,2020-06-24
JACKSON,33,3,26,2020-06-24
NOWATA,32,1,24,2020-06-24
NOBLE,31,0,12,2020-06-24
BEAVER,30,0,30,2020-06-24
PONTOTOC,29,2,19,2020-06-24
LE FLORE,29,1,17,2020-06-24
LINCOLN,28,2,22,2020-06-24
SEQUOYAH,28,3,18,2020-06-24
LOVE,27,0,23,2020-06-24
MARSHALL,25,0,16,2020-06-24
TILLMAN,23,1,22,2020-06-24
KINGFISHER,21,0,12,2020-06-24
CRAIG,18,0,17,2020-06-24
BLAINE,14,0,11,2020-06-24
MURRAY,14,0,12,2020-06-24
ATOKA,14,0,7,2020-06-24
WOODWARD,12,0,9,2020-06-24
OKFUSKEE,11,0,6,2020-06-24
BECKHAM,11,0,7,2020-06-24
JOHNSTON,10,0,6,2020-06-24
MAJOR,8,1,5,2020-06-24
PUSHMATAHA,8,0,6,2020-06-24
LATIMER,7,1,5,2020-06-24
HASKELL,7,0,6,2020-06-24
HUGHES,6,0,3,2020-06-24
COAL,6,0,4,2020-06-24
KIOWA,6,1,5,2020-06-24
COTTON,5,2,3,2020-06-24
WOODS,5,0,5,2020-06-24
JEFFERSON,4,0,4,2020-06-24
DEWEY,4,0,4,2020-06-24
WASHITA,3,0,2,2020-06-24
GRANT,2,0,2,2020-06-24
ELLIS,1,0,0,2020-06-24
HARPER,1,0,1,2020-06-24
,1,0,0,2020-06-24
CIMARRON,1,0,1,2020-06-24
ALFALFA,1,0,1,2020-06-24
