ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,762,15,16,84,102,108,116,118,98,69,36,0,0 to 118,50,430,321,11,762,0,0,10,672,2,98,2,88,674,0,0,762,70,18,0,0,20,68,0,88,2,4,12,17,18,16,15,3,1,0,0,0 to 79,39,59,10,15,4,24,59,5,4,0,0,0,0,0,88,68,20,88,0,0,2086,0,2177,2086,88,0,137,120,39,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3496,72,122,332,498,432,548,593,429,298,161,11,0 to 118,50,2193,1262,41,3488,8,0,87,3166,133,318,22,261,3232,1,2,3485,156,105,0,0,150,111,0,261,4,29,40,35,35,38,32,24,17,7,0,2 to 98,40,125,116,11,9,16,232,13,46,0,29,0,0,6,261,111,150,261,0,0,5223,8,5493,5231,261,6,186,117,40,40,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,895,33,19,78,133,114,113,163,142,73,23,4,0 to 118,51,493,371,31,887,8,0,17,763,3,147,28,70,824,1,0,886,58,11,1,0,23,46,0,69,0,1,13,23,13,3,8,3,6,0,0,6 to 84,32,44,4,18,3,26,40,3,17,0,6,0,0,0,70,46,24,69,1,0,1293,7,1372,1300,70,0,172,70,32,32,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7094,162,150,558,1039,1011,928,1083,820,732,571,40,0 to 119,51,4297,2757,40,6950,143,1,161,6444,137,416,76,457,6636,0,1,6950,338,108,6,5,221,225,0,446,6,19,53,95,76,61,65,41,26,15,0,0 to 96,42,336,45,43,22,141,285,20,96,2,57,1,0,6,457,233,224,445,11,1,11103,132,11700,11235,457,6,975,544,43,42,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,540,5,4,43,49,79,75,93,83,71,37,1,0 to 99,56,321,201,18,540,0,0,4,442,4,56,5,70,470,0,0,540,54,16,0,0,52,18,0,70,0,0,6,6,5,2,4,7,20,20,0,20 to 99,78,52,10,0,8,1,56,13,11,0,7,0,0,6,70,18,52,70,0,0,692,0,764,692,70,6,116,54,78,78,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,70918,1053,1603,5257,8588,8543,10002,12048,10732,7525,3957,1610,0 to 119,54,38863,31759,296,70142,774,2,2458,63371,465,8239,360,11536,59037,191,154,69802,11255,147,128,6,5672,5699,31,11402,166,403,1498,1992,1843,1753,1511,993,785,578,14,0 to 104,43,4796,2006,1882,2718,3958,4624,2820,2195,35,1623,23,13,482,11536,5776,5729,11400,134,2,114472,637,126881,115109,11536,482,3446,3181,44,43,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10518,179,216,726,1284,1302,1614,1836,1697,1091,542,31,0 to 119,54,6033,4272,213,10372,146,0,427,9076,188,1298,74,1333,9096,5,84,10283,1247,75,11,0,693,625,4,1322,26,42,158,235,197,228,189,127,76,55,0,0 to 99,45,457,223,117,525,221,502,599,216,1,153,2,0,43,1333,630,699,1322,11,0,18670,135,20145,18805,1333,43,527,512,46,45,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,14212,274,337,1106,1717,1925,2248,2494,2184,1327,572,28,0 to 119,52,8277,5890,45,14136,76,0,280,13109,223,928,114,1084,13095,2,31,14103,1019,54,10,1,556,517,0,1073,19,28,183,191,186,178,130,107,41,21,0,0 to 94,41,601,104,124,244,211,587,275,179,4,111,3,1,17,1084,523,561,1073,11,0,28201,65,29362,28266,1084,17,1630,1078,43,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2937,49,94,212,490,502,517,465,384,141,81,2,0 to 119,47,2037,888,12,2919,17,1,40,2663,46,339,15,332,2602,1,2,2917,319,9,4,0,235,93,0,328,3,9,22,68,75,65,37,28,15,10,0,0 to 98,43,132,141,15,40,39,235,54,67,0,58,0,0,6,332,93,239,327,4,1,5121,13,5472,5134,332,6,410,216,43,43,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13042,190,308,1617,2132,1908,1987,2116,1735,676,342,31,0 to 119,46,6766,6144,132,12805,236,1,194,12170,201,656,92,614,12380,3,45,12760,572,10,31,1,307,275,0,582,3,21,225,106,70,68,69,37,11,4,0,0 to 91,28,205,287,21,69,41,460,81,97,11,44,9,7,8,614,291,323,581,32,1,22974,202,23795,23176,614,8,806,387,30,28,2.42861632663576,0.170704044186268
