ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,742,12,12,81,101,106,111,116,98,69,36,0,0 to 118,50,419,311,12,742,0,0,9,672,2,94,2,75,667,0,0,742,74,1,0,0,14,61,0,75,1,0,11,16,17,13,13,3,1,0,0,1 to 79,39,48,10,12,5,14,57,4,3,0,0,0,0,0,75,61,14,75,0,0,2015,0,2091,2015,75,0,119,102,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3457,70,115,324,495,428,543,587,425,298,161,11,0 to 118,50,2177,1238,42,3449,8,0,75,3140,133,283,22,221,3233,1,2,3446,137,84,0,0,133,88,0,221,2,22,32,31,31,33,26,20,17,7,0,2 to 98,41,108,93,9,11,10,196,15,43,0,25,0,0,6,221,88,133,221,0,0,4859,8,5089,4867,221,6,183,114,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,885,33,19,77,133,112,112,160,141,71,23,4,0 to 118,50,487,367,31,877,8,0,16,761,3,136,28,63,820,1,1,875,51,11,1,0,19,43,0,62,0,1,12,23,11,2,7,3,4,0,0,6 to 84,31,41,3,16,2,25,35,2,14,0,6,0,0,0,63,43,20,62,1,0,1251,7,1323,1258,63,0,147,45,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7025,162,149,539,1022,997,918,1076,813,731,571,47,0 to 119,51,4266,2717,42,6884,140,1,149,6418,137,382,72,398,6627,0,0,6885,292,98,4,4,197,192,1,390,6,18,35,77,63,54,60,38,25,15,7,0 to 96,44,307,43,26,14,115,260,15,91,2,55,1,0,6,398,197,200,389,8,1,10645,132,11183,10777,398,6,905,477,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,535,5,4,43,49,78,75,90,83,71,36,1,0 to 99,56,318,199,18,535,0,0,4,443,4,54,3,68,467,0,0,535,52,16,0,0,51,17,0,68,0,0,6,6,4,2,3,7,20,20,0,20 to 99,78,49,10,0,9,1,53,14,11,0,6,0,0,6,68,17,51,68,0,0,669,0,739,669,68,6,103,41,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,69811,1029,1564,5056,8395,8366,9824,11918,10650,7483,3918,1608,0 to 119,54,38295,31222,294,69042,767,2,2308,62827,465,7639,353,10506,58951,195,159,68693,10237,143,120,6,5149,5204,27,10380,146,369,1311,1797,1669,1594,1402,919,747,538,14,0 to 104,44,4385,1833,1726,2436,3588,4245,2547,2091,33,1551,22,13,468,10506,5276,5203,10378,126,2,107999,638,119380,108637,10506,468,2973,2708,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10340,178,208,694,1252,1270,1581,1809,1690,1087,539,32,0 to 119,54,5941,4187,212,10193,147,0,422,8956,188,1235,74,1169,9083,5,83,10105,1083,75,11,0,613,543,2,1158,25,35,127,208,165,200,163,120,74,52,0,0 to 97,46,407,207,97,447,187,468,503,212,1,151,2,0,41,1169,548,619,1158,11,0,17801,136,19112,17937,1169,41,453,438,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13832,266,327,1026,1633,1865,2185,2458,2161,1313,570,28,0 to 119,53,8080,5709,43,13756,76,0,243,12913,223,768,110,750,13059,2,21,13733,691,48,10,1,388,351,0,739,13,19,111,117,131,123,102,86,28,20,0,0 to 94,43,448,91,95,105,159,458,122,149,4,101,3,1,17,750,357,393,739,11,0,26231,65,27058,26296,750,17,1234,682,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2928,50,94,211,490,500,512,465,383,140,81,2,0 to 119,47,2031,884,13,2909,18,1,35,2662,46,324,16,322,2604,1,1,2908,308,9,5,0,229,88,0,317,3,9,20,66,74,62,37,27,14,10,0,0 to 98,43,130,133,15,39,39,225,53,64,1,57,0,0,6,322,88,234,316,5,1,5048,13,5389,5061,322,6,402,208,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12953,188,304,1553,2120,1904,1988,2112,1735,676,342,31,0 to 119,47,6711,6110,132,12718,234,1,179,12154,201,576,89,557,12366,3,27,12689,515,10,31,1,276,249,0,525,3,18,183,99,67,68,67,37,11,4,0,0 to 91,31,169,267,15,74,26,415,84,90,11,44,9,7,8,557,265,292,524,32,1,22062,202,22826,22264,557,8,753,334,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,568,12,13,22,44,76,80,117,121,65,17,1,0 to 101,58,339,224,5,563,5,0,7,488,41,78,7,36,532,0,0,563,13,21,2,0,20,14,0,34,1,1,2,3,3,4,7,7,4,4,0,1 to 95,58,10,17,7,0,5,28,1,7,2,9,0,0,4,36,16,20,34,2,0,949,3,989,952,36,4,68,30,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1070,46,37,89,117,135,145,159,179,107,49,7,0 to 99,52,683,381,6,1047,23,0,26,895,53,257,15,109,958,1,2,1044,59,46,4,0,64,41,0,105,5,2,11,7,17,14,25,12,5,11,0,0 to 98,53,30,60,9,6,7,83,15,23,0,4,0,1,3,109,42,67,105,4,0,1535,19,1665,1554,109,3,237,134,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,54,54,36,5,0,0,0,20 to 73,41,115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2077,0,2299,2077,220,1,39,14,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1977,14,23,158,533,409,318,239,168,69,42,4,0 to 118,41,433,1516,28,1971,6,0,32,1863,9,289,5,287,1689,0,1,1970,276,8,2,1,39,245,0,284,3,6,28,83,58,53,42,11,3,0,0,0 to 84,39,129,124,28,3,46,92,146,26,1,8,0,0,2,287,247,40,284,3,0,2163,3,2455,2166,287,2,15,13,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3264,37,31,217,403,435,546,622,443,289,186,55,0 to 119,53,1823,1387,54,3228,36,0,81,3077,28,207,50,188,3043,0,33,3201,147,31,9,1,82,96,0,178,3,1,24,41,28,41,23,13,13,1,0,2 to 93,44,139,18,11,10,57,107,14,55,3,23,2,1,4,188,100,88,178,10,0,6099,20,6312,6119,188,4,62,54,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3432,88,104,239,411,426,447,670,551,287,200,9,0 to 119,54,1934,1398,100,3416,16,0,201,3073,63,304,16,219,3210,0,3,3413,185,31,3,0,104,112,0,216,7,14,24,47,31,35,34,17,6,4,0,0 to 97,40,95,89,19,13,22,176,18,8,0,17,0,0,3,219,115,104,216,3,0,4958,13,5195,4971,219,3,26,24,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,893,30,16,97,132,123,145,147,103,66,32,2,0 to 99,48,494,346,53,833,60,0,25,839,16,72,3,39,854,0,0,833,17,22,0,0,22,17,0,39,0,2,5,4,6,3,5,6,5,3,0,10 to 97,53,27,10,2,0,1,37,1,10,0,12,0,0,4,39,17,22,39,0,0,1377,60,1476,1437,39,4,26,25,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,795,12,13,58,95,96,133,151,152,63,21,1,0 to 119,54,442,338,15,785,10,0,5,742,5,56,5,47,748,0,0,785,31,15,0,1,18,28,0,46,1,0,2,10,12,12,4,5,1,0,0,1 to 79,43,36,4,1,5,2,38,6,7,0,4,0,0,0,47,28,19,46,1,0,1111,9,1168,1120,47,0,59,53,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7521,146,174,544,761,864,970,1354,1351,948,387,22,0 to 100,57,3693,3362,466,7427,94,0,318,6446,82,1105,75,1460,6042,1,18,7409,1433,13,14,0,652,786,8,1446,52,79,222,260,268,248,162,72,57,38,2,0 to 99,38,490,62,526,368,825,335,286,233,2,143,1,1,20,1460,795,657,1446,14,0,12614,78,14160,12692,1460,20,112,101,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,54882,1259,1511,4723,8367,7952,8491,9265,7393,3976,1824,121,0 to 119,49,31438,23187,257,54468,414,0,756,52152,458,2491,312,5319,49469,23,71,54375,5123,129,64,3,2810,2436,6,5252,98,183,835,1220,830,730,593,395,249,171,15,0 to 104,38,1774,988,852,1638,1198,2126,1928,830,11,572,8,3,114,5319,2465,2848,5252,67,0,90218,346,95958,90564,5319,114,1675,1327,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,15967,268,339,936,1508,1663,2077,2992,3287,2043,751,103,0 to 119,58,9097,6559,311,15717,250,0,732,14472,177,1462,46,1786,14176,4,1,15712,1713,59,14,0,944,819,9,1772,33,73,193,277,276,259,243,181,157,94,0,0 to 101,46,1079,228,166,299,582,836,354,177,2,246,2,2,126,1786,825,952,1772,14,0,29192,236,31226,29428,1786,126,320,222,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8268,119,203,625,955,1144,1350,1481,1303,761,306,21,0 to 101,53,4778,3381,109,8247,21,0,117,7770,130,518,48,481,7786,1,0,8246,417,61,3,0,281,197,0,478,0,7,40,54,60,72,82,78,55,33,0,6 to 100,56,263,95,46,74,44,347,87,130,0,96,0,0,32,481,198,283,478,3,0,13953,18,14456,13971,481,32,291,258,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,1024,26,61,137,183,131,128,143,125,64,26,0,0 to 94,43,567,440,17,1017,7,0,43,637,2,306,6,272,752,0,0,1017,252,15,5,0,127,140,0,267,6,23,44,58,43,31,25,26,11,5,0,0 to 88,35,177,50,27,13,169,84,14,47,3,31,3,1,1,272,143,129,267,5,0,1553,2,1827,1555,272,1,453,354,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,14656,163,205,919,1646,1675,2122,2533,2776,1839,752,26,0 to 168,57,8999,5599,58,14629,27,0,4289,9861,177,3230,145,389,13760,0,507,14123,361,23,4,1,217,166,1,384,7,10,45,64,63,60,68,40,24,8,0,0 to 97,46,270,81,20,13,71,298,15,72,3,48,0,0,10,389,167,221,384,5,0,19715,21,20132,19736,389,10,492,327,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,20474,171,300,1106,2080,2210,2939,4240,3955,2162,1026,285,0 to 119,58,11458,8308,708,20378,96,0,312,19352,230,1022,141,1168,19306,0,0,20378,1008,146,13,1,588,566,0,1154,5,26,154,179,144,175,188,158,78,61,0,0 to 102,49,623,245,179,107,146,843,165,266,5,186,4,0,53,1168,572,596,1154,14,0,30881,82,32145,30963,1168,53,1102,487,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,806,21,27,65,88,133,106,137,120,68,40,1,0 to 118,52,476,312,18,806,0,0,11,696,6,76,1,61,745,0,0,806,45,16,0,0,29,32,0,61,0,3,12,2,11,11,11,3,5,3,0,6 to 91,48,45,14,1,1,1,58,2,13,0,10,0,0,3,61,32,29,61,0,0,1191,0,1252,1191,61,3,120,65,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,15363,212,244,827,1420,1500,1903,2492,2832,2013,664,1256,0 to 103,58,8028,6262,1073,15227,136,0,170,14672,222,608,95,671,14683,0,9,15219,640,16,15,0,286,370,0,656,4,17,91,120,96,106,91,70,61,15,0,0 to 103,45,347,100,139,70,141,416,99,149,12,91,5,1,19,671,379,292,656,15,0,26141,120,26944,26261,671,19,626,334,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1725,26,27,163,224,189,230,335,264,187,79,1,0 to 118,55,1002,706,17,1724,1,0,23,1469,16,302,3,137,1588,0,0,1724,134,3,0,0,45,92,0,137,1,1,28,35,26,12,19,8,4,3,0,3 to 99,36,43,8,81,5,83,49,5,12,0,8,0,0,1,137,92,45,137,0,0,2643,1,2783,2644,137,1,223,173,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,3851,28,27,90,173,182,297,512,1427,897,132,86,0 to 119,69,1889,1760,202,3776,75,0,115,3480,164,283,57,282,3546,0,23,3753,232,48,1,1,85,195,0,280,1,2,7,8,34,42,41,93,45,9,0,4 to 92,65,232,34,7,7,19,251,10,60,0,46,0,0,17,282,197,85,280,2,0,5875,73,6235,5948,282,17,68,56,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,17132,217,387,1508,2177,2279,2646,2855,2501,1183,507,872,0 to 119,50,9739,7265,128,17091,41,0,306,16244,246,692,99,1189,15933,1,9,17082,1125,54,10,0,631,548,0,1179,16,19,328,237,157,166,104,89,45,28,0,0 to 100,34,814,136,104,125,323,640,216,238,5,134,1,0,14,1189,552,637,1179,10,0,27468,30,28699,27498,1189,14,732,489,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,63948,1107,1440,5235,9276,9434,10136,10350,7427,3512,1343,4688,0 to 120,48,35187,28382,379,62868,1079,1,761,61538,585,2051,413,4569,59328,0,51,62818,4345,103,117,4,2073,2310,65,4448,62,106,935,1103,755,696,517,241,107,43,4,0 to 101,35,1389,713,1002,1344,1136,1402,1910,763,45,392,37,5,48,4569,2380,2123,4447,121,1,100419,958,106009,101377,4569,48,1143,919,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,3950,38,69,185,365,353,462,733,911,627,198,9,0 to 222,61,2201,1550,199,3943,7,0,63,3591,119,265,26,183,3765,1,1,3942,111,72,0,0,93,90,0,183,2,4,18,15,12,29,46,26,20,11,0,0 to 97,58,133,9,9,32,17,135,31,32,0,34,0,0,12,183,90,93,183,0,0,8000,6,8192,8006,183,12,692,237,58,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,3815,65,60,288,491,453,559,694,560,404,237,4,0 to 102,54,2313,1481,21,3795,20,0,77,3557,66,191,43,171,3644,0,0,3795,113,52,5,1,80,85,0,165,1,7,16,34,23,27,30,20,10,3,0,1 to 90,46,121,20,7,17,32,112,21,49,2,29,2,1,5,171,87,84,165,6,0,8070,14,8256,8084,171,5,292,241,49,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,38410,369,515,2386,4652,4420,5526,7361,6761,4099,2227,94,0 to 120,56,22326,15977,107,38077,333,0,2110,34452,411,4305,381,3438,34915,1,56,38020,3237,141,53,7,1939,1426,13,3378,38,128,458,739,459,449,408,320,228,199,12,0 to 102,42,1554,822,171,831,271,2141,966,606,19,520,17,1,114,3438,1461,1964,3378,60,0,69737,273,73468,70010,3438,114,527,435,56,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2185,60,51,169,279,253,258,353,303,237,212,10,0 to 118,55,1392,711,82,2180,5,0,63,1888,110,554,15,252,1933,0,0,2180,136,111,2,3,156,91,0,247,5,11,26,29,38,35,30,25,31,22,0,0 to 102,50,148,47,23,29,59,160,28,45,1,44,0,0,18,252,93,159,247,5,0,2745,0,2999,2745,252,18,63,59,63,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,48787,785,1022,4383,7767,7114,7495,8743,6433,3287,1643,114,-6 to 119,49,26938,21102,747,48177,610,0,685,46305,454,2127,210,2695,46047,11,34,48132,2403,209,73,10,1370,1241,1,2612,41,70,404,574,460,363,367,234,116,65,1,0 to 101,40,1021,753,379,459,435,1673,504,443,21,318,11,3,60,2695,1285,1407,2612,83,0,75197,527,78465,75724,2695,60,1660,1543,50,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,349,6,0,43,42,39,35,37,47,55,44,1,0 to 119,58,224,118,7,349,0,0,12,329,0,19,1,18,331,0,0,349,13,5,0,0,8,10,0,18,1,0,3,4,1,3,2,2,0,2,0,3 to 98,40,17,1,0,0,4,14,0,3,0,2,0,0,0,18,10,8,18,0,0,429,0,448,429,18,0,15,15,47,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,613,11,14,36,57,64,102,123,122,65,19,0,0 to 94,56,361,249,3,557,56,0,17,582,1,53,12,11,602,0,0,557,9,0,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,9 to 70,48,7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1207,54,1272,1261,11,0,23,20,42,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1168,11,17,54,76,108,139,400,277,72,14,0,0 to 118,59,316,845,7,1168,0,0,16,1125,4,75,4,40,1128,0,0,1168,37,3,0,0,6,34,0,40,0,0,0,5,1,3,18,11,2,0,0,25 to 80,62,25,12,2,1,1,38,1,9,0,9,0,0,2,40,34,6,40,0,0,2041,0,2081,2041,40,2,29,27,55,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1477,20,26,118,188,169,222,290,189,146,103,6,0 to 118,54,925,527,25,1475,2,0,30,1394,34,155,2,61,1415,0,1,1474,21,40,0,0,46,15,0,61,0,2,5,4,9,7,5,6,12,11,0,8 to 107,62,50,9,1,1,2,58,1,7,0,12,0,0,2,61,15,46,61,0,0,2116,2,2180,2118,61,2,150,118,74,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,1255,13,29,87,138,168,215,245,213,107,39,1,0 to 102,53,709,535,11,1251,4,0,12,1190,13,194,4,38,1217,0,0,1251,20,16,2,0,24,12,0,36,0,0,5,6,5,11,6,3,1,1,0,18 to 86,46,20,13,3,0,1,35,0,7,0,5,0,0,1,38,12,26,36,2,0,1791,2,1831,1793,38,1,101,26,43,2.72889764150517,0.147928217310253
