ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,762,15,16,84,102,108,116,118,98,69,36,0,0 to 118,50,430,321,11,762,0,0,11,671,2,100,2,88,674,0,0,762,70,18,0,0,20,68,0,88,2,4,12,17,18,16,15,3,1,0,0,0 to 79,39,61,10,15,2,25,59,4,4,0,0,0,0,0,88,68,20,88,0,0,2118,0,2209,2118,88,0,141,124,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3504,72,122,333,500,433,549,595,430,298,161,11,0 to 118,50,2197,1267,40,3496,8,0,87,3174,133,320,22,271,3230,1,2,3493,165,106,0,0,154,117,0,271,4,29,41,38,37,39,34,25,17,7,0,2 to 98,40,127,119,11,14,17,236,18,46,0,29,0,0,6,271,117,154,271,0,0,5709,8,5989,5717,271,6,187,118,40,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,897,33,20,78,134,114,112,164,142,73,23,4,0 to 118,50,495,371,31,889,8,0,17,762,3,149,28,70,826,1,0,888,58,11,1,0,23,46,0,69,0,2,13,23,13,2,8,3,6,0,0,6 to 84,32,44,4,18,3,26,40,3,17,0,6,0,0,0,70,46,24,69,1,0,1302,7,1381,1309,70,0,179,77,32,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7138,162,153,569,1048,1020,934,1086,823,732,571,40,0 to 119,51,4320,2778,40,6994,143,1,167,6471,137,437,77,500,6637,0,1,6994,381,108,6,5,244,245,0,489,6,21,64,105,85,68,67,43,26,15,0,0 to 96,40,362,45,46,36,144,308,37,97,2,58,1,0,6,500,253,247,488,11,1,11502,132,12142,11634,500,6,999,568,43,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,540,5,4,43,49,79,75,93,83,71,37,1,0 to 99,56,321,201,18,540,0,0,4,442,4,56,5,70,470,0,0,540,54,16,0,0,52,18,0,70,0,0,6,6,5,2,4,7,20,20,0,20 to 99,78,52,10,0,8,1,56,13,11,0,7,0,0,6,70,18,52,70,0,0,701,0,773,701,70,6,116,54,78,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,71302,1064,1624,5317,8639,8601,10057,12094,10762,7553,3981,1610,0 to 119,54,39061,31949,292,70524,776,2,2492,63547,465,8438,362,11840,59113,191,158,70180,11556,148,130,6,5826,5851,27,11704,175,416,1545,2036,1892,1795,1547,1015,804,602,13,0 to 104,43,4928,2036,1926,2814,4061,4724,2919,2224,37,1647,23,13,486,11840,5930,5883,11702,136,2,117217,637,129929,117854,11840,486,3591,3326,44,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10588,180,217,735,1295,1317,1632,1846,1698,1093,543,32,0 to 119,54,6073,4303,212,10441,147,0,438,9111,188,1329,74,1384,9113,5,86,10350,1297,75,12,0,716,652,4,1372,26,43,165,244,209,238,197,128,77,56,1,0 to 99,45,477,237,118,540,232,523,617,219,1,154,2,0,45,1384,657,723,1372,12,0,19193,135,20719,19328,1384,45,569,554,46,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,14331,275,340,1131,1739,1942,2265,2509,2191,1332,574,33,0 to 119,52,8341,5943,47,14255,76,0,305,13119,223,1006,115,1170,13121,2,38,14215,1106,53,10,1,608,550,1,1159,20,29,202,211,197,188,140,114,45,22,2,0 to 96,41,673,108,133,245,232,646,281,190,4,112,3,1,17,1170,556,613,1159,11,0,29323,65,30570,29388,1170,17,1777,1225,43,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2946,50,95,215,492,502,517,466,385,141,81,2,0 to 119,47,2040,893,13,2928,17,1,40,2667,46,346,15,337,2606,1,2,2926,324,9,4,0,237,95,1,333,3,9,23,70,75,65,38,29,15,10,0,0 to 98,43,134,145,17,37,41,240,52,68,0,57,0,0,6,337,95,241,332,4,1,5140,13,5496,5153,337,6,410,216,43,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13107,190,311,1666,2139,1910,1989,2117,1736,676,342,31,0 to 119,46,6795,6170,142,12872,234,1,200,12219,201,676,95,642,12385,3,77,12793,600,10,31,1,321,289,0,610,3,24,245,109,70,69,69,38,11,4,0,0 to 91,27,210,289,22,89,42,467,101,101,11,45,9,7,8,642,305,337,609,32,1,23345,202,24194,23547,642,8,811,392,30,2.42861632663576,0.170704044186268
