County,Cases,Deaths,Recovered,ReportDate
TULSA,2949,66,1759,2020-06-25
OKLAHOMA,2410,68,1733,2020-06-25
TEXAS,984,6,968,2020-06-25
CLEVELAND,763,40,541,2020-06-25
WASHINGTON,388,38,322,2020-06-25
MCCURTAIN,385,2,150,2020-06-25
COMANCHE,383,5,333,2020-06-25
PAYNE,300,1,134,2020-06-25
CANADIAN,227,3,164,2020-06-25
WAGONER,226,18,159,2020-06-25
CADDO,182,10,166,2020-06-25
OSAGE,154,8,115,2020-06-25
ROGERS,145,5,99,2020-06-25
MCCLAIN,139,4,115,2020-06-25
CREEK,129,7,106,2020-06-25
GRADY,126,5,112,2020-06-25
DELAWARE,121,16,96,2020-06-25
ADAIR,111,4,92,2020-06-25
CHOCTAW,108,1,100,2020-06-25
MUSKOGEE,102,9,69,2020-06-25
POTTAWATOMIE,91,4,66,2020-06-25
KAY,83,7,60,2020-06-25
CARTER,80,1,59,2020-06-25
BRYAN,78,1,53,2020-06-25
MAYES,73,4,51,2020-06-25
CHEROKEE,70,1,52,2020-06-25
GREER,66,7,57,2020-06-25
GARFIELD,64,2,49,2020-06-25
GARVIN,54,1,26,2020-06-25
CUSTER,52,0,42,2020-06-25
PITTSBURG,52,3,43,2020-06-25
STEPHENS,52,1,46,2020-06-25
OKMULGEE,51,0,34,2020-06-25
PAWNEE,51,2,40,2020-06-25
MCINTOSH,48,1,20,2020-06-25
OTTAWA,44,2,38,2020-06-25
LOGAN,37,1,22,2020-06-25
SEMINOLE,36,3,30,2020-06-25
JACKSON,34,3,26,2020-06-25
NOBLE,34,0,13,2020-06-25
PONTOTOC,33,2,18,2020-06-25
NOWATA,32,1,24,2020-06-25
BEAVER,30,0,30,2020-06-25
LE FLORE,29,1,18,2020-06-25
LINCOLN,29,2,22,2020-06-25
SEQUOYAH,28,3,18,2020-06-25
LOVE,27,0,26,2020-06-25
MARSHALL,25,0,17,2020-06-25
KINGFISHER,24,0,14,2020-06-25
TILLMAN,23,1,22,2020-06-25
CRAIG,19,0,17,2020-06-25
MURRAY,15,0,12,2020-06-25
ATOKA,14,0,9,2020-06-25
BLAINE,14,0,11,2020-06-25
BECKHAM,12,0,8,2020-06-25
WOODWARD,12,0,10,2020-06-25
OKFUSKEE,11,0,6,2020-06-25
PUSHMATAHA,10,0,6,2020-06-25
JOHNSTON,10,0,6,2020-06-25
MAJOR,8,1,5,2020-06-25
LATIMER,7,1,6,2020-06-25
HASKELL,7,0,6,2020-06-25
HUGHES,6,0,3,2020-06-25
KIOWA,6,1,5,2020-06-25
COAL,6,0,5,2020-06-25
COTTON,5,2,3,2020-06-25
WOODS,5,0,5,2020-06-25
JEFFERSON,5,0,4,2020-06-25
DEWEY,4,0,4,2020-06-25
WASHITA,3,0,2,2020-06-25
GRANT,2,0,2,2020-06-25
ELLIS,1,0,0,2020-06-25
ALFALFA,1,0,1,2020-06-25
,1,0,0,2020-06-25
CIMARRON,1,0,1,2020-06-25
HARPER,1,0,1,2020-06-25
