ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
11,Sullivan,SULLIVAN,6221,1686257031.65051,164531.067550778,108,0,,,,,,,,,,,,,,d162e0d9-83c3-4f98-9206-258085980877,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:15.846+00,mophep,,,,,,,,,,,
12,Adair,ADAIR,25339,1473830723.49438,155201.837083418,88,0,,11,1622,1441,1453,1526,1043,200,215,3745,690,1182,10,952ffff8-7077-40a5-be5c-7173cdd1dca1,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.018+00,mophep,1467,1518,1321,1486,1402,856,1846,8605,10144,119,
13,Knox,KNOX,3947,1311676584.00513,145916.428736743,2,0,,,,,,,,,,,,,,cbe8788e-7cf6-4350-8c8b-00c87404924b,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.176+00,mophep,,,,,,,,,,,
14,Holt,HOLT,4404,1218820695.45142,206740.910086255,1,0,,,,,,,,,,,,,,e0aac74d-1511-41ff-bde5-3f920bc49101,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.378+00,mophep,,,,,,,,,,,
15,Grundy,GRUNDY,9914,1133628347.99951,135425.293892533,18,0,,,,,,,,,,,,,,812518d0-97ab-4c2b-81aa-8a90e2c125fe,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.550+00,mophep,,,,,,,,,,,
16,Lewis,LEWIS,9855,1322348462.99756,153405.951959391,7,1,,,,,,,,,,,,,,925342b7-bc64-4855-b740-6bd677dd54af,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.706+00,mophep,,,,,,,,,,,
17,Andrew,ANDREW,17607,1130411881.98389,163184.581049783,45,0,,,,,,,,,,,,,,57d765c4-8729-4c99-bbb5-61fc33052260,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:16.862+00,mophep,,,,,,,,,,,
18,Daviess,DAVIESS,8313,1473431309.66724,155428.740143233,7,0,,,,,,,,,,,,,,76bfce3d-3d4f-418d-8f96-49e82a0fd9b8,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.083+00,mophep,,,,,,,,,,,
19,DeKalb,DEKALB,12630,1102087097.67676,132781.321428924,10,0,,1,,,,,,,,,,,,bdbae6bb-5536-47dc-8339-a0eee6786f0b,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.237+00,mophep,,,,,,,,,,,
20,Macon,MACON,15153,2102739104.73291,191080.826408323,7,0,,2,,,,,,,,,,,,f49a49af-30a4-4af9-a19f-2fb5ea268ec2,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.456+00,mophep,,,,,,,,,,,
