ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
101,Christian,CHRISTIAN,86983,1458941049.46204,187200.155542567,38,0,4,13,,,,,,,,,,,,f20f5740-3ff6-4f1e-9528-93ac80a05955,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.990+00,mophep,,,,,,,,,,,
102,Douglas,DOUGLAS,13373,2108928172.95129,203119.13311519,3,0,,,,,,,,,,,,,,66e52c8c-6387-4191-a429-a5f6cfff326c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:33.206+00,mophep,,,,,,,,,,,
103,Newton,NEWTON,51152,1604801038.03711,204856.266842885,312,2,3,3,,,,,,,,,,,,63d9afda-7bc3-4abd-b4ac-c0dd66f251d9,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:33.364+00,mophep,,,,,,,,,,,
104,Howell,HOWELL,40076,2402683146.8772,204857.880407299,36,0,,4,,,,,,,,,,,,302046d5-2b3d-46ee-81a3-c1ba0110781b,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:33.534+00,mophep,,,,,,,,,,,
105,Stone,STONE,31749,1321296358.36414,165184.298237643,11,0,1,2,,,,,,,,,,,,fde9fd4d-25a4-4472-a40d-b5bb324dabf4,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:33.675+00,mophep,,,,,,,,,,,
106,Butler,BUTLER,42639,1811905364.57202,233767.858656216,71,0,,5,,,,,,,,,,,,e1335b97-076d-4d8e-ac69-06744ea08d56,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:33.862+00,mophep,,,,,,,,,,,
107,Barry,BARRY,35886,2046820185.64417,183325.537000058,34,0,,1,,,,,,,,,,,,387e3426-8d68-465d-90f7-a7d44535dd1e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.003+00,mophep,,,,,,,,,,,
108,New Madrid,NEW MADRID,17296,1807262909.19238,267280.825418539,36,1,,5,,,,,,,,,,,,270a4a27-6dfe-47d3-8957-54e95ab87778,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.159+00,mophep,,,,,,,,,,,
109,Oregon,OREGON,10541,2049313637.45703,185227.310329403,6,0,,1,,,,,,,,,,,,6846fdf0-fe4b-4c2b-84cd-05a7751b4840,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.300+00,mophep,,,,,,,,,,,
110,Ripley,RIPLEY,13401,1636086245.33862,169543.341856741,17,0,,2,,,,,,,,,,,,5566463b-d983-4a56-a2fa-757d17d122a7,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.487+00,mophep,,,,,,,,,,,
111,Taney,TANEY,55852,1686337514.57068,166478.951761201,39,2,1,6,,,,,,,,,,,,7cba9d65-0ee5-4ae0-99f2-9c29823631de,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.659+00,mophep,,,,,,,,,,,
112,Ozark,OZARK,9017,1954762308.82178,183633.582679998,1,0,,,,,,,,,,,,,,2758528b-19f1-4fe7-824c-4860f6e93905,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.816+00,mophep,,,,,,,,,,,
113,McDonald,MCDONALD,23078,1396587359.5614,155013.685533705,451,1,,3,,,,,,,,,,,,5ffa7584-fef7-499a-9ea6-11110f54b4ac,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:34.956+00,mophep,,,,,,,,,,,
114,Dunklin,DUNKLIN,29423,1418066550.24585,273820.475494117,84,3,0,8,,,,,,,,,,,,b3817808-77df-4e51-bf0f-c885cda1d013,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:35.097+00,mophep,,,,,,,,,,,
115,Pemiscot,PEMISCOT,16272,1320283785.51221,189299.757571735,109,6,,3,,,,,,,,,,,,4542816a-9fd4-4e75-9bc3-8e61b3b37e2b,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:35.253+00,mophep,,,,,,,,,,,
116,Kansas City,KANSAS CITY,491918,823366306.663086,346294.183204962,2162,31,2,217,,,,,,,,,,0,,b1748cef-7631-46ba-a261-4791a44720fb,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:35.409+00,mophep,,,,,,,,,,,
117,Joplin,JOPLIN,50657,81548505.5493164,107764.513581536,78,0,1,2,,,,,,,,,,,,433b918c-d18c-417c-adcb-dfa5744f7787,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:35.581+00,mophep,,,,,,,,,,,
118,TBD,TBD,,,,0,0,0,1,,,,,,,,,,,,19932d11-47fb-4ead-b7d8-225c2709cb2b,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:35.722+00,mophep,,,,,,,,,,,
