ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
54,54,45,089,NASSAU,Nassau,FL,3729,53,68,336,408,454,521,686,630,392,177,4,0 to 103,55,2016,1534,179,3606,123,0,121,3258,28,327,57,486,3232,0,11,3596,437,24,19,2,229,231,1,461,6,11,108,82,84,71,59,38,14,9,0,0 to 93,39,283,55,23,100,30,319,112,64,1,28,0,0,2,482,239,242,461,21,0,8770,101,9361,8871,482,2,610,604,39,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,374,7,15,50,80,78,45,34,32,26,6,1,1 to 90,39,182,191,1,374,0,0,38,193,3,194,0,200,174,0,0,374,198,2,0,0,81,119,0,200,4,4,33,57,53,27,14,5,2,1,0,1 to 89,35,152,29,11,8,119,70,11,27,0,19,0,0,1,200,119,81,200,0,0,558,0,759,558,200,1,185,126,35,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,6012,69,60,318,520,586,840,1145,1125,776,564,9,0 to 119,60,3487,2453,72,5992,20,0,303,5151,62,886,30,1075,4928,1,8,5983,895,175,3,1,571,485,14,1070,12,16,97,118,97,142,190,155,122,122,3,0 to 101,58,805,74,26,165,73,806,191,150,1,167,1,0,78,1074,486,573,1070,4,0,14046,16,15144,14062,1074,78,151,132,58,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,15147,182,246,1024,1558,1516,1923,2673,2923,2060,999,43,0 to 119,59,8428,6548,171,14892,255,0,633,13666,190,1777,106,2646,12480,1,20,14872,2535,68,32,6,1329,1252,22,2603,31,76,405,474,385,358,318,245,199,148,2,0 to 104,43,1328,144,200,931,298,1184,1121,282,17,248,11,2,100,2641,1274,1345,2603,38,0,41419,216,44284,41635,2641,100,819,713,43,2.51442395330883,0.137455100826111
58,58,14,027,DESOTO,Desoto,FL,2946,83,155,284,423,431,502,531,302,160,71,4,0 to 102,47,1241,1578,127,2936,10,0,113,2019,48,813,14,830,2109,0,7,2929,702,128,0,0,382,445,3,830,30,81,121,169,144,116,99,50,11,9,0,0 to 92,35,599,90,32,109,501,208,121,137,0,80,0,0,11,830,445,382,830,0,0,4975,10,5822,4985,830,11,1007,872,35,1.62412905104683,0.150723124168937
59,59,18,035,FLAGLER,Flagler,FL,4230,57,49,244,435,491,602,818,810,501,217,6,0 to 119,57,2464,1705,61,4191,39,0,169,3739,37,382,49,473,3754,0,3,4188,398,66,9,0,259,197,8,464,6,11,59,79,50,73,83,72,32,8,0,1 to 94,49,279,62,86,37,63,344,57,72,4,43,2,1,5,473,202,263,464,9,0,9337,30,9849,9367,473,5,520,485,49,2.09459077711604,0.120416345978497
60,60,26,051,HENDRY,Hendry,FL,3008,104,147,412,559,487,435,374,225,149,109,7,0 to 104,40,1477,1513,18,3006,2,0,272,1738,32,1126,7,1165,1842,0,1,3005,1118,45,0,0,486,669,8,1163,33,59,183,264,220,180,106,62,35,21,0,0 to 101,36,935,119,37,72,820,289,54,194,0,104,0,0,28,1163,669,486,1163,0,0,4851,2,6025,4853,1163,28,1681,1254,36,2.751957998189,0.279063453322294
61,61,31,061,INDIAN RIVER,Indian River,FL,6623,92,140,569,674,659,812,1023,1150,842,646,16,0 to 119,58,3990,2598,35,6551,72,0,266,5288,77,1238,76,1159,5434,0,30,6523,1131,15,10,2,590,547,9,1146,23,64,222,195,163,155,111,94,77,53,1,0 to 99,38,484,86,110,466,234,394,518,156,6,85,3,0,20,1158,555,594,1146,12,0,16717,58,17941,16775,1158,20,1603,1117,38,2.23772404689823,0.120741478735337
62,62,6,011,BROWARD,Broward,FL,117696,2315,3160,9856,18346,18411,20134,20649,13724,7221,3670,210,0 to 119,48,63427,52734,1535,116071,1625,0,4566,96793,2336,21404,1125,28255,89369,19,53,116002,26161,1726,339,27,14135,13626,126,27887,513,1144,4085,5795,4982,4588,3745,1866,1016,505,14,0 to 119,39,11296,7794,2005,6792,9419,12064,6404,4706,79,2505,62,23,455,28253,13866,14261,27887,366,0,230335,1249,260002,231584,28253,455,14003,13634,39,2.7919763283364,0.283663156516755
63,63,17,033,ESCAMBIA,Escambia,FL,20372,481,539,2014,2874,2425,2719,3590,2977,1719,985,49,0 to 119,51,12144,8172,56,17279,3093,0,465,18758,183,1603,106,3662,16695,2,13,17264,3055,78,529,0,1717,1406,10,3133,42,106,733,728,499,438,433,296,239,148,0,0 to 105,37,1466,898,105,664,115,2140,878,328,2,175,1,3,53,3662,1626,2026,3133,529,0,35332,2564,41571,37896,3662,53,983,903,37,4.36918308615684,0.166409867656292
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2023,38,84,298,268,235,251,305,202,186,144,12,0 to 119,48,1160,841,22,2011,12,0,140,1485,2,434,15,518,1504,0,1,2010,469,45,4,0,259,253,2,514,14,43,106,88,84,63,72,22,14,11,1,0 to 94,35,337,54,64,59,245,192,77,59,0,47,2,0,2,518,255,261,514,4,0,3930,8,4459,3938,518,2,614,533,35,2.58761125674549,0.21054521223227
65,65,19,037,FRANKLIN,Franklin,FL,530,5,8,29,40,43,60,124,131,74,16,0,0 to 95,62,306,222,2,526,4,0,10,471,0,39,11,31,498,0,1,525,27,3,1,0,20,10,0,30,0,1,2,5,3,4,7,5,3,1,0,9 to 85,57,21,5,0,4,1,26,3,4,0,0,0,0,0,31,10,21,30,1,0,1507,3,1541,1510,31,0,82,81,57,4.43935170547995,0.135013808620425
66,66,1,001,ALACHUA,Alachua,FL,16833,224,248,2203,3183,2397,2360,2668,1957,938,588,67,0 to 119,45,9634,7051,148,16543,290,0,348,16022,61,853,77,2043,14784,6,0,16537,1926,77,29,11,1019,978,6,2003,14,47,695,486,216,219,170,123,45,26,2,0 to 103,29,682,429,288,604,301,1048,654,192,7,102,5,0,12,2043,1001,1036,2003,40,0,47413,249,49717,47662,2043,12,172,150,29,2.62533239231304,0.233996913333188
67,67,55,109,ST. JOHNS,St. Johns,FL,11675,170,297,1167,1318,1687,1928,2014,1736,925,415,18,0 to 119,51,6355,5122,198,11632,43,0,452,10063,208,1164,200,1790,9815,11,59,11563,1615,149,20,4,886,849,29,1764,23,44,447,285,237,282,253,126,65,25,1,0 to 98,38,988,87,76,613,103,973,688,157,4,98,5,0,12,1788,861,898,1764,24,0,24672,18,26506,24690,1788,12,1554,1514,38,3.24633645681211,0.154879969128212
68,999,999,999,Unknown,Unknown,FL,1529,1,6,102,197,205,216,191,140,210,258,3,3 to 119,56,993,519,17,182,1347,0,4,1504,0,26,16,279,1249,1,0,181,57,0,219,3,17,31,9,57,1,5,46,75,51,51,27,10,6,6,1,12 to 90,32,19,4,0,34,26,1,30,0,3,0,2,1,0,279,152,117,57,222,0,1969,1112,3373,3081,279,0,39,37,32,0.736908814303344,0.0426371109693887
