County,Cases,Deaths,Recovered,ReportDate
TULSA,5005,75,3898,2020-07-11
OKLAHOMA,4613,74,3358,2020-07-11
CLEVELAND,1277,40,1017,2020-07-11
TEXAS,1005,6,986,2020-07-11
MCCURTAIN,606,11,464,2020-07-11
COMANCHE,489,8,415,2020-07-11
CANADIAN,479,3,330,2020-07-11
PAYNE,478,1,400,2020-07-11
WASHINGTON,448,39,378,2020-07-11
WAGONER,366,19,278,2020-07-11
ROGERS,324,7,200,2020-07-11
DELAWARE,239,17,169,2020-07-11
GRADY,236,5,147,2020-07-11
MCCLAIN,235,4,199,2020-07-11
OSAGE,214,8,173,2020-07-11
CREEK,210,8,154,2020-07-11
CADDO,206,11,180,2020-07-11
MUSKOGEE,193,14,107,2020-07-11
BRYAN,180,1,104,2020-07-11
CARTER,170,2,114,2020-07-11
POTTAWATOMIE,158,4,116,2020-07-11
OKMULGEE,146,0,72,2020-07-11
OTTAWA,141,2,93,2020-07-11
ADAIR,136,4,121,2020-07-11
KAY,124,8,93,2020-07-11
CHOCTAW,122,1,111,2020-07-11
GARVIN,122,3,89,2020-07-11
CHEROKEE,118,1,90,2020-07-11
MAYES,117,5,83,2020-07-11
GARFIELD,104,2,76,2020-07-11
LOGAN,90,1,57,2020-07-11
MCINTOSH,85,1,58,2020-07-11
STEPHENS,81,1,60,2020-07-11
CUSTER,76,0,60,2020-07-11
PITTSBURG,71,3,61,2020-07-11
PONTOTOC,70,2,45,2020-07-11
PAWNEE,68,3,57,2020-07-11
GREER,68,7,57,2020-07-11
SEMINOLE,64,3,38,2020-07-11
SEQUOYAH,62,3,50,2020-07-11
JACKSON,57,3,38,2020-07-11
LE FLORE,56,1,34,2020-07-11
NOBLE,52,1,38,2020-07-11
LOVE,46,0,41,2020-07-11
KINGFISHER,44,0,28,2020-07-11
LINCOLN,43,2,30,2020-07-11
MARSHALL,43,0,35,2020-07-11
NOWATA,38,1,35,2020-07-11
ATOKA,34,0,20,2020-07-11
BEAVER,32,0,32,2020-07-11
CRAIG,27,0,22,2020-07-11
TILLMAN,26,1,24,2020-07-11
MURRAY,25,0,22,2020-07-11
PUSHMATAHA,25,0,15,2020-07-11
BLAINE,22,0,17,2020-07-11
LATIMER,20,1,11,2020-07-11
OKFUSKEE,19,0,14,2020-07-11
JEFFERSON,16,0,9,2020-07-11
KIOWA,16,1,11,2020-07-11
HASKELL,16,0,11,2020-07-11
JOHNSTON,16,0,12,2020-07-11
WOODWARD,15,0,12,2020-07-11
HUGHES,14,0,12,2020-07-11
BECKHAM,14,0,9,2020-07-11
MAJOR,14,1,11,2020-07-11
COTTON,11,2,6,2020-07-11
COAL,10,0,7,2020-07-11
WOODS,9,0,6,2020-07-11
WASHITA,8,0,3,2020-07-11
DEWEY,4,0,4,2020-07-11
HARMON,3,0,2,2020-07-11
ELLIS,2,0,2,2020-07-11
GRANT,2,0,2,2020-07-11
HARPER,1,0,1,2020-07-11
ROGER MILLS,1,0,0,2020-07-11
CIMARRON,1,0,1,2020-07-11
ALFALFA,1,0,1,2020-07-11
