"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Santa Barbara","18","0","https://publichealthsbc.org/","","493","245","229","18","1","","","","","","","","","","","","","","",""
"Santa Clara","375","16","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","As of March 22, 2020, the Public Health laboratory has tested 1044 samples, for 647 individual patients. Does not include private labs, who are only required to report positive cases to the public health department.","647","","","","","30","","82","91","","","125","","","","","","","",""
"Santa Cruz","24","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","3","0","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","","","","","","","2","","1","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","4","2","2","0","","","","","","","","","","","","","","","",""
"Siskiyou County","3","0","https://www.co.siskiyou.ca.us/publichealth","","42","13","26","3","","","","","","","","","","","","","","","",""
"Solano County","24","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","7","","","","","","","",""
"Sonoma","34","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","26","540","29","","6","","3","6","14","2","","","","","","","","",""
"Stanislaus County","11","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","",""
"Sutter","0","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent.","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","16","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/","","","","","","","","","","","","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","93","27","66","0","","","","","","","","","","","","","","","",""
"Ventura","35","1","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","10","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","3","0","https://www.yuba.org/departments/emergency_services/coronavirus.php","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","",""
