ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,9,3023,0,217,15,17,689,317,155,1,11,636,267,139,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,18,19891,2,1758,272,62,3317,1751,930,11,54,3159,1628,881,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,7,5382,0,408,41,28,1363,762,279,5,24,1261,708,251,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,24,7716,2,499,52,31,1323,493,304,3,28,1311,480,303,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,1,733,0,73,4,11,235,178,51,0,9,146,93,28,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,4,3056,0,137,13,7,390,252,66,1,6,286,223,39,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,31,19039,5,1828,249,46,2210,1070,570,20,29,1712,805,437,15,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,8,2764,0,186,7,17,699,270,141,3,13,631,252,121,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,13,19135,2,1305,179,15,1009,579,253,8,15,1009,579,253,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,0,1094,1,70,56,5,216,179,37,2,5,216,179,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,7,7795,2,558,44,24,1196,597,344,4,16,1024,504,283,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,33,9515,3,740,98,53,1883,909,508,7,38,1519,772,410,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,7,9828,1,924,73,50,1988,933,514,4,29,1669,762,411,1,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,15,17080,4,1066,158,25,1310,768,396,15,19,1034,567,343,8,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,0,815,0,73,5,6,185,114,61,0,5,172,108,55,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,5,5018,0,465,86,33,1069,690,296,8,30,1012,670,275,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,1,1230,0,158,37,7,260,152,110,4,5,259,136,110,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,16,16519,0,1159,184,29,1491,738,475,11,29,1491,738,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,0,1265,0,153,14,8,412,137,122,1,6,311,112,94,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,7,6909,0,665,154,42,1448,731,489,3,25,1032,501,354,1,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,23,17059,0,1171,206,42,1729,897,512,8,42,1729,897,512,8,1.62072838209013,0.0871537443231625
