County,Cases,Deaths,Recovered,ReportDate
TULSA,5267,76,4048,2020-07-13
OKLAHOMA,4986,74,3622,2020-07-13
CLEVELAND,1348,40,1068,2020-07-13
TEXAS,1006,6,986,2020-07-13
MCCURTAIN,622,11,473,2020-07-13
CANADIAN,519,3,351,2020-07-13
COMANCHE,502,9,422,2020-07-13
PAYNE,481,2,413,2020-07-13
WASHINGTON,449,39,387,2020-07-13
WAGONER,376,19,291,2020-07-13
ROGERS,342,7,222,2020-07-13
DELAWARE,244,17,175,2020-07-13
GRADY,241,5,155,2020-07-13
MCCLAIN,241,4,206,2020-07-13
OSAGE,218,8,176,2020-07-13
CREEK,217,8,159,2020-07-13
CADDO,208,11,180,2020-07-13
MUSKOGEE,200,14,112,2020-07-13
BRYAN,184,1,109,2020-07-13
CARTER,182,2,127,2020-07-13
POTTAWATOMIE,159,4,118,2020-07-13
OKMULGEE,157,0,75,2020-07-13
OTTAWA,157,2,102,2020-07-13
ADAIR,137,4,121,2020-07-13
CHOCTAW,126,1,112,2020-07-13
KAY,126,8,99,2020-07-13
GARVIN,123,3,92,2020-07-13
MAYES,122,5,85,2020-07-13
CHEROKEE,121,1,94,2020-07-13
GARFIELD,108,2,80,2020-07-13
LOGAN,98,1,58,2020-07-13
MCINTOSH,87,1,60,2020-07-13
STEPHENS,83,1,65,2020-07-13
CUSTER,78,0,62,2020-07-13
PITTSBURG,76,3,62,2020-07-13
PONTOTOC,72,2,47,2020-07-13
SEMINOLE,72,3,40,2020-07-13
PAWNEE,71,3,58,2020-07-13
GREER,68,7,57,2020-07-13
SEQUOYAH,65,3,51,2020-07-13
LE FLORE,61,1,36,2020-07-13
JACKSON,57,3,40,2020-07-13
NOBLE,53,1,40,2020-07-13
LINCOLN,46,2,31,2020-07-13
LOVE,46,0,42,2020-07-13
KINGFISHER,46,0,30,2020-07-13
MARSHALL,43,0,35,2020-07-13
NOWATA,38,1,36,2020-07-13
ATOKA,34,0,21,2020-07-13
BEAVER,32,0,32,2020-07-13
CRAIG,27,0,22,2020-07-13
TILLMAN,26,1,24,2020-07-13
PUSHMATAHA,25,0,15,2020-07-13
MURRAY,25,0,23,2020-07-13
BLAINE,22,0,17,2020-07-13
BECKHAM,22,0,9,2020-07-13
LATIMER,20,1,11,2020-07-13
OKFUSKEE,19,0,14,2020-07-13
JEFFERSON,17,0,10,2020-07-13
KIOWA,17,1,11,2020-07-13
JOHNSTON,17,0,12,2020-07-13
HASKELL,16,0,11,2020-07-13
WOODWARD,15,0,13,2020-07-13
MAJOR,14,1,11,2020-07-13
HUGHES,14,0,13,2020-07-13
COAL,11,0,8,2020-07-13
COTTON,11,2,6,2020-07-13
WOODS,9,0,6,2020-07-13
WASHITA,8,0,3,2020-07-13
DEWEY,4,0,4,2020-07-13
GRANT,3,0,2,2020-07-13
HARMON,3,0,2,2020-07-13
ELLIS,2,0,2,2020-07-13
ALFALFA,1,0,1,2020-07-13
CIMARRON,1,0,1,2020-07-13
HARPER,1,0,1,2020-07-13
