ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,670,11,11,73,83,89,98,106,94,69,36,0,0 to 118,52,407,252,11,670,0,0,8,639,2,39,1,20,650,0,0,670,19,1,0,0,9,11,0,20,0,0,4,3,3,4,4,1,1,0,0,17 to 79,44,15,1,2,2,2,17,1,1,0,0,0,0,0,20,11,9,20,0,0,1195,0,1217,1195,20,0,42,25,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3408,69,110,312,488,420,539,578,424,297,160,11,0 to 118,50,2155,1210,43,3399,9,0,76,3117,133,259,20,181,3223,2,2,3395,113,67,0,1,113,67,0,180,1,18,19,25,27,29,19,20,16,7,0,3 to 98,45,99,73,8,0,6,172,2,39,0,22,0,0,6,181,68,113,180,1,0,4277,8,4468,4285,181,6,161,92,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,868,33,19,77,127,110,111,156,138,70,23,4,0 to 118,50,483,354,31,860,8,0,17,757,3,127,17,51,813,1,3,856,40,10,1,0,18,32,0,50,0,1,12,16,9,2,6,2,3,0,0,6 to 83,31,32,2,14,2,17,31,2,9,0,5,0,0,0,51,32,19,50,1,0,1105,7,1164,1112,51,0,139,38,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6879,162,139,515,986,975,903,1056,807,728,569,39,0 to 119,52,4197,2639,43,6738,140,1,125,6394,137,289,67,294,6585,0,0,6739,199,87,4,4,155,131,0,286,6,14,21,46,45,41,48,34,25,14,0,0 to 96,47,228,37,18,3,79,203,4,74,2,43,1,0,6,294,136,158,285,8,1,9199,132,9632,9331,294,6,662,267,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,529,5,4,40,47,78,74,90,83,72,35,1,0 to 99,56,316,195,18,529,0,0,4,439,4,54,3,64,465,0,0,529,47,17,0,0,49,15,0,64,0,0,5,4,4,2,2,7,21,19,0,20 to 99,78,46,11,0,7,0,52,12,12,0,6,0,0,4,64,15,49,64,0,0,614,0,680,614,64,4,94,33,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,66890,975,1409,4570,7866,7867,9407,11574,10448,7345,3833,1596,0 to 119,55,36841,29772,277,66134,754,2,1960,61338,465,6120,332,7887,58666,197,140,65802,7637,137,107,6,3868,3900,6,7774,101,237,865,1285,1215,1214,1103,761,639,463,4,0 to 104,46,3542,1507,1271,1454,2665,3551,1558,1836,31,1361,22,13,407,7887,3964,3917,7772,113,2,89960,638,98722,90598,7887,407,1638,1373,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,9823,161,189,630,1156,1207,1501,1758,1630,1058,503,30,0 to 119,55,5649,3962,212,9676,147,0,391,8697,188,1044,73,760,8960,5,98,9573,685,64,11,0,398,349,2,749,12,21,66,121,109,127,113,83,61,47,0,0 to 97,49,305,166,69,209,117,383,249,181,1,127,2,0,33,760,354,404,749,11,0,14870,136,15772,15006,760,33,133,118,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13380,260,314,926,1563,1799,2119,2390,2128,1296,557,28,0 to 119,53,7843,5495,42,13305,75,0,178,12729,223,563,102,473,12887,2,18,13285,416,46,10,1,253,209,0,462,9,14,50,61,88,87,62,65,20,17,0,0 to 94,47,297,62,63,40,97,309,56,114,4,89,3,1,15,473,215,258,462,11,0,21167,64,21714,21231,473,15,828,277,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2891,49,91,207,483,494,506,457,383,139,80,2,0 to 119,47,2014,864,13,2873,17,1,31,2654,46,297,15,300,2590,1,0,2873,287,9,4,0,219,77,0,296,3,6,18,64,68,60,31,27,13,10,0,0 to 98,43,117,127,15,37,30,216,50,54,0,50,0,0,4,300,77,223,295,4,1,4499,13,4819,4512,300,4,361,167,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12780,187,295,1470,2094,1890,1972,2104,1723,673,341,31,0 to 119,47,6622,6024,134,12548,231,1,153,12075,201,490,87,456,12308,3,13,12533,416,10,29,1,229,197,0,426,2,13,126,86,60,59,67,31,9,3,0,0 to 87,35,149,243,9,25,22,371,33,78,11,41,9,6,8,456,213,243,425,30,1,18978,201,19640,19179,456,8,649,238,43,2.42861632663576,0.170704044186268
