ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
57,57,58,115,SARASOTA,Sarasota,FL,4489,57,66,239,444,508,630,769,781,599,393,3,0 to 115,58,2553,1851,85,4352,137,0,356,3917,190,581,83,338,4148,1,2,4349,278,44,10,6,184,138,0,322,2,1,11,29,33,43,52,69,58,40,0,0 to 102,64,261,18,23,20,37,248,37,140,11,116,8,0,42,338,148,190,322,16,0,4027,121,4489,4148,338,42,222,117,64,2.51442395330883,0.137455100826111
58,58,14,027,DESOTO,Desoto,FL,521,16,6,24,74,73,81,82,81,55,27,2,0 to 93,53,262,221,38,519,2,0,8,450,48,101,3,28,489,0,4,515,20,8,0,0,10,17,1,28,0,0,0,5,2,3,7,5,3,3,0,27 to 92,62,22,1,0,5,5,15,8,10,0,9,0,0,4,28,17,10,28,0,0,487,2,521,489,28,4,5,2,62,1.62412905104683,0.150723124168937
59,59,18,035,FLAGLER,Flagler,FL,1460,18,13,72,157,205,202,287,288,168,49,1,0 to 98,57,815,603,42,1445,15,0,42,1360,37,119,34,133,1326,1,0,1444,112,17,4,0,75,54,0,129,0,1,6,15,18,20,33,28,12,0,0,7 to 84,56,92,13,18,6,16,105,8,17,2,10,2,0,2,133,55,78,129,4,0,1315,11,1460,1326,133,2,56,27,56,2.09459077711604,0.120416345978497
60,60,26,051,HENDRY,Hendry,FL,527,11,10,50,81,92,81,85,58,35,24,0,0 to 101,47,284,237,6,526,1,0,21,454,32,85,2,80,446,0,1,525,58,22,0,0,43,37,0,80,1,2,4,9,18,11,15,7,8,5,0,2 to 101,48,49,30,1,0,26,51,3,29,0,20,0,0,3,80,37,43,80,0,0,445,1,527,446,80,3,180,119,48,2.751957998189,0.279063453322294
61,61,31,061,INDIAN RIVER,Indian River,FL,1782,16,23,105,182,169,253,353,364,209,107,1,0 to 105,59,1068,682,32,1766,16,0,83,1621,77,144,53,90,1645,0,47,1721,68,12,8,2,33,47,0,80,0,1,5,8,4,11,16,22,14,9,0,8 to 96,64,60,5,14,1,4,65,11,42,5,24,2,0,7,90,53,37,80,10,0,1641,4,1782,1645,90,7,243,70,64,2.23772404689823,0.120741478735337
62,62,6,011,BROWARD,Broward,FL,45297,392,541,2921,7359,7768,8529,8125,5312,2787,1473,90,0 to 119,49,24103,19559,1635,44370,927,0,1268,41239,2336,3394,815,4898,40337,30,32,44312,3884,885,109,20,2357,2411,1,4769,10,37,348,774,791,941,918,581,311,187,0,0 to 102,50,2329,1598,456,386,1527,2868,374,1587,52,934,42,4,182,4898,2490,2407,4769,129,0,39543,794,45297,40337,4898,182,853,514,50,2.7919763283364,0.283663156516755
63,63,17,033,ESCAMBIA,Escambia,FL,6928,243,214,656,1045,973,1006,1175,855,492,257,12,0 to 105,48,4142,2761,25,6255,673,0,112,6576,183,403,57,496,6401,8,23,6224,386,42,68,0,235,193,0,428,5,5,49,53,73,64,82,68,62,35,0,0 to 100,54,207,141,11,69,9,312,107,53,0,41,0,0,11,496,220,276,428,68,0,5796,605,6928,6401,496,11,126,53,54,4.36918308615684,0.166409867656292
64,64,47,093,OKEECHOBEE,Okeechobee,FL,371,10,15,37,41,43,69,64,50,30,11,1,0 to 99,50,201,155,15,368,3,0,37,332,2,34,7,10,360,0,1,367,7,2,1,0,8,1,0,9,0,0,0,1,1,3,2,2,1,0,0,33 to 76,56,8,0,0,1,0,8,1,1,0,4,1,0,0,10,2,8,9,1,0,358,2,371,360,10,0,20,7,56,2.58761125674549,0.21054521223227
65,65,19,037,FRANKLIN,Franklin,FL,87,1,3,9,11,6,11,23,13,10,0,0,3 to 84,56,39,47,1,86,1,0,8,79,0,5,3,2,85,0,0,86,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,85,0,87,85,2,0,3,2,42,4.43935170547995,0.135013808620425
66,66,1,001,ALACHUA,Alachua,FL,6740,127,90,741,1207,933,848,1001,941,549,257,46,0 to 118,48,3878,2643,219,6608,132,0,133,6521,61,261,45,262,6471,7,0,6601,220,31,5,6,150,101,0,251,1,0,38,49,31,38,42,38,16,8,1,2 to 94,49,104,80,20,47,18,182,51,60,4,43,2,0,2,262,104,158,251,11,0,6350,121,6740,6471,262,2,74,55,49,2.62533239231304,0.233996913333188
67,67,55,109,ST. JOHNS,St. Johns,FL,4908,83,108,341,574,820,890,865,702,368,149,8,0 to 101,50,2667,2123,118,4895,13,0,186,4501,208,275,112,207,4691,1,9,4886,158,41,5,3,96,103,0,199,1,5,14,19,21,45,50,38,11,3,0,2 to 97,53,157,11,13,18,11,165,23,56,3,36,3,0,4,207,109,98,199,8,0,4687,4,4908,4691,207,4,146,113,53,3.24633645681211,0.154879969128212
68,999,999,999,Unknown,Unknown,FL,53,0,0,7,12,7,10,5,5,2,3,2,19 to 95,44,25,24,4,16,37,0,0,53,0,0,0,7,45,0,1,16,0,0,7,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,24 to 55,36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,7,0,16,29,53,45,7,0,15,12,36,0.736908814303344,0.0426371109693887
