ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
34026,Bullock,01011,East Central,40,1,0.154671563531792,2.06480197165101,1d8abc71-19a5-4407-b157-a2cf7f9066ca,207
34027,Butler,01013,Southeastern,285,10,0.191776547733298,1.83587954870993,08eea8af-d498-42bc-9723-6a57f46e168c,1032
34028,Cleburne,01029,Northeastern,13,1,0.141259985723536,2.17578212063938,de54f340-b48d-4bc7-a02d-240803444afc,174
34029,Mobile,01097,Mobile,1735,101,0.307697348295278,4.83629332281426,3c0ff587-6aa1-4f99-8e19-2d612e0207da,15435
34030,Monroe,01099,Southwestern,20,2,0.254517578378227,2.83753802882174,69c0e274-bd2b-43fd-b3d7-31da0b130276,393
34031,Talladega,01121,Northeastern,81,2,0.190828489604655,2.7296175303427,14dccd26-8db3-43ca-9d8c-1a84129399e6,2172
34032,Blount,01009,Northeastern,47,1,0.164406638341006,2.45274784751908,d67a4ad0-6b4d-421b-ad81-3b3f3e4bd767,1152
34033,Fayette,01057,West Central,9,0,0.158552104918499,1.83779224583562,cc7dbf41-0f76-4be3-89e7-d24ad12e9c2c,434
34034,Lamar,01075,West Central,15,0,0.15263540616661,1.64069081755141,5c19f642-be98-49f5-b514-7f525605f032,381
34035,Henry,01067,Southeastern,40,1,0.139761467476774,1.63725823418183,59a7382c-5fe1-4324-9b59-888e9831a9f6,332
34036,Tallapoosa,01123,East Central,366,57,0.191182308914904,2.16459004269042,0004292d-3c09-40a7-89b7-f44e8cb5e9aa,2116
34037,Cherokee,01019,Northeastern,28,0,0.151975822791428,1.89808177880757,6b3187f2-7cc5-4801-aec4-2aa87cdf62f4,501
34038,Crenshaw,01041,Southeastern,53,1,0.150571897113878,2.31806123117494,b50f29d8-e799-4572-b2d4-ae1ff4cb1e7d,496
34039,Marion,01093,Northern,103,9,0.188224455607951,1.90243452461428,6cce604e-13cd-4750-9053-83ebb094534b,1152
34040,Unknown or Out of State,99999,Unknown,0,0,12.9086340951542,16.2873566339486,076aa6e9-df77-490a-a3f4-137244d22cbf,3572
34041,Clay,01027,Northeastern,27,2,0.151874743437702,2.02332180215824,2d42d524-9310-43d3-a80f-a29cae30ce7b,394
34042,Lauderdale,01077,Northern,115,2,0.184043571131042,2.55716948814366,28a41679-a737-4ae7-86f6-4a8bd307bc5a,2991
34043,Calhoun,01015,Northeastern,133,3,0.154366224232035,2.21070839394633,c6e4dc21-6175-4dda-918b-605974b9ed42,2696
34044,Chambers,01017,East Central,329,22,0.150563980768084,1.72306516183319,8176e492-5015-42e1-9e9c-04d7c64638f4,1443
34045,Jackson,01071,Northern,64,2,0.287410215888713,2.67694940746419,3de66627-530e-47b9-a350-782b9d42f335,2061
34046,Pike,01109,Southeastern,107,0,0.166038209106773,2.23104055343355,b796b73a-411d-4f4f-a8c3-6e09e4a635e0,1028
34047,Dallas,01047,Southwestern,151,3,0.246497505086154,3.13752996820932,71c78839-81c0-448f-8241-39ef67dca47e,1423
34048,Lee,01081,East Central,452,31,0.153274187500529,2.0496448391292,fa50a38e-44f4-4e7a-8c0d-3216451d1091,4539
34049,Perry,01105,West Central,21,0,0.18021159047953,2.14838023913143,9c12faa7-199a-4a00-a77d-42571b54e0b3,401
34050,Walker,01127,West Central,139,0,0.20307720239839,2.39750884765462,00f3be06-ead5-4efa-a286-42e6116aee50,1808
34051,Choctaw,01023,Southwestern,85,3,0.227681129400253,2.68700551554037,70a30ce0-40e0-422e-9f0c-b2714742d7e9,300
34052,Marengo,01091,Southwestern,104,6,0.243586589216875,2.64368581241414,d655406d-2341-4d88-8759-7394104cb989,843
34053,Tuscaloosa,01125,West Central,368,8,0.338742577944004,2.90058009044742,184fe3c9-5556-489c-b811-b4338a8486d2,6666
34054,Covington,01039,Southeastern,58,1,0.255971892285061,2.38709591035509,f5d5eb6b-8ed4-43f8-957e-2878d6e72f42,890
34055,Houston,01069,Southeastern,137,4,0.142463779205855,2.10452810210549,9281d20a-fc75-48f4-92d1-1a364022480a,2062
34056,Lowndes,01085,East Central,133,9,0.179493868658938,2.34426217715912,3b396f2d-139a-4333-bc98-c46dfff0d3a2,395
34057,Macon,01087,East Central,55,2,0.152225727451423,2.0876916570357,3dbe26f3-590b-4cba-a153-afe1a6e6a943,448
34058,Dale,01045,Southeastern,61,0,0.138259666605563,1.65151999951547,a9d9e674-3d2d-4d06-b915-54f0c6b22138,790
34059,Madison,01089,Northern,278,4,0.207245811581288,2.4192510631746,1e0883ec-2946-47f9-b911-b2b4bb780362,11668
34060,Washington,01129,Southwestern,61,5,0.26740407070929,2.63236527422465,ca2addd3-74b3-4925-9eac-cd013dbd156e,394
34061,Wilcox,01131,Southwestern,95,5,0.224284362669096,2.68126387368409,6223c47a-7175-4cb4-a5b6-31345bd9d4cb,365
34062,Barbour,01005,Southeastern,85,1,0.223267704174077,2.69097505269632,f98103c9-eece-4a5e-82a9-05e21be6fddb,561
34063,Chilton,01021,West Central,79,1,0.174837510280213,2.09165532433194,01d8e49b-1d9b-4414-ac2d-9957299780d2,1062
34064,Etowah,01055,Northeastern,206,10,0.138757597037284,2.10053621990475,0fdced5f-d360-47bb-979b-2ec48065f391,3401
34065,Randolph,01111,Northeastern,120,7,0.14646191250813,1.58584516900329,18e69637-dd75-4ee5-b8c0-bde5d2130692,745
34066,Limestone,01083,Northern,65,0,0.155003206122046,1.71814668265853,e8c74905-1404-47da-95a3-f8a0440db0ed,1692
34067,Winston,01133,Northern,39,1,0.159972008442992,1.68720534678178,7853e4d1-b831-4dd7-9692-63e0b8f6cb73,666
34068,Morgan,01103,Northern,116,1,0.152203319983528,1.80617511452274,22bd31eb-58b9-4e34-9f2d-002c7d9b127a,2692
34069,Shelby,01117,Northeastern,404,19,0.202879219246825,2.52559193618872,070aeb03-b9ce-4e03-91ef-caa600a745e7,6532
34070,St. Clair,01115,Northeastern,91,1,0.164611790120262,2.46182521198285,670773b1-963f-46c3-a0db-663c7167722c,2236
34071,Autauga,01001,East Central,120,4,0.150198352049983,2.1379328255407,338f3feb-bae5-4056-8c59-630db29b4fbf,1506
34072,Escambia,01053,Southwestern,39,3,0.233446648119298,2.50306921694382,e6cc5046-fa05-439a-8ad5-493e6ae84276,885
34073,Marshall,01095,Northern,632,9,0.158193819913322,2.22984018931076,2477fd6f-08da-4699-ab87-ace9e5512d84,4425
34074,Pickens,01107,West Central,82,3,0.22311596802615,2.22345505777214,606a096f-9ed1-4386-bd2b-f31d00e4addc,693
34075,Colbert,01033,Northern,93,2,0.15857369348987,2.31239229125845,d881686f-0500-44f4-bc75-7d5672733755,1845
34076,Greene,01063,West Central,87,4,0.164666965815741,3.57766804402764,a6f4ce11-d024-4e43-a76f-e8bd1f818f28,412
34077,Jefferson,01073,Jefferson,1355,74,0.282606031405749,2.91318939557353,b0d0db6d-91e3-4dbc-aaf0-582684dccc44,28010
