ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,47,1807,Â 0,112,14,696,97,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,75,17459,5,1460,63,4180,872,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,49,3986,6,245,26,1696,198,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,115,5573,3,275,26,1233,201,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,4,506,0Â ,41,7,294,32,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,71,1679,2,53,6,310,27,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,460,16600,18,1546,46,2647,538,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,76,1907,1,117,14,545,96,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,126,17574,11,1068,15,1062,169,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,14,846,Â 0,52,4,355,34,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,123,5950,2,408,23,1436,274,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,68,7408,5,513,51,1951,380,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,79,7994,8,633,48,2240,369,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,81,15278,2,839,25,1563,316,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,6,465,1,20,4,65,12,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,24,4278,1,375,32,1429,273,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,5,1061,Â 0,138,5,358,104,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,101,14903,5,962,29,1801,446,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,9,1086,1,121,7,496,103,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,57,6092,8,569,41,1699,429,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,83,14752,4,888,41,2080,438,1.62072838209013,0.0871537443231625
