ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,456,8,7,43,59,57,64,68,64,55,31,0,0 to 118,53,289,158,9,456,0,0,3,448,2,14,1,7,449,0,0,456,6,1,0,0,4,3,0,7,0,0,0,1,1,2,2,1,0,0,0,25 to 73,52,6,1,0,0,0,7,0,1,0,0,0,0,0,7,3,4,7,0,0,457,0,464,457,7,0,18,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,2619,53,79,237,370,332,410,412,325,248,141,12,0 to 118,50,1681,892,46,2614,5,0,72,2390,133,209,19,134,2479,4,2,2608,88,46,0,0,80,54,0,134,0,11,13,17,20,21,13,18,14,7,0,6 to 98,47,74,52,8,0,6,125,3,29,0,16,0,0,3,134,54,80,134,0,0,2527,5,2674,2532,134,3,98,29,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,383,25,12,15,45,47,53,65,72,34,13,2,0 to 118,54,201,158,24,382,1,0,14,350,3,67,3,5,378,0,0,382,5,0,0,0,4,1,0,5,0,0,1,1,0,1,1,1,0,0,0,20 to 67,47,5,0,0,0,0,5,0,1,0,0,0,0,0,5,1,4,5,0,0,380,1,387,381,5,0,33,16,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,3583,119,90,286,568,573,511,579,424,254,143,36,0 to 119,47,2158,1389,36,3453,129,1,98,3265,137,183,64,178,3404,1,0,3453,93,78,3,4,91,80,0,171,3,4,6,23,23,22,37,28,21,11,0,0 to 96,56,135,27,8,1,29,141,1,50,1,29,0,0,5,178,84,94,170,7,1,3355,122,3657,3477,178,5,438,116,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,358,2,3,32,34,54,45,64,53,46,24,1,0 to 99,56,213,127,18,358,0,0,3,309,4,28,3,41,316,1,0,357,24,17,0,0,31,10,0,41,0,0,4,4,4,1,2,6,9,11,0,20 to 99,74,26,7,1,7,0,32,9,10,0,4,0,0,1,41,10,31,41,0,0,342,0,384,342,41,1,66,21,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,50339,696,907,3256,5823,6014,7259,8952,7831,5291,2720,1590,0 to 115,55,28006,22110,223,49756,581,2,948,47665,465,3053,227,4658,45356,224,101,49436,4443,129,80,6,2237,2327,8,4572,28,69,409,680,679,707,698,582,488,316,2,0 to 104,51,2134,836,564,1038,1206,2222,1144,1102,27,840,17,11,275,4658,2375,2275,4570,86,2,45982,492,51549,46474,4658,275,709,445,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,6271,116,130,382,695,743,958,1137,1122,701,258,29,0 to 102,55,3580,2517,174,6169,102,0,262,5607,188,605,66,334,5871,7,59,6103,303,21,10,0,184,139,1,324,2,4,21,40,48,53,53,50,38,24,1,3 to 97,54,182,74,33,35,55,225,44,116,0,84,1,0,27,334,143,190,324,10,0,5936,92,6369,6028,334,27,73,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,9849,171,224,651,1169,1399,1647,1761,1512,902,386,27,0 to 119,53,5828,3988,33,9794,55,0,138,9405,223,418,93,319,9507,6,17,9771,266,43,9,1,162,147,0,309,6,7,26,36,62,63,44,47,15,13,0,1 to 94,49,202,36,40,31,64,209,36,81,4,65,3,1,9,319,153,166,309,10,0,9660,46,10033,9706,319,9,564,132,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,1490,29,44,104,254,272,276,224,188,69,28,2,0 to 98,46,1022,457,11,1484,5,1,15,1335,46,209,12,240,1248,2,0,1483,229,7,4,0,180,56,0,236,2,4,11,50,59,46,28,23,11,6,0,0 to 98,44,64,100,8,64,13,144,79,38,0,37,0,0,1,240,56,184,235,4,1,1402,1,1646,1403,240,1,249,133,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,8984,139,186,967,1598,1440,1486,1493,1123,381,141,30,0 to 116,45,4350,4506,128,8853,130,1,107,8548,201,297,70,290,8677,3,14,8837,262,10,17,1,148,124,0,272,1,3,53,57,45,44,54,25,5,3,0,2 to 87,42,105,138,8,21,17,232,23,68,9,33,9,5,6,290,135,155,271,18,1,8824,112,9229,8936,290,6,490,199,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,333,10,6,13,27,54,58,64,55,32,13,1,0 to 96,54,193,135,5,329,4,0,5,264,41,59,6,28,305,0,0,329,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,22,1,4,2,7,0,0,2,28,15,13,26,2,0,335,2,365,337,28,2,43,4,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,624,37,28,55,59,77,79,87,97,60,38,7,0 to 99,51,394,223,7,602,22,0,20,508,53,210,7,64,558,1,1,600,20,40,4,0,36,24,0,60,2,0,6,4,8,8,14,10,4,8,0,0 to 98,57,19,35,3,3,1,48,11,9,0,4,0,1,3,64,25,39,60,4,0,571,18,654,589,64,3,98,22,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2118,3,4,144,677,546,386,247,78,22,3,8,0 to 92,38,110,2000,8,2118,0,0,1,2074,1,41,0,199,1919,0,0,2118,196,3,0,0,5,194,0,199,0,0,11,52,51,48,33,4,0,0,0,20 to 73,41,108,85,4,2,6,124,69,4,0,0,0,0,0,199,194,5,199,0,0,1924,0,2123,1924,199,0,21,8,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1400,9,7,102,395,283,239,170,108,51,33,3,0 to 118,41,261,1112,27,1396,4,0,19,1353,9,151,5,147,1253,0,0,1396,141,5,0,1,8,138,0,146,0,0,5,44,36,29,25,6,2,0,0,20 to 84,41,71,65,10,0,6,26,114,3,1,0,0,0,0,147,138,9,146,1,0,1299,3,1450,1302,147,0,4,2,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,2107,25,26,138,254,291,386,395,280,169,92,51,0 to 101,52,1122,930,55,2100,7,0,42,2021,28,89,33,85,2020,2,0,2098,65,18,2,0,35,48,0,83,2,1,3,13,13,24,13,11,4,1,0,2 to 93,49,64,11,4,4,18,58,7,26,1,12,1,1,3,85,50,35,83,2,0,2185,5,2278,2190,85,3,35,28,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,2066,57,67,140,246,267,266,425,346,169,77,6,0 to 118,54,1048,926,92,2053,13,0,156,1803,63,210,16,113,1949,0,4,2050,86,26,1,0,50,62,0,112,2,2,10,23,19,23,21,9,3,1,0,0 to 91,45,65,42,4,1,9,100,3,5,0,10,0,0,2,113,63,50,112,1,0,1987,11,2113,1998,113,2,9,7,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,642,20,11,65,92,81,112,107,75,47,30,2,0 to 99,50,358,259,25,637,5,0,21,601,16,59,3,26,616,0,0,637,8,18,0,0,18,8,0,26,0,0,2,2,3,1,5,5,5,3,0,23 to 97,65,19,6,1,0,0,25,1,7,0,9,0,0,3,26,8,18,26,0,0,622,5,653,627,26,3,3,2,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,572,11,8,37,64,60,96,107,117,56,16,0,0 to 92,56,329,225,18,566,6,0,1,565,5,12,1,12,559,1,0,565,6,6,0,0,5,7,0,12,1,0,0,2,3,2,2,1,1,0,0,1 to 84,44,9,1,1,1,0,11,1,2,0,0,0,0,0,12,7,5,12,0,0,563,6,582,569,12,0,5,4,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,3122,69,58,213,326,378,431,601,522,349,160,15,0 to 99,56,1652,1351,119,3085,37,0,115,2825,82,267,64,371,2744,1,6,3079,350,11,10,0,159,179,23,361,13,13,42,51,57,58,63,27,35,11,1,0 to 92,46,193,8,65,95,139,133,89,94,2,57,1,1,7,371,186,162,361,10,0,2818,26,3219,2844,371,7,62,51,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,37745,866,916,3029,5642,5596,6008,6610,5218,2635,1145,80,0 to 119,49,21717,15891,137,37432,313,0,492,36452,458,1120,295,1653,36025,44,23,37366,1499,99,52,3,851,747,0,1598,17,35,158,257,263,272,258,186,130,77,0,0 to 104,48,795,308,316,179,430,913,255,391,10,337,7,3,55,1653,774,879,1598,55,0,36817,258,38799,37075,1653,55,671,324,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,10061,183,213,524,936,1044,1348,1905,2058,1278,470,102,0 to 102,58,5741,4004,316,9991,70,0,426,9244,177,799,39,867,9189,5,0,9986,806,57,4,0,506,357,0,863,8,28,42,91,109,132,135,133,125,64,0,0 to 101,56,541,166,65,91,162,570,131,124,2,194,2,1,81,867,359,508,863,4,0,9746,66,10686,9812,867,81,189,97,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,5884,86,136,458,723,894,1018,1027,857,475,191,19,0 to 101,51,3393,2376,115,5873,11,0,82,5551,130,363,41,320,5561,2,1,5870,281,37,2,0,189,129,0,318,0,3,16,26,38,52,56,64,41,24,0,6 to 95,59,188,61,20,49,23,241,54,106,0,83,0,0,25,320,130,190,318,2,0,5828,9,6161,5837,320,25,170,141,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,374,12,14,40,67,38,60,59,53,19,12,0,0 to 94,47,218,148,8,370,4,0,16,296,2,43,3,42,332,0,0,370,26,14,2,0,24,16,0,40,0,4,6,10,3,7,5,6,1,0,0,10 to 83,36,18,18,3,1,9,30,1,11,2,7,2,0,0,42,17,25,40,2,0,344,2,388,346,42,0,52,25,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,8114,101,117,520,927,965,1212,1484,1471,913,375,29,0 to 168,56,4878,3196,40,8090,24,0,1386,6433,177,972,121,223,7434,1,456,7633,197,21,4,1,123,95,0,218,4,2,15,31,40,41,43,27,13,7,0,0 to 97,49,162,34,15,7,38,173,7,42,3,31,0,0,5,223,96,127,218,5,0,7522,19,7766,7541,223,5,257,114,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,14382,123,210,717,1527,1586,2156,2967,2695,1434,648,319,0 to 117,57,7770,5886,726,14315,67,0,169,13754,230,565,130,605,13767,10,0,14305,486,106,12,1,250,342,0,592,2,7,30,86,72,113,106,109,42,38,0,0 to 102,54,349,120,108,15,88,468,36,161,5,116,4,0,30,605,347,258,592,13,0,13939,54,14609,13993,605,30,565,201,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,403,14,10,31,48,63,60,70,63,32,11,1,0 to 118,51,231,166,6,403,0,0,10,363,6,23,0,25,378,0,0,403,17,8,0,0,15,10,0,25,0,0,2,0,8,4,6,1,3,1,0,21 to 86,52,16,6,0,3,0,19,6,7,0,3,0,0,0,25,10,15,25,0,0,393,0,418,393,25,0,47,4,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,11766,157,184,559,997,1128,1441,1811,2030,1383,391,1685,0 to 101,58,6140,4652,974,11672,94,0,102,11360,222,279,85,254,11495,9,8,11655,226,16,12,0,123,119,0,242,1,8,15,28,34,47,40,43,35,2,1,1 to 86,52,122,35,74,11,70,158,14,104,10,63,4,1,14,254,126,128,242,12,0,11771,82,12124,11853,254,14,318,86,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1054,16,24,93,137,126,148,176,167,106,60,1,0 to 118,54,658,385,11,1054,0,0,16,942,16,166,2,25,1028,1,0,1053,22,3,0,0,19,6,0,25,0,0,2,4,5,3,6,1,1,3,0,16 to 99,49,16,5,1,3,3,19,3,8,0,3,0,0,0,25,6,19,25,0,0,1062,0,1088,1062,25,0,58,9,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,2985,19,21,70,127,135,225,405,1122,660,84,117,0 to 118,69,1448,1375,162,2975,10,0,102,2642,164,261,52,252,2710,0,23,2952,201,48,2,1,70,179,0,249,0,0,6,6,30,40,38,87,37,8,0,17 to 97,65,207,33,5,4,14,229,6,58,0,44,0,0,16,252,181,71,249,3,0,2739,7,3011,2746,252,16,50,38,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,12832,170,303,909,1589,1735,1960,2079,1825,807,352,1103,0 to 118,50,7358,5392,82,12810,22,0,212,12289,246,416,91,435,12383,11,3,12796,384,45,6,0,232,197,0,429,6,8,42,77,62,79,55,62,26,18,0,0 to 100,48,314,62,51,2,155,266,8,175,5,100,1,0,12,435,199,236,429,6,0,12833,16,13297,12849,435,12,396,153,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,47508,827,1060,3369,6524,6905,7420,7367,5033,2252,799,5952,0 to 120,48,26404,20906,198,46677,830,1,540,46004,585,1249,345,1679,45768,46,15,46617,1506,100,69,4,774,830,2,1606,21,34,175,289,304,349,269,131,74,30,3,0 to 101,45,737,241,587,41,761,770,75,554,39,291,34,5,38,1679,873,804,1605,73,1,47028,757,49520,47785,1679,38,610,412,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,2597,30,44,129,268,256,337,485,564,346,128,10,0 to 98,60,1427,967,203,2592,5,0,45,2382,119,191,25,112,2482,2,1,2590,52,60,0,0,54,58,0,112,2,4,8,8,6,17,28,18,12,9,0,0 to 93,60,77,1,8,26,13,74,25,28,0,29,0,0,12,112,58,54,112,0,0,2597,4,2716,2601,112,12,460,138,58,2.36078129145224,0.144732057690528
