OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,3004,37,61,230,399,530,564,501,371,209,93,9,0 to 99,49,1723,1159,122,2999,5,0,75,2810,110,249,40,249,2753,1,1,2997,28,0,219,2,149,98,0,247,0,0,13,21,31,38,47,48,33,18,0,18 to 95,59,135,41,16,55,19,171,57,63,0,48,0,0,11,249,99,150,247,2,0,2750,3,3004,2753,249,11,123,102,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,97,2,1,11,17,11,14,15,20,4,2,0,0 to 89,49,50,45,2,93,4,0,3,92,2,3,3,4,93,0,0,93,0,0,2,2,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,39 to 73,70,2,0,0,0,0,2,0,0,2,0,2,0,0,4,2,2,2,2,0,91,2,97,93,4,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,3078,48,42,229,380,419,498,555,524,277,104,2,0 to 119,53,1858,1184,36,3071,7,0,430,2480,161,272,82,129,2767,2,180,2890,20,0,106,3,68,58,0,126,1,0,7,18,23,28,30,14,6,2,0,2 to 88,51,98,19,9,0,22,104,0,28,2,16,0,0,3,129,59,70,126,3,0,2764,3,3078,2767,129,3,193,122,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,5579,63,91,301,643,666,878,1184,1047,500,199,7,0 to 104,56,3077,2347,155,5550,29,0,115,5255,193,273,118,342,5228,1,8,5541,80,0,253,9,143,190,0,333,1,2,20,45,49,60,54,71,25,15,0,1 to 97,54,207,36,59,31,39,223,71,82,5,57,4,0,10,342,194,148,333,9,0,5208,20,5579,5228,342,10,374,153,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,164,5,4,15,14,29,26,22,34,11,3,1,0 to 90,51,92,71,1,164,0,0,7,151,6,13,0,4,159,0,1,163,1,0,3,0,3,1,0,4,0,0,1,0,1,1,0,1,0,0,0,24 to 66,46,1,2,0,1,0,3,1,3,0,1,0,0,0,4,1,3,4,0,0,159,0,164,159,4,0,18,16,1823798262.39212,235232.973119088
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,3930,103,89,266,512,513,635,638,571,456,143,4,0 to 101,52,2205,1685,40,3868,62,0,81,3638,206,188,77,211,3704,1,14,3853,16,0,183,12,101,98,0,199,1,8,12,20,32,36,33,36,31,2,0,1 to 86,53,90,19,65,25,57,112,30,86,9,51,3,0,7,211,106,105,199,12,0,3654,50,3930,3704,211,7,263,104,2995995460.71371,331014.242454318
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,401,11,13,39,61,55,59,68,52,31,12,0,0 to 118,49,251,146,4,401,0,0,13,377,10,28,2,12,389,0,0,401,2,0,10,0,9,3,0,12,0,0,0,1,4,2,3,0,1,1,0,33 to 93,48,7,2,1,2,2,8,2,4,0,2,0,0,0,12,3,9,12,0,0,389,0,401,389,12,0,34,20,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1612,15,14,40,79,67,132,223,640,363,38,1,0 to 96,69,849,703,60,1612,0,0,93,1393,117,138,51,153,1431,2,26,1584,37,0,116,0,59,94,0,153,0,0,3,4,11,22,24,53,31,5,0,17 to 92,66,122,3,3,25,4,123,26,45,0,34,0,0,11,153,94,59,153,0,0,1431,0,1612,1431,153,11,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,4246,87,97,356,739,786,767,644,484,168,116,2,0 to 104,45,2483,1730,33,4236,10,0,174,3837,226,296,89,325,3911,3,7,4226,32,0,287,6,167,150,2,319,3,4,30,57,44,64,44,51,17,11,0,1 to 100,48,219,39,50,11,113,180,26,146,4,73,1,0,5,325,152,171,319,6,0,3907,4,4246,3911,325,5,384,159,893350621.597626,158549.770327082
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,17060,463,477,1474,3029,3154,3087,2651,1641,751,326,7,0 to 120,44,9601,7381,78,16706,353,1,421,16125,463,690,269,1216,15826,4,14,16689,95,4,1059,58,547,594,13,1154,16,15,125,206,221,258,191,104,56,24,0,0 to 101,46,506,144,296,208,314,396,444,367,32,181,28,1,27,1216,629,574,1153,62,1,15535,291,17060,15826,1216,27,576,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,1287,19,27,81,160,161,183,230,228,140,54,4,0 to 97,55,714,435,138,1283,4,0,35,1137,112,147,24,86,1199,1,1,1281,47,0,39,0,43,43,0,86,0,2,5,6,6,11,23,15,12,6,0,8 to 93,60,57,0,5,24,7,56,23,23,0,23,0,0,8,86,43,43,86,0,0,1195,4,1287,1199,86,8,325,132,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,1302,19,19,96,193,192,220,234,184,107,37,1,0 to 97,50,765,530,7,1288,14,0,46,1194,62,105,37,84,1218,0,0,1288,35,1,45,3,41,39,0,80,0,2,5,16,11,11,17,15,6,1,0,9 to 85,49,46,5,7,22,10,30,40,27,2,19,2,1,3,84,40,44,80,4,0,1208,10,1302,1218,84,3,47,36,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,10683,155,158,696,1562,1504,1788,1948,1544,846,459,23,0 to 120,52,6361,4290,32,10538,145,0,687,9634,342,907,317,607,10007,9,60,10470,75,6,491,35,287,279,0,566,1,4,40,84,59,104,119,94,53,49,0,1 to 101,55,448,71,32,15,51,489,26,153,15,118,14,1,16,607,305,302,566,41,0,9904,103,10683,10007,607,16,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,459,17,5,32,69,60,61,79,70,37,29,0,0 to 118,53,307,139,13,459,0,0,43,315,92,110,5,98,361,0,0,459,80,0,18,0,69,29,0,98,0,1,9,12,11,9,14,17,13,12,0,5 to 102,61,65,30,0,3,3,91,4,21,0,24,0,0,8,98,29,69,98,0,0,361,0,459,361,98,8,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,17715,281,345,1505,3347,3024,2965,2947,1851,915,506,29,0 to 118,46,10021,6970,724,17634,81,0,303,16980,411,242,48,896,16737,10,72,17552,101,7,779,9,464,397,19,880,6,14,72,146,158,142,160,103,63,31,1,0 to 97,49,183,160,43,494,24,330,526,107,6,77,3,0,16,896,404,470,880,16,0,16672,65,17715,16737,896,16,591,526,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,54,3,0,5,5,14,4,3,9,6,5,0,0 to 118,44,29,24,1,54,0,0,6,48,0,8,0,1,53,0,0,54,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,53,0,54,53,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,111,3,4,5,18,14,18,20,19,8,2,0,1 to 91,52,64,45,2,109,2,0,15,95,1,28,8,1,110,0,0,109,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,108,2,111,110,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,171,4,4,16,24,42,29,18,22,7,5,0,1 to 118,43,97,70,4,171,0,0,11,156,4,15,4,2,167,0,2,169,0,0,2,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,167,0,171,167,2,0,4,3,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,608,5,5,57,68,67,71,97,76,84,73,5,0 to 107,58,392,208,8,608,0,0,23,547,37,97,0,42,563,0,3,605,28,0,14,0,34,8,0,42,0,2,3,1,5,3,2,6,11,9,0,8 to 107,74,39,3,0,0,0,41,1,3,0,9,0,0,2,42,8,34,42,0,0,563,0,608,563,42,2,40,21,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,239,3,5,22,50,40,47,39,20,9,3,1,0 to 93,44,134,103,2,237,2,0,8,218,12,22,2,15,224,0,0,237,2,0,12,1,10,4,0,14,0,0,2,5,1,6,0,1,0,0,0,21 to 65,35,5,9,0,0,0,14,0,5,0,5,0,0,1,15,4,11,14,1,0,223,1,239,224,15,1,40,18,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,6049,81,100,347,696,748,904,1334,1167,510,161,1,0 to 103,56,3526,2453,70,6041,8,0,86,5866,92,213,52,218,5826,3,2,6036,30,2,181,5,104,107,0,211,2,3,13,28,31,34,50,30,21,6,0,1 to 94,54,144,41,11,15,32,163,16,63,2,39,2,0,7,218,109,109,211,7,0,5825,1,6049,5826,218,7,205,154,2687643838.87906,793218.333609179
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,5284,122,121,404,771,803,876,860,723,423,178,3,0 to 101,49,3039,2117,128,5264,20,0,222,4865,193,334,110,335,4940,2,7,5255,75,1,254,5,182,146,1,329,1,5,13,47,48,60,58,46,34,23,0,3 to 97,53,208,65,40,16,105,200,24,149,3,95,1,0,14,335,148,186,329,6,0,4926,14,5284,4940,335,14,347,180,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,3708,56,106,292,650,709,682,579,379,191,58,6,0 to 100,45,2107,1583,18,3685,23,0,296,3037,358,449,156,410,3232,1,65,3622,26,2,374,8,196,201,3,400,2,4,31,51,63,89,82,61,25,2,0,0 to 94,50,194,28,162,16,224,124,52,184,4,114,5,1,5,410,207,199,400,10,0,3222,10,3708,3232,410,5,315,60,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,622,14,6,37,92,85,95,101,94,71,25,2,0 to 95,53,368,233,21,610,12,0,27,548,43,47,15,71,548,1,2,607,13,0,57,1,33,37,0,70,1,1,5,10,5,10,14,12,12,1,0,0 to 85,59,34,20,15,1,23,40,7,33,1,25,1,0,7,71,38,33,70,1,0,537,11,622,548,71,7,67,22,2866885704.30579,296636.719911829
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,6760,93,92,453,960,1036,1199,1199,969,557,198,4,0 to 119,51,3998,2654,108,6709,50,1,227,5969,536,559,127,785,5913,2,60,6649,63,4,688,30,375,366,10,751,5,7,54,101,116,123,134,131,84,30,0,1 to 100,54,356,70,20,305,116,327,308,198,12,164,10,1,28,785,386,389,750,34,1,5898,15,6760,5913,785,28,1164,420,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,4352,59,70,258,547,598,655,728,720,519,196,2,0 to 103,54,2489,1847,16,4189,163,0,189,3823,326,468,136,470,3861,1,20,4168,126,16,281,47,206,201,0,407,6,7,26,63,55,66,92,69,62,24,0,0 to 101,56,286,18,35,68,129,204,74,101,16,62,7,2,9,470,237,233,407,63,0,3761,100,4352,3861,470,9,665,473,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,59604,536,727,3889,9786,10077,11534,10149,6984,3701,1917,303,-50 to 119,49,30985,27651,968,59330,273,1,1203,56120,2113,3118,605,9657,49551,172,224,58939,412,6,9135,104,4567,4916,64,9547,31,67,686,1633,1568,1956,1622,1126,624,325,19,0 to 105,49,4215,1206,380,3746,3956,1724,3867,1878,21,939,10,1,223,9657,4993,4598,9546,110,1,49392,159,59604,49551,9657,223,2093,1392,5114451079.58835,540836.793924443
