OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,1016,11,9,48,115,155,145,203,202,103,24,1,0 to 98,56,562,416,38,1009,7,0,23,958,30,60,32,76,939,1,0,1008,17,0,56,3,41,32,0,73,0,0,2,8,10,8,25,18,5,0,0,17 to 77,59,53,8,10,2,11,60,2,12,1,8,1,0,2,76,33,43,73,3,0,935,4,1016,939,76,2,57,27,1294754947.55994,220559.838719988
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,319,6,9,26,55,60,43,59,32,18,11,0,0 to 101,46,177,137,5,318,1,0,19,277,23,48,2,44,275,0,0,318,16,0,28,0,23,21,0,44,0,1,2,7,11,7,10,2,2,2,0,11 to 101,46,27,16,1,0,15,27,2,19,0,11,0,0,1,44,21,23,44,0,0,274,1,319,275,44,1,97,74,3080878042.06929,290231.154940413
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,1406,14,20,82,147,129,207,275,292,163,76,1,0 to 105,58,832,542,32,1394,12,0,76,1254,70,132,51,85,1261,1,59,1336,12,2,65,6,32,45,0,77,0,1,5,8,4,11,16,21,12,7,0,8 to 94,64,57,5,13,2,4,61,12,41,4,23,1,0,4,85,49,36,77,8,0,1259,2,1406,1261,85,4,225,71,1319798862.49319,234087.653130679
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,34959,279,381,2238,5856,6288,6735,6229,3956,1928,1016,53,0 to 119,48,18425,14928,1606,34132,827,0,1145,31622,2038,2689,762,4078,30784,39,58,34041,732,19,3226,101,1906,2042,10,3958,4,23,288,638,676,800,782,474,245,148,0,0 to 99,50,1947,1202,396,413,1279,2280,399,1258,44,692,33,3,122,4078,2114,1953,3958,120,0,30083,701,34959,30784,4078,122,942,601,3142374056.01305,291881.846057183
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,4710,195,160,504,808,723,706,720,503,257,124,10,0 to 105,44,2844,1845,21,4400,310,0,104,4468,130,284,58,315,4364,5,26,4369,42,0,254,19,158,138,0,296,4,2,38,41,54,44,49,41,27,15,0,0 to 98,49,116,78,11,91,7,184,105,44,0,32,0,0,8,315,147,168,296,19,0,4073,291,4710,4364,315,8,125,55,1767890300.40206,439974.169549806
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,267,8,12,26,30,36,48,49,31,22,4,1,0 to 97,50,144,108,15,264,3,0,32,233,2,29,7,7,259,0,1,263,1,0,5,1,5,1,0,6,0,0,0,1,1,1,1,2,1,0,0,33 to 76,61,6,0,0,0,0,6,0,1,0,3,1,0,0,7,2,5,6,1,0,257,2,267,259,7,0,15,8,2307690905.70045,272539.677334045
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,70,1,3,8,8,3,9,19,11,8,0,0,3 to 84,56,29,40,1,69,1,0,8,62,0,5,3,2,68,0,0,69,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,68,0,70,68,2,0,3,3,1445840682.56789,446544.245992026
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,5251,101,68,605,965,727,645,750,744,421,179,46,0 to 118,47,3043,2019,189,5161,90,0,114,5083,53,217,45,218,5022,8,3,5150,25,6,182,5,119,87,1,207,1,0,34,47,24,29,34,31,11,6,1,2 to 94,45,89,62,17,39,16,149,42,38,4,26,2,0,0,218,90,126,207,11,0,4943,79,5251,5022,218,0,70,51,2510756491.26947,272135.471452184
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,4051,75,99,298,501,708,758,704,537,276,92,3,0 to 99,49,2230,1699,122,4041,10,0,177,3674,197,251,94,192,3847,1,11,4029,39,3,147,3,86,99,1,186,1,4,12,19,17,44,48,35,10,2,0,2 to 91,54,139,10,13,24,10,146,30,53,3,33,3,0,4,192,104,87,186,6,0,3843,4,4051,3847,192,4,140,112,1658206648.51031,344848.248220385
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,47,0,0,6,9,5,9,7,5,2,2,2,19 to 95,46,19,24,4,17,30,0,0,47,0,0,0,3,36,0,8,16,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,51 to 87,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,16,20,47,36,3,0,15,13,426757389.663452,73231.2921286601
