OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,180,5,2,20,27,30,26,32,21,14,3,0,0 to 89,46,110,70,0,180,0,0,3,175,2,11,1,4,175,0,1,179,0,0,4,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,175,0,180,175,4,0,11,8,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,1073,28,40,109,161,150,171,178,113,90,28,5,0 to 118,47,640,391,42,1070,3,0,58,891,122,134,16,58,1012,0,3,1067,27,0,31,0,32,26,0,58,0,9,6,6,9,11,5,9,3,0,0,6 to 82,42,32,25,1,0,1,55,2,15,0,11,0,0,1,58,26,32,58,0,0,1009,3,1073,1012,58,1,72,29,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,179,19,7,6,22,30,22,30,24,14,4,1,0 to 118,47,90,71,18,179,0,0,11,166,1,37,3,2,177,0,0,179,0,0,2,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 60,44,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,177,0,179,177,2,0,12,3,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1738,64,46,124,249,278,257,298,210,132,77,3,0 to 118,48,1096,599,43,1674,63,1,86,1518,132,142,55,134,1592,1,11,1663,47,2,82,3,72,57,0,129,1,2,4,19,18,12,26,24,18,10,0,3 to 96,59,88,17,12,12,12,102,15,42,1,23,0,0,3,134,61,73,128,5,1,1534,58,1738,1592,134,3,331,155,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,93,1,2,8,15,19,12,13,9,12,1,1,0 to 88,45,50,41,2,93,0,0,3,86,4,5,3,6,87,0,0,93,2,0,4,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,87,0,93,87,6,0,27,5,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,17912,222,262,1124,2233,2487,2899,3256,2374,1401,813,841,0 to 115,52,10024,7730,158,17721,189,2,197,17274,417,708,137,2296,15266,295,55,17379,122,6,2120,48,1111,1119,12,2242,11,11,145,248,313,346,388,343,300,166,25,0 to 104,56,806,290,167,979,268,937,1037,479,23,357,15,3,126,2296,1148,1136,2240,54,2,15137,129,17912,15266,2296,126,683,427,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2441,44,50,160,305,380,436,411,350,220,82,3,0 to 99,51,1414,951,76,2434,7,0,158,2114,161,280,56,204,2198,2,37,2395,15,0,185,4,118,81,1,200,0,2,15,17,29,26,37,37,26,15,0,5 to 96,59,130,44,13,13,29,153,18,80,0,61,0,0,15,204,83,120,200,4,0,2195,3,2441,2198,204,15,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,4365,75,95,302,563,670,773,799,634,335,113,6,0 to 102,51,2645,1706,14,4337,28,0,113,4040,202,271,85,211,4120,6,28,4303,26,1,178,6,104,100,0,204,2,3,18,24,46,41,32,34,6,5,0,1 to 94,48,139,19,34,12,49,138,17,71,3,44,2,0,3,211,104,107,204,7,0,4099,21,4365,4120,211,3,397,176,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,355,8,8,33,60,70,71,49,40,11,4,1,0 to 96,44,228,124,3,353,1,1,6,302,44,45,7,57,298,0,0,354,6,0,50,1,37,19,0,56,0,0,4,11,11,15,11,4,1,0,0,20 to 81,45,9,30,0,17,1,31,24,1,0,5,0,0,0,57,19,38,55,1,1,298,0,355,298,57,0,82,37,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2542,63,54,328,470,437,433,397,245,85,29,1,0 to 95,43,1451,1033,58,2521,20,1,51,2301,168,163,53,185,2347,2,8,2512,7,1,172,5,101,78,0,179,1,2,24,41,33,33,30,17,2,2,0,2 to 86,43,77,74,6,22,13,142,24,49,5,22,3,0,1,185,81,104,178,6,1,2333,14,2542,2347,185,1,345,224,1817477697.41779,246081.909627491
